Yaw,Pitch,Roll
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.7221,0.4761206,271.5297
357.6008,0.539131,271.7415
357.5516,0.5407069,271.802
357.4586,0.5786768,271.9406
357.2657,0.6163119,272.1747
356.9368,0.6411628,272.5331
356.9368,0.6411628,272.5331
356.6824,0.6586916,272.7851
355.4801,0.5083503,273.8372
355.4801,0.5083503,273.8372
354.1857,0.3955962,274.756
353.4464,0.319704,275.2225
350.8939,0.255482,276.731
350.8939,0.255482,276.731
349.9053,0.3322376,277.3216
348.858,0.3799611,277.9553
348.858,0.3799611,277.9553
346.6854,0.4073128,279.3103
344.4305,0.5608862,280.7505
342.086,0.7351142,282.2876
342.086,0.7351142,282.2876
339.6815,0.9410007,283.9461
337.3521,1.20766,285.6384
333.3237,1.700374,288.5579
332.4073,1.853952,289.3875
330.7586,2.209397,290.8087
330.0228,2.446023,291.385
329.3763,2.68159,291.8889
328.8052,2.922622,292.2869
327.5245,3.378244,292.9316
327.2344,3.516248,293.0409
326.8637,3.666315,293.0211
326.7763,3.726809,292.9376
326.749,3.764641,292.8105
326.7692,3.804495,292.6578
326.9879,3.767116,292.3236
327.4196,3.601352,291.8807
327.4196,3.601352,291.8807
328.0923,3.291989,291.2141
328.514,3.093088,290.8063
329.5771,2.640673,289.8515
330.2437,2.401543,289.3068
330.9694,2.154004,288.723
331.783,1.908679,288.0838
334.6718,1.403282,285.9235
336.851,1.165722,284.3533
338.0143,1.031097,283.5466
339.2182,0.8876169,282.7599
341.7347,0.6356364,281.2419
344.3298,0.3884837,279.8549
344.3298,0.3884837,279.8549
346.9579,0.1987303,278.8714
349.6136,0.07341175,277.7097
350.8429,0.118538,277.1361
352.131,0.04678296,276.5922
354.4653,0.1373905,275.5926
356.6597,0.1336969,274.5528
356.6597,0.1336969,274.5528
358.6021,0.2264017,273.6457
0.2619187,0.4321103,272.8866
0.9913882,0.5257803,272.5808
2.219326,0.6524622,272.168
2.688061,0.7086483,272.0853
3.325938,0.8323428,272.1641
3.325938,0.8323428,272.1641
3.677065,0.9214763,272.3297
3.677065,0.9214763,272.3297
3.511749,0.9365722,272.4962
3.135255,0.882787,272.5542
2.905818,0.8266979,272.4856
2.30443,0.7435528,272.3703
2.30443,0.7435528,272.3703
1.454238,0.8100281,272.3556
0.3316725,0.9736997,272.1917
359.6487,1.082949,272.0937
358.0007,1.354015,271.8064
358.0007,1.354015,271.8064
355.8193,1.659941,271.3506
352.9348,2.013513,270.7009
349.5836,2.284481,269.9026
349.5836,2.284481,269.9026
345.8982,2.634327,268.9099
342.1581,2.74654,267.8131
