H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.13936,1.222847,-0.06245499,0.0304147,-0.03264099,-0.6637411,0.7466307
-1.137427,1.22246,-0.06427116,0.03021151,-0.03237998,-0.6654785,0.7451022
-1.137219,1.222281,-0.06436079,0.02998608,-0.03253096,-0.6651466,0.7454011
-1.137157,1.22222,-0.06456873,0.02990228,-0.0326964,-0.6650734,0.7454625
-1.137263,1.222287,-0.06467901,0.02988136,-0.03273338,-0.6652132,0.745337
-1.137336,1.222302,-0.06478149,0.0299283,-0.03279245,-0.6652466,0.7453027
-1.137368,1.222309,-0.06488818,0.0300048,-0.032864,-0.665193,0.7453443
-1.137368,1.222309,-0.06488818,0.0300048,-0.032864,-0.665193,0.7453443
-1.137368,1.222309,-0.06488818,0.0300048,-0.032864,-0.665193,0.7453443
-1.136758,1.222086,-0.06576534,0.03229082,-0.03532013,-0.6636139,0.746543
-1.136616,1.222167,-0.06579309,0.03756386,-0.04163492,-0.6624369,0.7470161
-1.136454,1.222153,-0.06575796,0.04099604,-0.04647636,-0.6616896,0.7472123
-1.136266,1.222105,-0.06571501,0.04492462,-0.05206954,-0.6608459,0.7473643
-1.135689,1.22217,-0.06591147,0.05455258,-0.06340098,-0.6582998,0.7480949
-1.135197,1.222269,-0.06607322,0.0603835,-0.06955513,-0.6565088,0.7486737
-1.134103,1.22239,-0.06617044,0.07245627,-0.08408245,-0.6522224,0.7498574
-1.133586,1.222302,-0.06605184,0.07834506,-0.09188503,-0.6499637,0.7503109
-1.132448,1.222432,-0.06602763,0.09213617,-0.1085327,-0.6448882,0.7509001
-1.131717,1.222579,-0.06583351,0.09945214,-0.1180461,-0.6415597,0.7513826
-1.130924,1.222659,-0.06549461,0.1065649,-0.128193,-0.637882,0.7518758
-1.129353,1.222831,-0.06453209,0.1217937,-0.1498733,-0.6293998,0.752702
-1.128379,1.223105,-0.06410597,0.1313558,-0.1618101,-0.6239976,0.7531204
-1.126066,1.223771,-0.06263326,0.1521154,-0.1903271,-0.6102263,0.7538306
-1.12487,1.224026,-0.06150369,0.1623185,-0.2064659,-0.602478,0.7536877
-1.122833,1.224318,-0.0587516,0.1808457,-0.2382493,-0.5868068,0.752456
-1.121938,1.224641,-0.05751467,0.1898155,-0.2529659,-0.5791301,0.7513899
-1.1212,1.224993,-0.05608601,0.1980453,-0.2666283,-0.5715815,0.7503213
-1.11953,1.225708,-0.05407758,0.2153145,-0.290403,-0.556818,0.7478366
-1.118624,1.225921,-0.05323809,0.2237043,-0.3008684,-0.5497712,0.7464492
-1.117938,1.226288,-0.05133641,0.2373086,-0.3203581,-0.5379288,0.7427571
-1.117938,1.226288,-0.05133641,0.2373086,-0.3203581,-0.5379288,0.7427571
-1.117077,1.226599,-0.04998194,0.2563589,-0.3416444,-0.5233287,0.7373511
-1.116578,1.226691,-0.0497864,0.2622939,-0.3471746,-0.519171,0.7356177
-1.116344,1.226684,-0.04934058,0.271533,-0.3556585,-0.5127784,0.7326905
-1.116466,1.226669,-0.0491752,0.2751172,-0.3591788,-0.5106628,0.731112
-1.116511,1.226691,-0.04905102,0.2784548,-0.3622798,-0.5084266,0.7298759
-1.116062,1.226644,-0.04877808,0.2842109,-0.367398,-0.5036655,0.7283983
-1.115836,1.226618,-0.04859449,0.286064,-0.369573,-0.5018378,0.7278339
-1.116089,1.226748,-0.04874514,0.2891904,-0.3712921,-0.5004085,0.7267067
-1.116207,1.226801,-0.0487227,0.2905993,-0.3719382,-0.4997037,0.7262991
-1.1162,1.22678,-0.04865738,0.2917969,-0.3727456,-0.4987874,0.7260348
-1.116379,1.226635,-0.04865834,0.2933735,-0.373557,-0.4983622,0.725274
-1.116522,1.226743,-0.04907719,0.2955651,-0.3722904,-0.4985886,0.7248798
-1.116511,1.226717,-0.04916631,0.2961112,-0.3721631,-0.4984757,0.7248
-1.116666,1.226697,-0.04912772,0.2961431,-0.3724485,-0.4987256,0.7244684
-1.116666,1.226697,-0.04912772,0.2961431,-0.3724485,-0.4987256,0.7244684
-1.116666,1.226697,-0.04912772,0.2961431,-0.3724485,-0.4987256,0.7244684
-1.116912,1.226617,-0.04938873,0.2973312,-0.3700994,-0.5005531,0.7239251
-1.116994,1.226624,-0.0493157,0.2970715,-0.3694838,-0.5010267,0.7240183
-1.116922,1.226622,-0.04936098,0.2972969,-0.3684692,-0.5012926,0.7242589
-1.116922,1.226622,-0.04936098,0.2972969,-0.3684692,-0.5012926,0.7242589
-1.116922,1.226622,-0.04936098,0.2972969,-0.3684692,-0.5012926,0.7242589
-1.116922,1.226622,-0.04936098,0.2972969,-0.3684692,-0.5012926,0.7242589
-1.116922,1.226622,-0.04936098,0.2972969,-0.3684692,-0.5012926,0.7242589
-1.116922,1.226622,-0.04936098,0.2972969,-0.3684692,-0.5012926,0.7242589
-1.116922,1.226622,-0.04936098,0.2972969,-0.3684692,-0.5012926,0.7242589
-1.116922,1.226622,-0.04936098,0.2972969,-0.3684692,-0.5012926,0.7242589
-1.116922,1.226622,-0.04936098,0.2972969,-0.3684692,-0.5012926,0.7242589
