Yaw,Pitch,Roll
0.2555476,357.1534,287.9
0.2555476,357.1534,287.9
0.2094588,357.1934,287.9354
0.1997858,357.1687,287.9827
0.1847623,357.2052,287.9608
0.0889031,357.2117,287.7238
0.05964465,357.1876,287.6544
0.03832153,357.173,287.5954
0.009088452,357.1639,287.4722
-0.001326507,357.1301,287.3672
0.003696398,357.1161,287.338
0.01369104,357.1087,287.3248
0.03123721,357.1001,287.3199
0.08232237,357.0734,287.3643
0.08232237,357.0734,287.3643
0.1170941,357.0753,287.4141
0.1170941,357.0753,287.4141
0.2302881,357.1895,287.6734
0.2625726,357.2582,287.8267
0.2783789,357.2871,287.9466
0.2972368,357.3062,288.0616
0.2028348,357.468,288.2497
359.6749,357.816,288.428
359.1563,357.9194,288.5746
357.7536,357.8107,288.9235
356.9931,357.745,289.0994
355.3456,357.9617,289.5218
354.4569,358.0711,289.7726
352.6778,358.1888,290.2497
351.7659,358.2831,290.5258
349.974,358.5188,291.1353
349.1197,358.6321,291.4053
348.2974,358.7916,291.6689
346.7217,359.1285,292.1658
345.9565,359.2834,292.4037
344.4995,359.5492,292.7444
343.8051,359.7192,292.9339
342.3974,0.141987,293.2592
342.3974,0.141987,293.2592
340.3278,0.6540398,293.6329
339.6457,0.8278324,293.7319
338.9856,0.9440935,293.7861
338.9856,0.9440935,293.7861
337.7181,1.168009,293.8663
337.7181,1.168009,293.8663
336.0326,1.553204,293.9579
335.5204,1.620767,293.9694
335.0569,1.658687,293.9746
334.6026,1.710501,294.0007
333.0457,1.852475,293.9957
332.4068,1.853137,294.0151
332.1059,1.84598,294.033
331.5325,1.79268,294.0162
331.2743,1.726643,293.9763
331.0314,1.642874,293.9294
330.8116,1.566039,293.8764
330.3859,1.430961,293.7205
330.1776,1.375293,293.7316
329.9692,1.083599,293.3326
329.6717,0.9611508,293.3811
329.4265,0.8451974,293.4197
329.312,0.7827896,293.4445
329.1185,0.6507278,293.4598
329.0439,0.562125,293.4701
329.0026,0.4860532,293.4821
328.9482,0.3432344,293.4633
329.5031,359.4141,292.8599
329.177,359.5831,292.8456
329.1439,359.5712,292.8817
329.1376,359.4989,292.9052
329.1553,359.4539,292.9153
329.186,359.429,292.935
329.2143,359.416,292.9136
329.2299,359.4119,292.8591
329.1545,359.5873,292.969
329.2862,359.5842,292.9606
329.44,359.5944,292.9182
329.4799,359.5793,292.8882
329.5819,359.5473,292.8678
329.6349,359.5553,292.8743
329.6691,359.5758,292.8824
329.7117,359.5816,292.8807
329.7336,359.5557,292.8615
329.8066,359.5251,292.7921
329.8286,359.5294,292.7597
329.8655,359.4873,292.7307
329.8991,359.4615,292.7284
329.9821,359.505,292.6785
330.1331,359.2939,292.5707
330.147,359.3053,292.5922
330.2657,359.2987,292.6383
330.3142,359.3315,292.6611
330.3895,359.3106,292.6336
330.4193,359.293,292.5995
330.4802,359.3074,292.5478
330.4957,359.3425,292.536
330.4945,359.3522,292.5377
330.4999,359.3731,292.5237
330.5156,359.3809,292.5275
330.5745,359.3633,292.483
330.6075,359.3776,292.4541
330.6298,359.3849,292.4416
330.6191,359.5255,292.5336
330.645,359.5742,292.5788
330.6434,359.5989,292.6008
330.6212,359.6291,292.6183
330.6257,359.6358,292.631
330.6281,359.6422,292.6493
330.6192,359.6911,292.6966
330.5726,359.7419,292.6982
330.4381,359.8519,292.5912
330.3661,359.914,292.5052
330.3063,359.9542,292.4352
330.2218,0.006384519,292.3433
330.2051,0.01745455,292.3044
330.2202,0.01862507,292.2625
330.2555,0.01934053,292.2407
330.4688,359.9428,292.1649
330.4951,0.05195042,292.4213
330.9103,359.969,292.3786
332.0928,359.8266,292.0648
332.889,359.7763,291.8493
334.924,359.5665,291.3808
336.3502,359.3427,290.9406
339.3292,359.1281,290.469
340.9767,359.1733,290.2795
342.7,359.1747,290.0898
346.288,359.0146,289.6808
348.1424,359.0407,289.4811
352.0461,359.2293,288.7749
353.8829,359.2041,288.4884
357.6042,359.0269,287.8345
359.4157,359.1039,287.651
1.141243,359.3014,287.5243
4.337039,359.468,287.2885
5.992939,359.4604,286.786
8.702543,359.8174,286.8227
9.926452,359.9835,286.9727
12.1614,0.1304234,286.9405
13.17842,0.2218852,286.8008
15.01766,0.469366,286.655
15.84653,0.5973181,286.7856
16.69056,0.6403863,286.6441
18.17815,0.771792,286.5498
18.85382,0.8593751,286.5558
20.14975,1.039924,286.5453
20.74701,1.155924,286.5618
21.79951,1.258484,286.6284
22.30395,1.242529,286.6927
22.78624,1.245839,286.7819
24.09827,1.321,287.0556
24.09827,1.321,287.0556
24.97156,1.317982,287.2207
25.4132,1.365551,287.3212
26.74371,1.451448,287.6206
27.27773,1.426968,287.7152
27.86105,1.461192,287.7902
28.97558,1.675217,287.9284
29.48478,1.712316,287.9974
29.54976,2.557651,286.2147
30.23007,2.254663,286.7
30.92599,1.923488,287.3977
32.1164,1.470769,288.6457
32.46305,1.41534,288.9243
33.07563,1.453046,289.145
33.27094,1.530372,289.111
33.61688,1.554321,289.169
33.71024,1.554603,289.1398
33.76276,1.571544,289.1097
33.82447,1.565107,289.1069
33.88271,1.520087,289.1899
33.87084,1.359109,289.4493
33.88577,1.290966,289.5316
33.96708,1.200377,289.7301
34.01553,1.143817,289.838
34.12943,1.017892,290.0517
34.19342,0.9791588,290.1309
34.32217,0.9229351,290.2695
34.37511,0.8976756,290.3198
34.4015,0.8800618,290.3588
34.41458,0.8310583,290.4107
34.4168,0.8079886,290.4374
34.39345,0.7894958,290.434
34.36955,0.7625619,290.4173
34.27426,0.7097824,290.3533
34.22646,0.6782161,290.3203
34.17694,0.633501,290.2773
34.07989,0.5529892,290.2308
34.0261,0.5226824,290.209
33.95282,0.4516868,290.18
33.94205,0.4074925,290.1727
33.94503,0.3567294,290.1223
33.94104,0.3521121,290.0876
33.93208,0.3718227,290.0575
33.89402,0.3621322,289.993
33.87072,0.3677246,289.9601
33.8089,0.3583431,289.912
33.76633,0.36371,289.9051
33.64865,0.3512396,289.825
33.5679,0.3559405,289.7648
33.42191,0.3654466,289.6107
33.3382,0.3692767,289.5838
33.27635,0.3733288,289.5585
33.17467,0.37783,289.4662
33.12819,0.3819897,289.4254
33.01969,0.4082387,289.3569
32.97773,0.3950903,289.3378
32.95173,0.3875086,289.3334
32.91905,0.4001806,289.3693
32.9017,0.4002011,289.387
32.86533,0.3899812,289.407
32.85081,0.3464686,289.4544
32.82877,0.3291657,289.5312
32.82877,0.3291657,289.5312
32.82877,0.3291657,289.5312
32.82877,0.3291657,289.5312
32.82877,0.3291657,289.5312
32.82877,0.3291657,289.5312
32.82877,0.3291657,289.5312
32.82877,0.3291657,289.5312
32.82877,0.3291657,289.5312
32.82877,0.3291657,289.5312
32.82877,0.3291657,289.5312
27.89874,1.416442,287.6706
25.528,1.675683,286.9004
24.1361,1.81048,286.5493
20.69859,2.282084,285.4299
18.82116,2.363683,284.8318
15.19919,2.195919,284.5841
13.37299,2.113797,284.6936
11.5065,2.054527,284.8028
7.672855,2.109456,284.8849
5.678177,2.237106,284.8157
1.535506,2.355187,284.1671
359.5234,2.30813,283.8948
355.5766,2.321977,283.2225
353.6695,2.34798,282.9484
350.0448,2.34126,282.422
348.3062,2.339437,282.15
346.6188,2.322816,281.8796
343.5482,2.087904,281.2059
342.1736,1.90437,280.7908
339.591,1.613466,279.9417
338.4213,1.499683,279.5432
336.3133,1.275327,278.8727
335.3809,1.232312,278.6017
334.5318,1.233698,278.3819
333.7505,1.231582,278.2101
333.7505,1.231582,278.2101
331.4915,1.175807,277.6689
331.0944,1.077226,278.8214
330.4824,0.89606,278.4596
330.2051,0.7889946,278.0963
329.949,0.7030063,277.709
329.4583,0.527976,277.0331
328.7564,0.5329315,274.8789
328.3909,0.3429185,274.8674
328.2439,0.2285883,274.6882
328.0312,-0.003802708,274.3046
327.9421,359.9077,274.1278
327.8965,359.7798,274.2243
327.7794,359.5955,274.0667
327.7306,359.4061,273.888
327.7473,359.3343,273.7952
327.7655,359.282,273.717
327.8336,359.2349,273.5633
327.8789,359.2291,273.4919
327.9986,359.2223,273.4107
328.0833,359.2126,273.3926
328.1516,359.2188,273.4067
328.2647,359.2516,273.461
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
328.3237,359.2574,273.4613
