Yaw,Pitch,Roll
0.5757476,359.7137,274.4669
0.5757476,359.7137,274.4669
0.6884132,359.748,274.4729
0.6933063,359.8088,274.4842
0.6933063,359.8088,274.4842
0.7043363,359.7541,274.5135
0.6960777,359.8361,274.4898
0.6299652,359.8683,274.4451
0.4715627,359.8094,274.4343
0.3273492,359.8378,274.5294
0.3273492,359.8378,274.5294
0.2246146,359.8705,274.6266
-0.003999167,359.8636,274.8845
359.6944,359.9072,275.2065
359.448,359.9458,275.4007
358.8884,359.8583,275.869
358.5528,359.8138,276.1428
358.1165,359.7942,276.4288
357.1425,359.6869,277.066
357.1425,359.6869,277.066
356.1084,359.5197,277.7405
353.9722,359.3061,278.9828
353.9722,359.3061,278.9828
352.3874,358.858,279.9412
351.5837,358.6835,280.3839
349.9053,358.3476,281.2532
348.1917,357.9413,282.0811
346.4852,357.4823,283.011
346.4852,357.4823,283.011
345.704,357.2485,283.4773
344.2999,356.9722,284.2935
342.6224,356.8955,284.9279
341.7934,356.7662,285.2802
340.34,356.4956,285.8495
338.9619,356.409,286.31
338.9619,356.409,286.31
338.3072,356.3468,286.5096
337.1305,356.2389,286.8664
336.4978,356.2326,287.0564
335.2927,356.1905,287.3974
334.8055,356.1027,287.4973
334.8055,356.1027,287.4973
333.8968,356.0712,287.6623
333.6254,355.9991,287.6432
333.5667,355.8818,287.5149
333.5667,355.8818,287.5149
333.6235,355.8559,287.2984
333.6235,355.8559,287.2984
334.1768,355.797,287.0408
334.1768,355.797,287.0408
334.4822,355.7707,286.9237
335.2242,355.656,286.7123
336.1966,355.6018,286.4988
337.2198,355.6357,286.2178
337.2198,355.6357,286.2178
338.4908,355.5476,285.931
340.1743,355.5315,285.6706
341.1953,355.5497,285.5558
343.4717,355.6365,285.3541
346.1772,355.8189,285.0713
346.1772,355.8189,285.0713
347.6313,355.9568,284.9514
350.657,356.1913,284.847
353.9711,356.3171,284.7389
355.7184,356.4837,284.624
357.4491,356.719,284.5853
0.9005426,357.0271,284.5948
2.623523,357.1202,284.5572
6.06556,357.3299,284.2975
9.537289,357.6625,283.9431
9.537289,357.6625,283.9431
13.98509,358.0351,283.8283
13.98509,358.0351,283.8283
16.22803,358.378,283.8519
17.14105,358.5357,283.9262
18.73902,358.6564,283.9822
19.97918,358.6855,283.9195
19.97918,358.6855,283.9195
20.66756,358.6532,283.9872
21.03832,358.6046,284.0465
21.16001,358.5977,284.0128
21.19272,358.5017,283.8838
21.15837,358.389,283.7334
21.15837,358.389,283.7334
20.87593,358.4666,283.2083
20.75975,358.4222,283.068
20.75975,358.4222,283.068
20.63396,358.3783,282.8126
20.58912,358.4344,282.6519
20.3743,358.469,282.4004
20.23653,358.4013,282.3376
20.07643,358.4457,282.2786
19.71969,358.5999,282.0327
19.23283,358.7078,281.6681
18.74355,358.6467,281.3786
18.74355,358.6467,281.3786
18.30866,358.6557,280.9981
18.30866,358.6557,280.9981
18.0442,358.7137,280.8003
17.90459,358.6783,280.7146
17.71831,358.6671,280.5421
17.5121,358.7476,280.46
17.5121,358.7476,280.46
17.19046,358.7181,280.2773
17.19046,358.7181,280.2773
17.05497,358.7576,280.1544
16.68744,358.7083,279.8468
16.47494,358.6947,279.6932
16.1843,358.7809,279.5097
14.58081,359.0002,278.9097
14.58081,359.0002,278.9097
13.93062,358.9191,278.7081
12.36194,359.0766,278.2439
10.30575,359.236,277.7828
10.30575,359.236,277.7828
8.056735,359.1723,277.142
5.503862,359.2066,276.3875
4.127689,359.1811,276.0392
1.379223,359.0352,275.3044
358.5673,359.0034,274.4297
358.5673,359.0034,274.4297
355.7564,358.7704,273.5098
354.349,358.6615,273.0466
351.6153,358.4893,272.0546
349.0107,358.2606,271.2007
347.7858,358.1703,270.8647
345.6357,358.0148,270.3395
345.6357,358.0148,270.3395
343.9994,357.9319,270.0734
342.6812,358.1249,270.22
342.151,358.1833,270.1616
341.3365,358.1062,270.0429
340.9084,358.0522,269.8897
340.9084,358.0522,269.8897
340.6483,358.2226,269.6739
340.6855,358.1815,269.4044
340.6855,358.1815,269.4044
340.9504,358.2333,269.1512
341.5248,358.3497,268.9076
341.5248,358.3497,268.9076
341.7855,358.3779,268.8523
342.2692,358.5309,268.7209
342.4748,358.5945,268.6738
342.886,358.6566,268.5967
343.0375,358.7357,268.5652
343.1739,358.9657,268.5633
343.3702,358.9903,268.606
343.3702,358.9903,268.606
343.7912,358.9753,268.5772
344.4944,358.8392,268.4656
344.4944,358.8392,268.4656
345.4481,358.8129,268.3039
346.4953,358.9701,268.1803
347.7477,359.0361,268.1233
347.7477,359.0361,268.1233
348.9015,359.4244,268.1607
349.9054,359.7883,268.2596
349.9054,359.7883,268.2596
351.1314,359.8819,268.2995
352.7135,359.8792,268.3358
353.7015,359.8351,268.3547
355.7181,0.1814998,268.3908
357.6938,0.4979908,268.5133
357.6938,0.4979908,268.5133
0.03281018,0.5022343,268.7189
2.486245,0.6725735,268.9428
2.486245,0.6725735,268.9428
5.167384,0.611796,269.062
8.024944,0.6556446,269.0674
10.62897,0.8902375,269.0247
10.62897,0.8902375,269.0247
14.30818,0.9957816,269.374
14.30818,0.9957816,269.374
18.04368,1.091736,270.1318
18.04368,1.091736,270.1318
18.83575,1.034472,270.2867
20.11811,1.037597,270.5079
20.68973,0.9878258,270.6297
21.26157,0.9062784,270.7086
22.12984,0.8327908,270.8819
22.41649,0.7752817,270.9687
22.90485,0.5996742,271.1502
23.21716,0.5371681,271.2989
23.21716,0.5371681,271.2989
23.39288,0.3682573,271.3969
23.44382,0.2503178,271.4332
23.44045,0.1523339,271.4693
23.3046,0.04464554,271.4943
23.3046,0.04464554,271.4943
22.84579,359.9361,271.6278
22.84579,359.9361,271.6278
22.36046,359.8585,271.8269
22.10654,359.7995,271.9394
21.32401,359.8339,272.275
20.19031,359.7213,272.7342
20.19031,359.7213,272.7342
18.72766,359.564,273.2223
17.92136,359.4266,273.5187
16.31158,359.1191,274.1752
15.41837,359.0027,274.4796
13.70795,358.634,274.9359
12.11724,358.4226,275.5811
12.11724,358.4226,275.5811
10.55207,358.2643,276.1776
9.042676,358.114,276.7759
7.245813,358.0678,277.3963
7.245813,358.0678,277.3963
5.385861,357.7177,278.0588
3.670179,357.3513,278.7077
3.670179,357.3513,278.7077
1.827953,357.2321,279.3795
359.8946,356.9194,280.0579
358.9062,356.7783,280.4021
356.6331,356.7681,281.1803
354.2286,356.5802,281.9127
354.2286,356.5802,281.9127
353.102,356.418,282.2054
350.7487,356.3854,282.7523
348.5217,356.2598,283.2499
345.6882,356.1011,283.9263
345.6882,356.1011,283.9263
344.8923,356.1178,284.1296
343.6452,356.0843,284.4633
342.6156,356.0142,284.6989
342.6156,356.0142,284.6989
341.8766,355.9516,284.8352
341.4158,356.0458,284.9604
341.2867,356.0737,285.0152
341.246,356.0612,285.0436
341.4684,356.0621,285.0047
342.0099,356.2442,284.9667
342.3696,356.3027,284.9927
343.2878,356.3162,284.982
343.2878,356.3162,284.982
344.4618,356.2925,284.8736
345.1491,356.2738,284.8377
346.5934,356.4232,284.7984
