Yaw,Pitch,Roll
356.1559,1.675669,276.0296
356.1559,1.675669,276.0296
356.1076,1.747203,276.0369
356.08,1.70287,276.0388
356.0492,1.692892,276.0208
356.0492,1.692892,276.0208
356.0377,1.697697,276.0163
356.0487,1.699968,276.0362
356.0767,1.730696,276.0905
356.0918,1.744419,276.1142
356.105,1.740512,276.1523
356.114,1.741511,276.1646
356.114,1.741511,276.1646
356.1177,1.753208,276.2054
356.1112,1.757787,276.2163
356.0951,1.772985,276.2353
356.0951,1.772985,276.2353
356.0742,1.789917,276.2447
356.0513,1.79508,276.2513
356.0378,1.798329,276.2598
356.0014,1.789295,276.298
356.0014,1.789295,276.298
355.9407,1.787823,276.3672
355.9407,1.787823,276.3672
355.6938,1.774454,276.533
355.6938,1.774454,276.533
355.1852,1.855813,276.7844
355.1852,1.855813,276.7844
354.4643,1.787853,277.0807
354.0282,1.688792,277.2254
353.1036,1.499979,277.5207
352.1079,1.415703,277.9937
351.5549,1.308874,278.2826
351.5549,1.308874,278.2826
350.3582,1.06529,278.8109
349.1473,0.9446998,279.4331
347.8087,0.8414758,280.1798
347.8087,0.8414758,280.1798
346.4368,0.6427723,280.8419
345.0628,0.4826085,281.4858
343.6106,0.4484099,282.1669
342.8734,0.3803982,282.5073
342.8734,0.3803982,282.5073
341.4327,0.201847,283.1643
340.0273,0.0607204,283.7712
338.6713,359.9671,284.3638
338.0237,359.9436,284.6428
337.3999,359.9158,284.9035
336.2253,359.8833,285.4156
335.676,359.8791,285.6716
334.683,359.87,286.1022
333.7975,359.8732,286.4951
333.7975,359.8732,286.4951
333.3825,359.8951,286.6857
332.6993,359.9838,286.9512
332.2246,0.09311686,287.1059
331.9403,0.1913575,287.2352
331.8846,0.2381139,287.2627
331.9831,0.3452075,287.1901
332.3327,0.4552514,287.1107
332.3327,0.4552514,287.1107
332.5839,0.5338067,287.0972
333.2599,0.6673519,286.9913
334.7405,0.773317,286.8683
334.7405,0.773317,286.8683
335.3099,0.8212747,286.8534
336.5835,0.8755115,286.7239
338.1558,0.9353685,286.493
339.0732,1.008487,286.3757
341.0245,1.110108,286.1205
341.0245,1.110108,286.1205
343.2274,1.231657,285.777
344.4325,1.320095,285.6553
346.9639,1.508064,285.4255
349.6061,1.613306,285.0997
352.3812,1.786658,284.9325
352.3812,1.786658,284.9325
356.5482,2.006034,284.6279
356.5482,2.006034,284.6279
359.3593,2.249162,284.4922
2.163095,2.515839,284.5936
2.163095,2.515839,284.5936
5.049103,2.800623,284.7252
8.091619,3.198124,284.9291
9.53189,3.351839,285
9.53189,3.351839,285
12.21727,3.514408,285.1663
14.85649,3.741593,285.397
17.11498,3.924668,285.4654
17.11498,3.924668,285.4654
18.96879,3.973163,285.5493
20.44166,3.872231,285.6904
20.44166,3.872231,285.6904
21.48602,3.723247,285.7112
22.18732,3.568144,285.6777
22.61681,3.444241,285.6436
22.61681,3.444241,285.6436
22.71233,3.272246,285.5125
22.67142,3.175308,285.4126
22.33324,2.967409,285.0865
22.12336,2.927909,284.9458
22.12336,2.927909,284.9458
20.64271,2.704318,284.1696
20.64271,2.704318,284.1696
19.69282,2.596446,283.6145
18.50991,2.492539,282.8561
17.78972,2.455763,282.4019
16.1672,2.301214,281.4389
16.1672,2.301214,281.4389
14.37384,2.124669,280.4336
13.37538,2.036936,279.8788
11.22928,1.902099,278.8181
8.857153,1.905504,277.8205
6.302049,1.787154,276.7303
6.302049,1.787154,276.7303
4.979736,1.679287,276.1792
2.357042,1.460322,275.2737
1.051961,1.331723,274.8635
358.4195,1.066792,273.9372
355.8609,0.7796954,272.9319
355.8609,0.7796954,272.9319
353.4247,0.4417084,271.9002
352.2735,0.2552203,271.3617
350.0686,359.9381,270.3581
349.0091,359.8113,269.9506
347.0231,359.5642,269.2386
345.2056,359.3703,268.5223
343.504,359.22,267.8648
343.504,359.22,267.8648
342.666,359.1713,268.1856
341.2245,359.0718,267.6619
339.9265,359.0339,267.0148
339.3459,359.0015,266.6713
339.3459,359.0015,266.6713
338.3004,358.8274,266.0183
337.4358,358.6048,265.2805
337.1141,358.4958,264.9271
336.6873,358.3649,264.2909
336.7785,358.4293,263.947
336.7785,358.4293,263.947
337.1615,358.5385,263.5495
337.7949,358.7091,263.2427
337.7949,358.7091,263.2427
338.6084,358.906,262.9263
339.475,359.192,262.6039
339.9564,359.3377,262.4489
339.9564,359.3377,262.4489
341.0069,359.5132,262.1697
342.1682,359.6985,261.8779
343.4083,359.8959,261.5146
344.0496,359.9933,261.3195
344.0496,359.9933,261.3195
346.8491,0.2764299,260.2874
346.8491,0.2764299,260.2874
348.5196,0.4156113,259.7907
350.4177,0.6203623,259.4602
351.4374,0.7226989,259.2829
353.6354,0.977968,258.8699
353.6354,0.977968,258.8699
356.0036,1.453733,258.609
358.5007,1.998718,258.4615
1.057214,2.606819,258.3679
1.057214,2.606819,258.3679
2.329116,2.921356,258.3749
4.817944,3.475323,258.4335
5.940316,3.764787,258.4081
8.434546,4.204825,257.9355
9.969362,4.777042,258.0262
10.84715,4.975106,258.0767
10.84715,4.975106,258.0767
13.12358,5.408384,258.2549
14.69263,5.414734,257.2517
14.69263,5.414734,257.2517
15.84571,5.104772,257.2639
16.97458,4.660048,256.9192
17.46267,4.503028,256.9095
18.02907,4.269032,257.0005
18.48655,4.265482,257.1804
18.92424,4.208496,257.3388
19.33371,4.190831,257.3507
19.33371,4.190831,257.3507
19.53834,4.136467,257.4717
19.53111,4.006733,257.6016
19.53111,4.006733,257.6016
19.31966,3.846893,257.7946
19.1251,3.788068,257.9147
18.9017,3.712207,258.0685
18.2766,3.553834,258.4301
17.47889,3.341651,258.8965
17.03206,3.235734,259.1481
16.04188,2.973543,259.7658
15.48615,2.775115,260.1425
14.22175,2.413496,260.8843
13.53007,2.225119,261.3008
12.02894,1.771767,262.2682
10.37346,1.368208,263.2345
10.37346,1.368208,263.2345
9.517586,1.137513,263.6982
7.625518,0.7215011,264.6815
5.574205,0.3285527,265.6382
3.441731,359.8907,266.5858
3.441731,359.8907,266.5858
1.029294,359.4536,267.7183
359.7803,359.1633,268.2417
357.1087,358.4314,269.6968
354.8337,357.8937,270.174
353.7104,357.6615,270.6814
351.4695,357.2432,271.7048
351.4695,357.2432,271.7048
348.4165,356.7234,273.2128
348.4165,356.7234,273.2128
346.4084,356.3105,274.2052
345.4841,356.0536,274.7084
342.832,355.2244,276.3212
342.832,355.2244,276.3212
341.9863,354.9778,276.7924
341.1797,354.7393,277.2092
339.6931,354.3906,277.9529
338.4681,354.2041,278.6025
337.5652,354.1171,279.0788
337.5652,354.1171,279.0788
336.9081,354.1422,279.5658
336.6806,354.193,279.7297
336.4754,354.3269,279.8942
336.4738,354.4126,279.9545
336.6337,354.6857,280.0994
336.7686,354.8349,280.1324
337.2338,355.0701,280.0895
337.2338,355.0701,280.0895
337.9355,355.338,280.0788
338.7719,355.6472,280.1616
339.2234,355.764,280.1888
340.2981,356.0121,280.2635
340.2981,356.0121,280.2635
341.5789,356.2289,280.4485
343.0071,356.5079,280.5693
343.7745,356.6725,280.6137
345.381,357.0812,280.8124
346.265,357.3134,280.9356
348.2593,357.8194,281.0891
350.3333,358.3593,281.3144
352.4588,358.7668,281.5759
352.4588,358.7668,281.5759
354.6791,359.1785,281.7183
356.9129,359.6317,281.9766
356.9129,359.6317,281.9766
357.9937,359.7857,282.1103
1.481568,0.1568428,282.3145
1.481568,0.1568428,282.3145
3.859702,0.5126452,282.3214
6.403959,0.4174998,282.2563
6.403959,0.4174998,282.2563
10.39632,0.4093021,282.0395
12.83097,0.736555,282.1199
14.03981,0.8251389,282.2436
14.03981,0.8251389,282.2436
17.49485,0.9897615,282.379
18.88961,0.9231852,283.0596
20.73231,1.116979,283.3772
20.73231,1.116979,283.3772
22.2287,1.188007,283.5684
22.90511,1.213446,283.6098
24.07003,1.27524,283.627
24.85691,1.193441,283.6699
24.85691,1.193441,283.6699
25.27848,1.066965,283.6889
25.39194,1.022866,283.6644
25.3977,1.007987,283.5534
25.28043,1.028433,283.4753
24.90578,1.044675,283.3354
24.48887,1.07858,283.2195
24.21724,1.12771,283.1074
23.90011,1.182074,282.9444
23.05952,1.243673,282.6255
22.05604,1.297743,282.3607
20.8458,1.333237,281.9404
20.8458,1.333237,281.9404
19.26223,1.341224,281.3404
18.41484,1.282624,280.9886
16.72554,1.176022,280.24
14.88247,1.078999,279.4094
14.88247,1.078999,279.4094
12.75269,0.9341462,278.512
11.6775,0.8477257,278.0767
9.58362,0.7417596,277.2449
7.270154,0.6395658,276.4482
6.090367,0.5108317,276.0422
3.909351,0.3075552,275.1843
1.654447,0.3125063,274.2762
1.654447,0.3125063,274.2762
0.3610808,0.1522998,274.0646
357.9742,359.8643,272.2095
356.8183,359.7273,271.7599
354.5588,359.5529,270.9024
352.3523,359.3386,270.1214
351.3092,359.2071,269.7376
351.3092,359.2071,269.7376
349.3214,358.9796,268.968
347.3793,358.8238,268.2834
346.413,358.7161,267.9893
344.5944,358.4512,267.4518
343.0103,358.2427,266.8895
341.684,357.9861,265.8968
341.684,357.9861,265.8968
341.1468,357.8039,265.6406
340.4777,357.4735,265.0832
340.1696,357.3886,264.614
340.0836,357.4116,264.3244
340.0836,357.4116,264.3244
340.1165,357.4333,264.191
340.3129,357.4653,263.9084
340.6724,357.4253,263.7019
340.8663,357.408,263.6009
341.302,357.3817,263.4313
341.8284,357.3331,263.2238
341.8284,357.3331,263.2238
342.143,357.3161,263.0811
342.9118,357.3708,262.774
343.8607,357.4865,262.5218
345.0557,357.6021,262.2949
345.8046,357.7155,262.2021
345.8046,357.7155,262.2021
347.5156,358.0227,262.0387
349.3699,358.3453,261.852
350.3699,358.4765,261.7539
352.5507,358.8406,261.6063
354.8361,359.2409,261.46
354.8361,359.2409,261.46
357.0795,359.6468,261.4202
359.3797,0.09746989,261.279
1.791904,0.5957024,261.1244
1.791904,0.5957024,261.1244
4.134499,1.016501,260.9037
4.134499,1.016501,260.9037
6.583733,1.56992,260.7712
9.01869,2.155297,260.6991
11.36728,2.767372,260.6654
13.71656,3.398659,260.7406
14.82456,3.675466,260.7932
16.79339,4.142519,260.9323
16.79339,4.142519,260.9323
17.71586,4.395916,261.0325
19.5115,4.911759,261.2229
20.27682,5.117706,261.2967
21.50905,5.417541,261.4928
22.51657,5.629347,261.7189
22.51657,5.629347,261.7189
