Yaw,Pitch,Roll
356.5045,4.865022,276.7842
356.5045,4.865022,276.7842
356.5045,4.865022,276.7842
356.0367,5.138822,276.9071
356.0367,5.138822,276.9071
355.9313,5.157233,276.9402
355.8627,5.184399,276.9582
355.8627,5.184399,276.9582
355.7832,5.214806,276.974
355.7375,5.22532,276.9833
355.6992,5.235086,276.9887
355.6992,5.235086,276.9887
355.5587,5.270016,277.0181
355.4081,5.318155,277.0482
355.4081,5.318155,277.0482
355.357,5.339751,277.0664
355.3013,5.354479,277.0886
355.111,5.460259,277.1745
354.8898,5.558198,277.3194
354.386,5.799165,277.6135
354.386,5.799165,277.6135
353.4596,5.994895,278.0301
352.1325,6.068414,278.5355
350.5095,6.035652,279.0876
350.5095,6.035652,279.0876
348.7113,6.022585,279.6636
346.8066,6.017645,280.2295
346.8066,6.017645,280.2295
343.9357,5.927384,281.2666
343.9357,5.927384,281.2666
342.0414,5.83423,281.9857
340.2135,5.736671,282.6458
338.4631,5.584695,283.1909
338.4631,5.584695,283.1909
336.7984,5.404564,283.598
336.7984,5.404564,283.598
335.2582,5.258359,283.9862
333.8595,5.135596,284.383
333.8595,5.135596,284.383
332.0528,5.043134,284.9779
332.0528,5.043134,284.9779
331.0335,5.021826,285.3377
329.5894,4.483932,286.3966
329.5894,4.483932,286.3966
328.8702,4.536062,286.6992
328.8702,4.536062,286.6992
328.1028,4.655258,287.0967
327.7983,4.840507,287.3729
327.7947,4.961793,287.5276
327.7947,4.961793,287.5276
327.9308,5.029774,287.6339
328.0528,5.051907,287.6664
328.0528,5.051907,287.6664
328.3756,5.081636,287.7046
328.9956,5.071746,287.7538
329.5106,5.031711,287.7651
329.5106,5.031711,287.7651
330.0986,4.942037,287.7736
330.7144,4.841511,287.7984
330.7144,4.841511,287.7984
331.3589,4.677045,287.8283
332.1215,4.485656,287.8348
333.0341,4.275338,287.7911
333.0341,4.275338,287.7911
334.7617,3.885453,287.6431
334.7617,3.885453,287.6431
336.1971,3.653022,287.5684
337.8607,3.431374,287.4951
337.8607,3.431374,287.4951
338.8023,3.31848,287.4653
340.8275,3.160097,287.4073
343.0417,3.02792,287.3805
345.4268,2.856177,287.3775
346.6794,2.763308,287.3693
349.3018,2.54899,287.3515
349.3018,2.54899,287.3515
352.0415,2.355079,287.3489
353.4439,2.258556,287.3614
356.249,2.138418,287.3927
359.0577,1.998423,287.4236
1.873227,1.880006,287.4301
1.873227,1.880006,287.4301
4.626617,1.786966,287.4568
7.266131,1.715955,287.4994
7.266131,1.715955,287.4994
10.11398,2.150083,285.7487
11.27623,2.165578,287.0611
11.27623,2.165578,287.0611
12.42521,2.120437,287.1431
14.58559,2.055332,287.1751
17.45785,1.932627,287.2951
19.1509,1.866063,287.3069
20.61973,1.860579,287.3251
21.26211,1.853852,287.343
22.34821,1.866098,287.347
22.34821,1.866098,287.347
23.21073,1.886967,287.312
23.5694,1.912154,287.2825
24.11711,1.997943,287.1981
24.11711,1.997943,287.1981
24.30212,2.0551,287.1528
24.458,2.263769,286.9113
24.21268,2.411811,286.7052
23.65689,2.572853,286.3998
23.26677,2.64399,286.2174
23.26677,2.64399,286.2174
22.78379,2.724214,285.9979
22.22564,2.81736,285.7524
19.18669,3.373534,284.6707
19.18669,3.373534,284.6707
16.33755,4.028978,283.8243
16.33755,4.028978,283.8243
12.98896,5.038577,282.8909
12.98896,5.038577,282.8909
10.51396,5.648167,282.1922
7.87122,6.190364,281.4254
7.87122,6.190364,281.4254
3.605944,6.81632,280.0796
3.605944,6.81632,280.0796
0.6774462,7.171751,279.0567
359.2088,7.330481,278.5167
356.3191,7.611949,277.4023
353.514,7.850561,276.2471
352.1522,7.948568,275.6578
349.5745,8.140645,274.4537
349.5745,8.140645,274.4537
346.0881,8.308845,272.5589
345.0218,8.330116,271.8883
342.9844,8.337572,270.519
342.9844,8.337572,270.519
340.1839,8.189831,268.5001
340.1839,8.189831,268.5001
338.5035,7.903443,267.2256
336.9776,7.507719,265.9929
336.9776,7.507719,265.9929
335.5303,7.162514,264.7574
334.8062,7.05962,264.155
333.4577,6.890612,263.0563
332.8357,6.82258,262.605
331.7518,6.660841,261.8719
331.2947,6.504244,261.6035
330.5527,6.250246,261.1357
330.3008,6.141652,260.9119
329.9856,5.962491,260.5393
329.9446,5.895594,260.3741
330.1033,5.807562,260.0674
330.686,5.752553,259.836
331.1133,5.743866,259.7375
331.1133,5.743866,259.7375
332.2495,5.734716,259.5553
333.8033,5.800601,259.3629
335.7863,5.957972,259.1275
335.7863,5.957972,259.1275
338.1575,6.174817,258.8835
339.4281,6.322482,258.7775
339.4281,6.322482,258.7775
340.7771,6.503658,258.6936
346.6583,7.245005,258.4553
349.7905,7.649305,258.3978
351.3608,7.872664,258.3787
