Yaw,Pitch,Roll
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
355.0111,0.3887567,274.9493
349.6614,0.009061954,276.7233
349.1426,359.9592,276.9635
348.7095,359.9588,277.127
347.8315,359.9805,277.4276
347.4174,359.9853,277.5627
347.4174,359.9853,277.5627
347.0106,359.9848,277.7025
345.9576,359.8958,278.0995
345.0331,359.852,278.5152
345.0331,359.852,278.5152
344.5284,359.8957,278.7261
344.0888,0.008831435,278.9222
344.0888,0.008831435,278.9222
343.5536,0.2051674,279.1353
343.5536,0.2051674,279.1353
343.2775,0.4478284,279.2311
343.2775,0.4478284,279.2311
343.2068,0.6044027,279.2849
343.2153,0.6922113,279.3107
343.28,0.8684244,279.344
343.3987,1.027193,279.3574
343.3987,1.027193,279.3574
343.5875,1.175088,279.3739
343.8517,1.330311,279.4276
344.0271,1.404997,279.4655
344.5244,1.574398,279.6415
344.5244,1.574398,279.6415
345.2534,1.816298,279.902
345.6972,1.954517,280.0051
346.7398,2.223149,280.2624
347.3289,2.393815,280.469
348.6956,2.794606,280.8435
350.1607,3.114125,281.1422
350.1607,3.114125,281.1422
351.7247,3.406517,281.4456
353.3914,3.621568,281.6747
354.2146,3.711161,281.7514
355.8145,3.836146,281.9215
357.4002,3.954937,282.1246
357.4002,3.954937,282.1246
358.1847,4.033407,282.2201
359.6886,4.134788,282.3728
1.085019,4.158653,282.498
1.736636,4.116809,282.5565
2.911151,4.004451,282.6277
3.915788,3.867438,282.6633
3.915788,3.867438,282.6633
4.801562,3.750842,282.706
5.210091,3.71648,282.7368
5.906081,3.662074,282.7693
5.906081,3.662074,282.7693
6.437656,3.564312,282.7415
6.437656,3.564312,282.7415
6.917892,3.39735,282.6146
7.031428,3.287271,282.5543
7.019435,3.173855,282.5029
6.8992,3.060942,282.4161
6.8992,3.060942,282.4161
6.667192,3.004128,282.2749
6.320759,2.964801,282.0632
6.320759,2.964801,282.0632
5.808784,2.877452,281.7604
5.134171,2.816016,281.3858
4.319885,2.783253,281.087
4.319885,2.783253,281.087
3.369087,2.772755,280.7672
2.320101,2.771372,280.386
2.320101,2.771372,280.386
1.171618,2.807559,279.9408
359.9664,2.892506,279.4917
358.714,2.980926,278.949
358.714,2.980926,278.949
357.4359,3.049104,278.3289
356.1552,3.090663,277.6514
354.8872,3.209245,277.0398
354.8872,3.209245,277.0398
353.6784,3.416297,276.5272
352.5289,3.598861,275.9919
352.5289,3.598861,275.9919
351.5,3.69266,275.4408
350.6275,3.743097,274.9091
349.8665,3.831128,274.3151
349.8665,3.831128,274.3151
349.2134,3.971972,273.6449
348.6762,4.122627,272.9353
348.6762,4.122627,272.9353
348.2268,4.287685,272.1755
347.8593,4.431142,271.3671
347.5405,4.571565,270.5858
347.5405,4.571565,270.5858
347.4098,4.621131,270.2664
347.204,4.708342,269.6618
347.0498,4.791637,269.0424
346.9217,4.902526,268.4743
346.9217,4.902526,268.4743
