Yaw,Pitch,Roll
358.5229,4.372486,287.2961
358.5229,4.372486,287.2961
358.3837,4.428122,287.1522
358.275,4.521379,287.1391
358.1703,4.532044,287.1006
357.9766,4.500821,286.9904
357.834,4.516378,286.96
357.5381,4.554326,286.914
357.5381,4.554326,286.914
357.279,4.587891,286.7865
357.0925,4.637271,286.6779
357.0188,4.633111,286.6869
357.0188,4.633111,286.6869
356.9883,4.624631,286.6482
356.9933,4.628011,286.5221
356.9933,4.628011,286.5221
357.0333,4.588888,286.3511
357.0686,4.5049,286.2209
357.0686,4.5049,286.2209
357.1168,4.449565,286.2183
357.1168,4.449565,286.2183
357.1926,4.383114,286.2425
357.2366,4.320976,286.2397
357.2366,4.320976,286.2397
357.239,4.221213,286.1738
357.2142,4.140341,286.1577
357.2083,4.163683,286.344
357.1917,4.121001,286.5331
357.1014,4.115666,286.5725
357.1014,4.115666,286.5725
356.9934,4.113452,286.615
356.8497,4.166356,286.5541
356.8497,4.166356,286.5541
356.6854,4.221529,286.4914
356.6299,4.244964,286.4956
356.6299,4.244964,286.4956
356.6299,4.244964,286.4956
356.6299,4.244964,286.4956
356.6299,4.244964,286.4956
356.6299,4.244964,286.4956
356.6299,4.244964,286.4956
356.6299,4.244964,286.4956
356.4528,4.466436,286.4139
356.5207,4.468443,286.3972
356.8208,4.382533,286.4886
356.8208,4.382533,286.4886
357.3054,4.32986,286.6821
357.8849,4.354187,287.038
358.4847,4.357562,287.4109
358.4847,4.357562,287.4109
359.0235,4.257295,288.0825
359.5131,4.231047,288.3929
0.0191765,4.245005,288.6462
0.0191765,4.245005,288.6462
0.2700313,4.206124,288.7112
0.7096211,4.112747,288.7565
1.119449,4.112648,288.8248
1.281667,4.058033,288.7865
1.548977,3.962886,288.6142
1.804073,3.82212,288.4595
1.804073,3.82212,288.4595
2.064327,3.756653,288.3975
2.202953,3.715708,288.3346
2.649671,3.635169,288.4926
2.985181,3.57767,288.5946
3.778408,3.441607,288.7703
3.778408,3.441607,288.7703
4.640964,3.33382,288.986
5.616872,3.196407,289.1618
5.616872,3.196407,289.1618
7.781582,3.028605,289.8127
7.781582,3.028605,289.8127
8.755167,2.93983,290.0771
9.616999,2.86877,290.3294
9.616999,2.86877,290.3294
10.37063,2.819108,290.5487
10.97638,2.757267,290.7338
10.97638,2.757267,290.7338
11.51521,2.696472,290.9059
11.73199,2.661194,290.9848
12.17818,2.553701,291.1768
12.68003,2.423852,291.3867
13.08218,2.314165,291.5572
13.08218,2.314165,291.5572
13.41701,2.180333,291.6995
13.65894,2.051903,291.7805
13.74956,1.935049,291.8001
13.74956,1.935049,291.8001
13.8223,1.860683,291.7803
14.00157,1.817513,291.8107
14.00157,1.817513,291.8107
14.18006,1.74593,291.7568
14.3155,1.672566,291.7106
14.36855,1.648164,291.6909
14.422,1.565131,291.6251
14.422,1.565131,291.6251
14.35981,1.471589,291.5293
14.32214,1.407841,291.5103
14.26265,1.351274,291.4922
14.19497,1.324453,291.4472
14.08881,1.298423,291.3383
14.01259,1.291897,291.2689
13.79388,1.397129,291.1484
13.79388,1.397129,291.1484
13.17405,1.731937,290.9678
12.66926,1.884331,290.8229
11.27732,2.221495,290.3911
9.591879,2.610028,289.8266
9.591879,2.610028,289.8266
7.595467,2.962074,289.1107
6.496241,3.128284,288.7046
4.104481,3.513034,287.8249
1.524863,3.944396,286.8428
1.524863,3.944396,286.8428
358.7711,4.327796,285.7308
357.3871,4.508352,285.1519
354.6584,4.844218,283.973
353.342,5.009096,283.367
352.1098,5.190296,282.7475
348.7205,5.741846,281.0002
348.7205,5.741846,281.0002
346.0278,6.415863,279.1021
346.0278,6.415863,279.1021
344.3698,7.189604,277.8872
343.0322,7.884892,276.5305
342.4318,8.144271,275.827
341.5611,8.549843,274.7184
341.5611,8.549843,274.7184
340.886,8.923567,273.6978
340.3647,9.205389,272.7908
340.1534,9.354428,272.3889
339.9697,9.464757,272.0572
339.4295,9.723331,271.202
339.4295,9.723331,271.202
339.1236,9.825879,270.7145
338.9984,9.86744,270.5028
338.7896,9.955146,270.1582
338.7044,9.999179,270.0074
338.6156,10.03783,269.8712
338.5241,10.15415,269.597
338.488,10.1558,269.5258
338.4644,10.1931,269.4375
338.5175,10.1993,269.3881
338.5822,10.16965,269.3671
338.5822,10.16965,269.3671
338.6697,10.13519,269.3523
338.7933,10.1308,269.3588
339.2888,10.11738,269.4878
341.2584,10.16195,269.939
342.171,10.22018,270.1423
344.2817,10.26969,270.4369
345.5666,10.26092,270.5863
345.5666,10.26092,270.5863
351.8386,10.33977,271.2471
351.8386,10.33977,271.2471
355.2577,10.34071,271.5294
357.043,10.28194,271.6557
2.79264,9.621429,272.0942
2.79264,9.621429,272.0942
4.565557,9.470329,272.2243
7.905813,9.160667,272.4606
10.81922,8.77512,272.5385
12.05531,8.596851,272.5492
12.05531,8.596851,272.5492
13.13177,8.428998,272.55
16.18221,7.790143,272.4712
16.65249,7.621389,272.4817
17.00855,7.456363,272.454
17.00855,7.456363,272.454
17.66789,7.001306,272.4332
17.8093,6.88289,272.4443
17.8893,6.790011,272.4469
17.93274,6.677479,272.4269
17.82115,6.23849,272.2802
17.78622,6.166071,272.2681
17.78622,6.166071,272.2681
17.75329,6.098264,272.2502
17.52567,5.945149,272.0991
17.45094,5.925816,272.0505
17.39943,5.908683,272.0194
17.24021,5.845324,271.9604
17.24021,5.845324,271.9604
17.14413,5.801166,271.9102
17.0956,5.774802,271.8632
17.03916,5.762205,271.8241
16.87076,5.707629,271.756
16.87076,5.707629,271.756
16.58468,5.655238,271.6603
16.29634,5.631039,271.6187
16.29634,5.631039,271.6187
16.09888,5.615083,271.5991
15.56369,5.578057,271.6337
15.19301,5.561329,271.7391
14.77891,5.525333,271.9053
14.77891,5.525333,271.9053
14.29742,5.473296,272.1038
13.15004,5.31583,272.5769
10.17688,5.088614,273.8179
9.303493,5.070194,274.1622
8.322382,4.996018,274.5764
8.322382,4.996018,274.5764
7.226696,5.000757,275.0544
4.884497,4.830985,275.9614
2.277243,4.668967,276.8036
356.8302,4.321695,278.4568
356.8302,4.321695,278.4568
355.5123,4.274224,278.7643
353.1356,4.224397,279.402
352.1105,4.284148,279.7422
351.1868,4.371309,280.1015
350.2946,4.468091,280.478
350.2946,4.468091,280.478
348.6857,4.59442,281.191
347.3299,4.678756,281.707
346.0477,5.202718,282.1998
345.5171,5.475354,282.4001
344.5575,5.941,282.9754
344.1526,6.156261,283.4618
344.1526,6.156261,283.4618
344.0607,6.252103,283.7741
344.01,6.373437,284.0292
344.01,6.373437,284.0292
344.0087,6.564521,284.4687
344.0995,6.765194,284.9359
344.2995,6.867883,285.3159
344.2995,6.867883,285.3159
344.5704,6.967998,285.5892
344.9254,7.069027,285.8126
346.05,7.259346,286.2374
346.4309,7.306417,286.3226
346.4309,7.306417,286.3226
346.885,7.342054,286.4314
347.429,7.363814,286.5528
350.4092,7.55898,287.2142
351.339,7.642743,287.4734
352.3442,7.727561,287.7573
352.3442,7.727561,287.7573
353.4031,7.777587,288.0276
357.5366,7.773857,288.8668
359.579,7.673052,289.3188
0.5570507,7.446068,289.4516
0.5570507,7.446068,289.4516
3.22627,6.719745,289.8038
4.051694,6.574453,289.9685
4.051694,6.574453,289.9685
5.578951,6.331554,290.2929
7.516346,6.204725,290.681
8.085306,6.18816,290.7634
8.085306,6.18816,290.7634
9.093386,6.105135,290.8439
9.093386,6.105135,290.8439
10.49756,5.950058,290.9376
11.24023,5.86172,291.0006
11.86029,5.8179,291.0536
12.12965,5.795702,291.1088
12.36776,5.781121,291.1707
12.57513,5.758058,291.2247
12.74542,5.716817,291.2659
13.0801,5.6379,291.4079
13.13722,5.612405,291.437
13.15858,5.591856,291.4513
13.14624,5.559394,291.4339
13.14624,5.559394,291.4339
13.12496,5.548862,291.4221
12.88647,5.53999,291.3543
12.71622,5.519193,291.2582
12.71622,5.519193,291.2582
12.61942,5.519829,291.195
12.28514,5.524642,291.0015
12.15365,5.528849,290.9279
11.83936,5.538277,290.7281
11.64327,5.549314,290.6021
11.01343,5.583948,290.258
10.56171,5.607093,290.0432
9.92675,5.624817,289.7443
9.92675,5.624817,289.7443
7.322303,5.774477,288.4988
3.728285,5.957916,286.7202
3.728285,5.957916,286.7202
2.366823,6.032611,286.0851
