Yaw,Pitch,Roll
359.9357,354.915,280.999
359.9357,354.915,280.999
359.9357,354.915,280.999
359.9357,354.915,280.999
359.9357,354.915,280.999
359.9357,354.915,280.999
359.9357,354.915,280.999
359.9357,354.915,280.999
359.9357,354.915,280.999
359.9357,354.915,280.999
359.9357,354.915,280.999
0.1462366,354.7294,280.7691
0.1375657,354.7634,280.7998
0.1375657,354.7634,280.7998
0.1122228,354.7857,280.8123
0.09175963,354.8001,280.865
0.09175963,354.8001,280.865
0.09175963,354.8001,280.865
0.09175963,354.8001,280.865
359.1423,355.1095,281.1826
359.1423,355.1095,281.1826
357.2068,355.0118,281.4665
357.2068,355.0118,281.4665
355.6345,355.1368,281.7182
353.8053,355.1778,282.0438
351.8897,355.309,282.3889
351.8897,355.309,282.3889
349.8681,355.4264,282.7576
347.8258,355.5539,283.0853
345.8946,355.6262,283.4523
345.8946,355.6262,283.4523
344.0778,355.7086,283.8156
342.3417,355.8671,284.1693
342.3417,355.8671,284.1693
340.7162,355.9564,284.5284
339.2585,356.059,284.8687
339.2585,356.059,284.8687
337.9307,356.1985,285.1866
336.7974,356.256,285.4636
335.8015,356.3942,285.7406
335.8015,356.3942,285.7406
334.9841,356.5349,285.9566
334.2221,356.6857,286.2273
333.6272,356.8033,286.4424
333.6272,356.8033,286.4424
333.2911,356.8688,286.6051
333.2334,356.9243,286.7024
333.4975,356.9297,286.7012
333.4975,356.9297,286.7012
334.063,356.8783,286.6142
334.9006,356.8341,286.4834
334.9006,356.8341,286.4834
335.9389,356.6884,286.2969
336.9489,356.7644,286.2473
338.1332,356.8244,286.0887
338.1332,356.8244,286.0887
339.4476,356.9057,285.9086
340.9004,357.0005,285.6847
340.9004,357.0005,285.6847
341.6816,357.0007,285.5704
344.2869,356.9597,285.1506
344.2869,356.9597,285.1506
346.2988,356.8845,284.9608
348.5323,356.7358,284.8125
350.8358,356.8008,284.6916
350.8358,356.8008,284.6916
353.1531,356.7561,284.5658
355.5511,356.6495,284.4752
355.5511,356.6495,284.4752
357.8807,356.6904,284.4156
0.1218257,356.6276,284.369
2.310336,356.5393,284.2974
2.310336,356.5393,284.2974
4.339133,356.521,284.2272
6.218624,356.4497,284.1125
6.218624,356.4497,284.1125
8.054915,356.2421,284.0101
9.661135,356.1844,283.9316
11.12433,355.9675,283.8308
11.12433,355.9675,283.8308
13.02293,355.7562,283.652
13.02293,355.7562,283.652
13.99841,355.5772,283.5092
13.99841,355.5772,283.5092
15.42395,355.352,283.331
15.42395,355.352,283.331
16.23878,355.4184,283.0247
16.23878,355.4184,283.0247
16.40571,355.6668,282.7759
16.07701,355.824,282.6205
16.07701,355.824,282.6205
15.49263,355.9658,282.5117
14.68343,356.0652,282.4285
14.68343,356.0652,282.4285
13.65622,356.126,282.3849
13.65622,356.126,282.3849
11.99482,356.2486,282.3369
10.724,356.3533,282.2056
10.724,356.3533,282.2056
9.308469,356.3975,282.1058
7.775219,356.5143,281.9518
6.239094,356.5628,281.8004
6.239094,356.5628,281.8004
4.588389,356.6634,281.6509
2.881829,356.8094,281.4605
1.033284,357.014,281.2878
1.033284,357.014,281.2878
359.107,357.103,281.1034
357.121,357.2625,280.9598
357.121,357.2625,280.9598
355.0274,357.4757,280.7836
352.8167,357.7022,280.6367
350.6409,357.9085,280.4784
350.6409,357.9085,280.4784
348.4004,358.1651,280.2865
346.2343,358.4101,280.0789
346.2343,358.4101,280.0789
344.1445,358.6247,279.7775
342.1083,358.8483,279.4519
340.0801,358.9761,279.1188
340.0801,358.9761,279.1188
338.112,358.8023,278.7407
336.4505,358.646,278.383
335.1263,358.5565,278.0317
335.1263,358.5565,278.0317
334.0971,358.6168,277.6362
333.336,358.6628,277.3403
333.336,358.6628,277.3403
332.9118,358.7124,277.0879
332.6399,358.817,276.8561
332.568,358.8576,276.5712
332.568,358.8576,276.5712
332.7227,358.8479,276.247
332.976,358.8238,276.0245
332.976,358.8238,276.0245
333.4003,358.7638,275.7537
333.9972,358.7416,275.4972
334.7054,358.726,275.2836
334.7054,358.726,275.2836
335.5594,358.6651,275.1462
336.5668,358.5902,275.017
336.5668,358.5902,275.017
337.7272,358.5392,274.8643
339.1539,358.4567,274.6911
340.7274,358.4248,274.4865
340.7274,358.4248,274.4865
342.3615,358.3647,274.2906
344.0641,358.2955,274.0919
344.0641,358.2955,274.0919
345.9297,358.1154,273.8398
347.9094,357.9785,273.4943
347.9094,357.9785,273.4943
350.0083,357.9074,273.1486
352.1955,357.8821,272.8412
355.6796,357.8017,272.4147
355.6796,357.8017,272.4147
357.9975,357.8512,272.1381
359.1476,357.8423,271.9918
1.38971,357.8758,271.6662
1.38971,357.8758,271.6662
3.543116,357.8579,271.4488
5.558961,357.8488,271.2869
7.39695,357.8356,271.1556
7.39695,357.8356,271.1556
9.797331,357.763,270.9413
10.52533,357.7234,270.8887
10.52533,357.7234,270.8887
12.43712,357.6361,270.7892
13.46829,357.5328,270.7458
14.80256,357.3074,270.8637
14.80256,357.3074,270.8637
16.22375,357.2902,271.0397
17.42419,357.2398,271.1111
17.42419,357.2398,271.1111
18.37815,357.2301,271.1315
19.10456,357.1609,271.1314
19.5825,357.0921,271.1067
19.5825,357.0921,271.1067
19.78432,356.9693,271.0947
19.67266,356.7858,271.1146
19.67266,356.7858,271.1146
19.33134,356.5682,271.1622
18.78404,356.3237,271.2243
18.78404,356.3237,271.2243
18.4175,356.223,271.2915
17.63315,356.0497,271.4615
16.77708,355.8562,271.6425
15.80606,355.6903,271.84
15.80606,355.6903,271.84
14.26632,355.4745,272.0528
13.23833,355.3858,272.166
13.23833,355.3858,272.166
12.15933,355.2426,272.3481
10.89954,355.0985,272.6298
9.234178,354.9442,273.0052
9.234178,354.9442,273.0052
7.380739,354.7354,273.3808
5.273922,354.5543,273.8204
5.273922,354.5543,273.8204
2.841086,354.3364,274.3012
0.3696865,354.0975,274.696
357.917,353.8891,275.0573
357.917,353.8891,275.0573
355.3897,353.6541,275.4302
352.8703,353.4339,275.7963
352.8703,353.4339,275.7963
350.3898,353.2125,276.1726
347.8268,352.9068,276.6516
346.5622,352.752,276.8931
346.5622,352.752,276.8931
343.0271,352.5976,277.4191
340.8116,352.5363,277.783
340.8116,352.5363,277.783
338.7852,352.3616,278.1315
337.0147,352.2317,278.4188
335.3771,352.1138,278.7527
335.3771,352.1138,278.7527
333.933,352.065,278.9863
332.7176,352.0304,279.1917
332.7176,352.0304,279.1917
331.7322,352.0617,279.4796
331.0311,352.1056,279.6759
330.672,352.1469,279.8266
330.672,352.1469,279.8266
330.6505,352.2206,279.8907
330.7597,352.2542,279.8718
330.7597,352.2542,279.8718
331.5688,352.2689,279.8069
332.3859,352.2995,279.6238
333.3949,352.4007,279.4598
333.3949,352.4007,279.4598
334.6772,352.5887,279.2294
336.2739,352.8203,279.1605
336.2739,352.8203,279.1605
338.1548,353.218,279.4042
340.2498,353.5562,279.6634
342.5225,353.8353,279.8391
342.5225,353.8353,279.8391
344.933,354.018,279.9032
347.4232,354.1715,279.855
347.4232,354.1715,279.855
349.9873,354.2876,279.8234
352.7247,354.26,279.7582
355.7122,354.1594,279.6738
355.7122,354.1594,279.6738
358.8032,354.0623,279.6041
1.888711,354.1176,279.557
4.789564,354.3489,279.5703
4.789564,354.3489,279.5703
7.521346,354.5847,279.5078
10.09607,354.7841,279.3947
10.09607,354.7841,279.3947
12.42751,354.9969,279.2514
14.44093,355.1464,279.1119
16.2072,355.1646,278.9423
16.2072,355.1646,278.9423
17.61226,355.2735,278.8201
18.68368,355.2551,278.7294
18.68368,355.2551,278.7294
19.51973,355.2118,278.6728
20.06763,355.2198,278.6505
20.63694,355.1575,278.7581
20.63694,355.1575,278.7581
21.06598,355.2908,279.0194
21.42247,355.2659,279.2556
21.42247,355.2659,279.2556
21.8563,355.3307,279.4799
22.19788,355.507,279.6464
22.42307,355.6656,279.7123
22.42307,355.6656,279.7123
22.52355,355.8271,279.735
22.34161,356.0198,279.6519
21.90701,356.1624,279.5312
21.90701,356.1624,279.5312
21.24472,356.1714,279.499
21.24472,356.1714,279.499
20.30799,356.226,279.6542
19.11935,356.3387,279.8266
17.7322,356.4441,279.9472
16.16949,356.5611,279.9421
16.16949,356.5611,279.9421
14.30631,356.762,279.827
12.31756,356.8011,279.6069
12.31756,356.8011,279.6069
10.18826,356.8676,279.3477
7.864213,356.8842,279.0199
7.864213,356.8842,279.0199
5.422804,356.854,278.6548
2.892883,356.7953,278.257
0.2368444,356.7545,277.8994
0.2368444,356.7545,277.8994
357.5401,356.7216,277.5706
354.8329,356.6729,277.2505
352.2092,356.649,276.9127
352.2092,356.649,276.9127
349.6149,356.6186,276.4899
347.1769,356.4839,276.1361
344.8414,356.3328,275.8091
344.8414,356.3328,275.8091
342.6077,356.2228,275.4909
340.6738,355.869,275.2028
340.6738,355.869,275.2028
338.9591,355.7983,274.8263
337.6079,355.7638,274.3875
336.6857,355.7606,273.9299
336.6857,355.7606,273.9299
336.0612,355.8954,273.4932
335.7725,355.9814,273.123
335.7725,355.9814,273.123
335.7607,356.1273,272.7411
335.9422,356.3178,272.3289
335.9422,356.3178,272.3289
336.3352,356.4385,271.8568
336.9581,356.4758,271.4662
337.3017,356.529,271.2692
337.3017,356.529,271.2692
337.3017,356.529,271.2692
339.6716,356.8328,270.441
339.6716,356.8328,270.441
340.8986,356.9608,270.1147
342.3396,357.0842,269.8111
343.963,357.28,269.538
343.963,357.28,269.538
345.7465,357.4496,269.2687
347.6426,357.6404,269.0505
349.6638,357.7697,268.8314
349.6638,357.7697,268.8314
351.7526,357.8658,268.5807
353.8773,357.9833,268.375
353.8773,357.9833,268.375
356.0258,358.1294,268.2994
358.1944,358.2249,268.2431
358.1944,358.2249,268.2431
0.3660812,358.3212,268.2026
2.486081,358.4042,268.1946
4.576163,358.4663,268.2115
4.576163,358.4663,268.2115
6.596575,358.5214,268.2161
8.50503,358.5714,268.1692
10.31141,358.6255,268.1662
10.31141,358.6255,268.1662
11.96624,358.6433,268.1859
13.51915,358.6077,268.1786
13.51915,358.6077,268.1786
14.90315,358.6582,268.1923
16.12574,358.6486,268.1699
17.30004,358.5583,268.1656
17.30004,358.5583,268.1656
18.3527,358.543,268.1624
19.6242,358.4897,268.1598
19.6242,358.4897,268.1598
20.26867,358.4995,268.1558
