Yaw,Pitch,Roll
1.285756,358.2483,284.2672
1.285756,358.2483,284.2672
1.253373,358.2216,284.2202
1.253373,358.2216,284.2202
1.174206,358.3589,284.1273
1.121445,358.4799,284.1056
1.075955,358.4284,284.0834
0.9208162,358.3897,284.0465
0.7961711,358.415,284.0125
0.7409424,358.3935,283.966
0.7409424,358.3935,283.966
0.632569,358.449,283.7962
0.6304404,358.5091,283.774
0.6308375,358.5709,283.7699
0.6308375,358.5709,283.7699
0.6441579,358.6268,283.7628
0.6645643,358.7104,283.7126
0.6645643,358.7104,283.7126
0.6536397,358.8495,283.6875
0.6913836,358.7902,283.7749
0.2884271,359.0842,283.7179
0.2884271,359.0842,283.7179
0.1171592,359.2052,283.9521
359.985,359.3944,284.2219
359.8009,359.6802,284.4799
359.7271,359.6713,284.4123
359.7271,359.6713,284.4123
359.3884,359.5121,284.5192
358.8856,359.3178,284.5964
357.1502,359.1847,285.0323
356.572,359.1464,285.1682
356.572,359.1464,285.1682
355.9252,359.127,285.4409
355.2017,359.107,285.8113
353.5477,358.9472,286.681
353.5477,358.9472,286.681
351.7588,358.7264,287.3963
349.8525,358.6457,288.3078
347.8188,358.4969,289.3717
345.7047,358.2972,290.2368
342.5189,358.0158,291.8146
342.5189,358.0158,291.8146
340.5381,357.9788,292.5269
339.6537,357.8397,292.6653
338.8148,357.6975,292.7939
338.101,357.5672,292.9508
338.101,357.5672,292.9508
336.8064,357.4894,293.4711
335.7969,357.4294,294.0418
335.1007,357.4601,294.1841
334.8197,357.4392,294.3655
334.8197,357.4392,294.3655
334.4065,357.4231,294.6925
334.4065,357.4231,294.6925
334.0271,357.416,294.8848
333.9868,357.3077,294.7726
334.103,356.8793,294.4478
334.103,356.8793,294.4478
334.3527,356.8897,294.41
334.3564,357.2312,294.3583
334.4735,357.55,293.4906
334.6059,357.6815,294.7517
334.8868,357.6587,294.9738
334.8868,357.6587,294.9738
335.2591,357.3997,294.8333
335.8958,357.3561,294.6195
335.8958,357.3561,294.6195
336.4192,357.2994,294.6559
336.6989,357.2257,294.6627
337.0246,357.1175,294.6622
337.378,357.0376,294.6527
339.3421,357.2018,294.3991
339.3421,357.2018,294.3991
339.9872,357.2721,294.3011
340.7351,357.371,294.2021
343.3342,357.5189,293.9158
345.3709,357.5903,293.8361
346.47,357.6241,293.7122
346.47,357.6241,293.7122
347.6571,357.6579,293.527
351.3084,357.7459,293.1331
352.5359,357.7341,293.0317
353.7805,357.683,292.9166
355.0409,357.6574,292.7388
357.5892,357.5791,292.3008
357.5892,357.5791,292.3008
358.8737,357.5742,292.1072
358.8737,357.5742,292.1072
3.831504,357.3227,291.7714
6.178689,357.0831,291.6152
8.521999,356.8766,291.6324
10.85707,356.8204,291.7166
12.9542,356.7954,291.821
12.9542,356.7954,291.821
14.68444,356.7423,291.936
16.00099,356.6123,291.9866
16.57625,356.5853,291.9803
17.09262,356.5976,291.9429
17.58447,356.6216,291.8778
18.05697,356.5968,291.7747
19.12255,356.3907,291.5746
19.57305,356.2226,291.5838
19.74754,356.1494,291.5505
19.74754,356.1494,291.5505
19.97395,355.9794,291.3724
19.97395,355.9794,291.3724
19.92135,355.9315,291.2763
19.70646,355.9992,291.0622
19.49263,356.0641,290.9038
19.2095,356.1311,290.7176
18.83214,356.1615,290.448
17.93018,356.3457,289.8442
17.93018,356.3457,289.8442
17.39467,356.4645,289.5567
16.01868,357.2831,287.5927
14.58456,357.5118,286.794
13.79285,357.5833,286.3811
11.35269,357.9066,285.2305
9.635978,358.0433,284.1718
8.716713,358.1448,283.7011
8.716713,358.1448,283.7011
6.764171,358.4048,282.8696
4.681495,358.5718,281.7879
2.398995,358.7234,280.5113
1.196633,358.8236,279.8835
359.9838,358.8871,279.3009
356.314,358.9206,277.2345
356.314,358.9206,277.2345
353.8108,358.7367,275.8776
352.55,358.6418,275.2615
349.7927,358.7761,273.6447
347.5677,358.5178,272.5594
345.4722,358.1982,271.3642
345.4722,358.1982,271.3642
344.5474,358.0832,270.7814
342.9224,357.8878,269.6048
341.6434,357.6061,268.3007
340.6734,357.3316,267.1113
340.6734,357.3316,267.1113
339.6493,357.028,265.6266
339.6493,357.028,265.6266
339.2299,356.6999,264.6761
339.0809,356.5978,264.2567
338.9009,356.5592,263.8073
338.6574,356.5243,262.9973
