Yaw,Pitch,Roll
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.8685,357.2379,284.3933
355.9425,357.2411,285.22
355.9425,357.2411,285.22
354.3531,356.8154,286.47
352.6121,356.7058,287.7075
352.6121,356.7058,287.7075
351.4736,356.5894,288.3693
349.1158,356.2936,289.4635
345.5942,356.0242,290.9214
345.5942,356.0242,290.9214
343.3494,355.9233,291.7951
341.169,355.8476,292.6833
341.169,355.8476,292.6833
339.0225,355.7408,293.4977
337.0339,355.6844,294.1125
337.0339,355.6844,294.1125
335.2487,355.7347,294.6353
333.6548,355.849,295.1065
332.2969,355.9821,295.5397
332.2969,355.9821,295.5397
331.1842,356.2238,295.916
330.2758,356.4218,296.3206
329.5456,356.6265,296.6302
329.5456,356.6265,296.6302
329.075,356.8718,296.795
328.8276,357.1353,296.8344
328.8276,357.1353,296.8344
328.7605,357.3695,296.8281
328.8364,357.5157,296.8273
328.8364,357.5157,296.8273
329.0328,357.6438,296.7534
329.357,357.7807,296.693
329.8416,357.8652,296.6818
329.8416,357.8652,296.6818
330.4754,357.9691,296.6346
331.209,358.0604,296.5924
332.17,358.1659,296.529
332.17,358.1659,296.529
333.4842,358.2887,296.5177
335.3378,358.4546,296.5552
335.3378,358.4546,296.5552
337.7277,358.5828,296.6734
340.7326,358.6926,296.8542
340.7326,358.6926,296.8542
344.3154,358.7119,297.0005
348.3251,358.6953,297.1624
352.5741,358.6263,297.22
357.0018,358.4457,297.1489
357.0018,358.4457,297.1489
1.43887,358.3417,297.049
5.727258,358.2324,296.8853
5.727258,358.2324,296.8853
9.798113,358.0656,296.6124
13.66032,357.9228,296.2639
13.66032,357.9228,296.2639
17.30129,357.8288,295.9684
22.18406,357.618,295.7609
22.18406,357.618,295.7609
24.95811,357.4093,295.6531
24.95811,357.4093,295.6531
27.40886,357.3641,295.4445
