H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
-1.040706,1.131163,0.03548636,0.007077575,0.0008778274,-0.6824945,0.7308561
-1.040706,1.131163,0.03548636,0.007077575,0.0008778274,-0.6824945,0.7308561
-1.040706,1.131163,0.03548636,0.007077575,0.0008778274,-0.6824945,0.7308561
-1.040706,1.131163,0.03548636,0.007077575,0.0008778274,-0.6824945,0.7308561
-1.040706,1.131163,0.03548636,0.007077575,0.0008778274,-0.6824945,0.7308561
-1.040706,1.131163,0.03548636,0.007077575,0.0008778274,-0.6824945,0.7308561
-1.040706,1.131163,0.03548636,0.007077575,0.0008778274,-0.6824945,0.7308561
-1.040706,1.131163,0.03548636,0.007077575,0.0008778274,-0.6824945,0.7308561
-1.040706,1.131163,0.03548636,0.007077575,0.0008778274,-0.6824945,0.7308561
-1.040706,1.131163,0.03548636,0.007077575,0.0008778274,-0.6824945,0.7308561
-1.040706,1.131163,0.03548636,0.007077575,0.0008778274,-0.6824945,0.7308561
-1.040706,1.131163,0.03548636,0.007077575,0.0008778274,-0.6824945,0.7308561
-1.040706,1.131163,0.03548636,0.007077575,0.0008778274,-0.6824945,0.7308561
-1.040706,1.131163,0.03548636,0.007077575,0.0008778274,-0.6824945,0.7308561
-1.040706,1.131163,0.03548636,0.007077575,0.0008778274,-0.6824945,0.7308561
-1.040706,1.131163,0.03548636,0.007077575,0.0008778274,-0.6824945,0.7308561
-1.040706,1.131163,0.03548636,0.007077575,0.0008778274,-0.6824945,0.7308561
-1.040706,1.131163,0.03548636,0.007077575,0.0008778274,-0.6824945,0.7308561
-1.040706,1.131163,0.03548636,0.007077575,0.0008778274,-0.6824945,0.7308561
-1.040706,1.131163,0.03548636,0.007077575,0.0008778274,-0.6824945,0.7308561
-1.037857,1.130288,0.03553642,0.03720117,-0.04223385,-0.6780956,0.7328157
-1.037684,1.13022,0.03560364,0.04269537,-0.05019376,-0.6771765,0.7328643
-1.037597,1.130176,0.03575855,0.04788843,-0.0581733,-0.6761611,0.7328908
-1.037715,1.130239,0.03630325,0.0583384,-0.07473105,-0.6743913,0.7322625
-1.037715,1.130239,0.03630325,0.0583384,-0.07473105,-0.6743913,0.7322625
-1.037556,1.130314,0.03638186,0.07124957,-0.09208339,-0.6718832,0.7314487
-1.037469,1.13034,0.0366473,0.07729495,-0.1014472,-0.6703143,0.7310355
-1.037374,1.13043,0.03743745,0.08899158,-0.1204894,-0.666798,0.7300298
-1.037309,1.130511,0.03764409,0.09546256,-0.1296862,-0.6648965,0.7293704
-1.037065,1.130645,0.03802583,0.108598,-0.1482213,-0.6605885,0.7279148
-1.036953,1.130685,0.03840202,0.1147131,-0.1574953,-0.6582644,0.7271343
-1.036771,1.130802,0.03906423,0.1271536,-0.1758159,-0.6533841,0.7252655
-1.036687,1.130837,0.03930576,0.1335692,-0.1846892,-0.6508064,0.724224
-1.036613,1.130933,0.039876,0.1461777,-0.2023836,-0.645546,0.7217642
-1.036597,1.130974,0.04021834,0.1522524,-0.2111053,-0.6428749,0.7203928
-1.036597,1.131021,0.04092516,0.1642853,-0.2285876,-0.6373216,0.717342
-1.036597,1.131065,0.04135428,0.1698803,-0.2373864,-0.6344907,0.7156885
-1.036666,1.131115,0.04182214,0.1751331,-0.2460171,-0.6316954,0.7139784
-1.036609,1.13123,0.04242569,0.1866102,-0.2624306,-0.6256106,0.7105761
-1.036601,1.131301,0.04276322,0.1923096,-0.2705321,-0.6224216,0.7088165
-1.036888,1.131492,0.04361096,0.2030769,-0.2870993,-0.6162434,0.7046829
-1.036976,1.131578,0.04384314,0.208981,-0.29541,-0.6129821,0.7023625
-1.037179,1.131742,0.04427411,0.2209692,-0.3122502,-0.6061096,0.6973549
-1.037367,1.131807,0.04460073,0.2268546,-0.3210019,-0.6024885,0.6946241
-1.037774,1.132029,0.04532062,0.2387207,-0.3387689,-0.5948316,0.6887841
-1.038049,1.132129,0.04569513,0.244477,-0.3475517,-0.590883,0.6857815
-1.038439,1.132224,0.04605867,0.2503269,-0.3563336,-0.5869417,0.6825412
-1.039091,1.132482,0.04669271,0.2625202,-0.374138,-0.5789015,0.6752608
-1.039439,1.132575,0.04707484,0.268125,-0.3831854,-0.5749087,0.6713852
-1.040176,1.13275,0.04775144,0.2797776,-0.399992,-0.5667672,0.6637062
-1.040399,1.132872,0.04801451,0.2857452,-0.4080147,-0.5625918,0.6598215
-1.040772,1.132969,0.04837178,0.2907804,-0.4156946,-0.5589079,0.6559473
-1.041734,1.133155,0.04910012,0.2989265,-0.4286773,-0.5533603,0.6485918
-1.04207,1.133231,0.04940982,0.3026863,-0.4335003,-0.5510653,0.6455895
-1.04276,1.135172,0.04947032,0.3092805,-0.4398949,-0.5490919,0.6397939
-1.043104,1.135212,0.04961891,0.31133,-0.4415543,-0.5484205,0.6382308
-1.04321,1.135155,0.04976334,0.3151497,-0.4425265,-0.547285,0.6366556
