Yaw,Pitch,Roll
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
357.0884,0.1907876,273.8544
349.0963,358.8663,274.5747
347.9071,358.5963,274.7935
345.3654,358.1096,275.2515
344.0676,357.8308,275.4906
342.7484,357.5328,275.7457
340.0221,356.9731,276.2647
338.6501,356.6877,276.5395
335.8561,356.1072,277.0825
334.4378,355.8005,277.3556
331.5752,355.235,277.9009
330.1019,355.0336,278.172
328.6255,354.8507,278.4425
325.6723,354.4803,279.0296
324.1738,354.4052,279.5352
321.2246,354.2612,280.1561
319.7377,354.1865,280.4337
316.9315,353.9216,280.9526
315.5903,353.8305,281.2194
313.029,353.7398,281.726
311.8038,353.6887,281.9746
309.467,353.5835,282.4209
308.372,353.5961,282.599
307.3145,353.6381,282.7876
305.382,353.6555,283.1408
304.4732,353.6804,283.2821
302.7657,353.7741,283.5282
301.8897,353.8371,283.3146
300.4609,353.8754,283.6316
299.7573,353.8935,283.7441
299.0919,353.8994,283.836
297.8388,353.8629,284.0305
297.2352,353.8535,284.1184
296.1559,353.8489,284.2812
295.6562,353.9656,284.2998
295.1768,354.1659,284.1933
294.615,354.4032,285.1433
293.7303,355.1972,283.7619
293.6593,354.8036,285.1586
293.599,354.7697,285.9005
293.4571,354.699,285.9799
293.5023,354.588,285.9746
293.6423,354.5654,286.0062
293.736,354.5653,286.0024
293.8503,354.5491,285.991
294.0869,354.5616,285.9386
294.1856,354.5768,285.903
294.3594,354.5657,285.8101
294.4894,354.4704,285.7748
294.8378,354.4456,285.629
295.0176,354.484,285.5073
295.4158,354.3946,285.1882
295.6607,354.2959,284.9956
295.9489,354.232,284.7596
296.6173,354.2497,284.1718
297.0148,354.2311,283.8265
298.064,354.0623,283.0793
298.7199,353.9763,282.6591
299.4679,353.9549,282.1968
301.1643,353.9633,281.2132
302.1215,353.9218,280.7163
304.128,353.9728,279.6288
305.1182,354.03,279.0386
307.1171,353.9926,277.8165
308.1137,353.8865,277.2544
309.9086,353.782,276.3952
310.7087,353.796,275.923
311.4,353.8133,275.5162
312.3973,353.8273,275.0056
312.7292,353.8168,274.9153
313.2816,353.6467,274.7181
313.4123,353.6796,274.6674
313.4203,353.7243,274.6702
313.392,353.5389,274.8246
313.392,353.5389,274.8246
313.3649,353.5736,274.917
313.3781,353.6018,274.9361
313.5349,353.5712,274.9611
313.6977,353.5742,274.9562
314.3952,353.7712,274.8269
314.7556,353.7927,274.7518
315.1743,353.8273,274.6533
316.1259,353.9911,274.4075
316.6248,354.0579,274.2834
317.7832,354.0544,274.0204
318.4388,354.0695,273.8593
319.7412,354.3246,273.502
320.4102,354.4644,273.2672
321.1135,354.5302,273.0267
322.6496,354.6409,272.5358
323.4453,354.7846,272.2578
324.2375,354.947,271.9295
325.8523,355.2519,271.1642
327.512,355.48,270.171
328.288,355.6093,269.5934
329.0313,355.7462,268.9728
329.7727,355.8548,268.2944
331.2968,356.0794,266.7419
332.7044,356.3654,265.0841
333.3773,356.4311,264.3131
334.7823,356.2778,262.9005
335.4383,356.3184,262.287
336.6178,356.6937,261.046
336.9399,357.0417,261.0291
337.4789,357.0818,260.4149
338.4349,357.139,259.815
338.8462,357.2384,259.5784
339.7162,357.3752,259.1653
340.1199,357.3955,259.0492
340.6971,357.4679,258.8647
340.938,357.4517,258.7803
341.4813,357.331,258.6018
341.7236,357.3437,258.4925
341.8994,357.4023,258.3911
342.2135,357.4014,258.2245
342.4331,357.3442,258.2115
342.801,357.3319,258.12
342.9263,357.3734,258.0598
343.199,357.3576,257.9117
343.365,357.336,257.8209
343.5145,357.3224,257.7204
343.722,357.3306,257.5011
343.8224,357.2948,257.4443
344.0765,357.1825,257.2731
344.222,357.1342,257.2026
344.4793,357.1165,257.1208
344.6387,357.1003,257.1341
344.8433,357.0793,257.1894
345.3539,357.0754,257.3712
345.6088,357.1169,257.5301
346.2027,357.191,258.0078
346.5885,357.1968,258.3002
347.4967,357.2948,258.979
348.0211,357.398,259.3907
349.2156,357.6851,260.4505
349.8593,357.8732,261.0404
350.4867,358.0706,261.6107
351.758,358.3265,262.7513
352.4223,358.3827,263.3772
354.2038,358.6236,264.9182
354.7404,358.7137,265.6441
355.7322,358.7208,266.6954
356.1515,358.6751,267.3649
356.5368,358.6155,268.0678
357.1513,358.5044,269.5719
357.3536,358.4354,270.3947
357.6635,358.1354,272.0156
357.739,358.0215,272.8242
357.7973,357.8948,274.1791
357.7769,357.856,274.7087
357.7473,357.8109,275.1895
357.712,357.6889,275.9824
357.6973,357.6619,276.3119
357.6884,357.6517,276.8266
357.7013,357.6227,277.0214
357.781,357.5426,277.2864
357.8473,357.5258,277.3535
358.0016,357.5267,277.4474
358.0964,357.5184,277.489
358.2086,357.5118,277.52
358.425,357.573,277.433
358.5438,357.5966,277.3436
358.7841,357.6187,277.1548
358.9183,357.6413,277.0682
359.2104,357.7021,276.8449
359.3474,357.7205,276.7413
359.6241,357.8058,276.6244
359.7258,357.8705,276.6014
359.8358,357.9172,276.5723
0.02024126,357.9876,276.4684
0.08849009,358.0071,276.4086
0.2251827,358.0528,276.3441
0.2938886,358.0999,276.3098
0.3503608,358.1522,276.2641
0.4498321,358.26,276.1904
0.5096986,358.2885,276.186
0.5945427,358.3585,276.1888
0.6202884,358.3861,276.1719
0.6733195,358.3811,276.1396
0.6963292,358.4055,276.1198
0.738463,358.4395,276.0725
0.747748,358.4269,276.0528
0.7566389,358.4162,276.0582
0.7686587,358.4352,276.0913
0.7723733,358.4809,276.1107
0.7603646,358.4825,276.1239
0.7603646,358.4825,276.1239
0.7603646,358.4825,276.1239
0.8479198,358.4637,276.2149
0.8625447,358.4842,276.2271
0.8609641,358.4651,276.2453
0.8609641,358.4651,276.2453
0.8609641,358.4651,276.2453
0.8609641,358.4651,276.2453
0.8765455,358.3393,276.2625
0.9106513,358.325,276.2635
0.9567844,358.3647,276.2241
0.9799757,358.355,276.1964
1.007845,358.347,276.1768
1.046625,358.3952,276.1529
1.059677,358.4146,276.1456
1.046312,358.399,276.1337
1.046312,358.399,276.1337
1.046312,358.399,276.1337
1.046312,358.399,276.1337
1.046312,358.399,276.1337
1.046312,358.399,276.1337
0.8361726,358.3507,276.2407
0.79758,358.3895,276.2729
0.7814519,358.3821,276.2944
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7846972,358.3609,276.3146
0.7061409,358.631,276.6354
0.7279895,358.6203,276.6487
0.7328551,358.5931,276.6474
0.7422985,358.6046,276.652
0.7552934,358.652,276.6518
0.722583,358.6561,276.6689
0.6859692,358.6017,276.6871
0.6603739,358.567,276.6958
0.6562459,358.5799,276.6892
0.6573344,358.6089,276.6765
0.6564141,358.6189,276.6417
0.6630343,358.5999,276.6337
0.681542,358.5964,276.6298
0.681542,358.5964,276.6298
