Yaw,Pitch,Roll
356.5152,359.7338,272.2083
356.5152,359.7338,272.2083
356.5152,359.7338,272.2083
356.5152,359.7338,272.2083
356.5152,359.7338,272.2083
356.5152,359.7338,272.2083
356.1346,359.6518,272.5888
355.9209,359.5572,272.7489
355.7509,359.5283,272.8378
355.3046,359.3895,273.0369
355.0617,359.2699,273.1401
354.4981,358.9913,273.3862
354.1568,358.8818,273.511
353.338,358.6355,273.7912
352.8442,358.4827,273.9453
352.2773,358.3365,274.1122
350.9017,358.0027,274.5063
350.1091,357.7849,274.718
348.2572,357.3228,275.1698
348.2572,357.3228,275.1698
346.184,356.7935,275.6375
345.084,356.5068,275.9084
342.671,356.0505,276.5172
340.2636,355.4249,277.1285
337.9358,354.8989,277.7037
336.7838,354.7369,278.0209
335.6624,354.5609,278.3413
333.501,354.1579,278.9802
332.4718,353.9766,279.2957
330.484,353.6737,279.9941
329.5483,353.5133,280.3667
327.7019,353.3245,281.1061
326.8022,353.2151,281.4806
325.9348,353.0753,281.8655
324.3289,352.7161,282.5387
323.5507,352.6196,282.9225
321.9989,352.5499,283.7274
321.1936,352.539,284.1133
319.5355,352.3713,284.8264
318.6949,352.3031,285.1669
317.8647,352.2404,285.459
316.2045,352.1652,286.0983
315.4243,352.0864,286.4073
313.9829,351.9381,287.0169
313.3171,351.9215,287.3002
312.0845,351.9972,287.8403
311.5462,351.9991,288.0932
311.0661,351.9774,288.3358
310.2448,351.9969,288.635
309.9244,352.099,288.8785
309.3315,352.1783,289.3087
309.0966,352.1895,289.4517
308.6445,352.2523,289.6505
308.4568,352.2667,289.7073
308.1187,352.3252,289.7291
308.1187,352.3252,289.7291
307.7856,352.6495,289.5978
307.6563,352.6465,291.6523
307.5027,354.2889,287.628
307.3431,353.7572,287.967
307.3806,353.4287,289.6623
307.4064,353.2131,290.0213
307.4245,353.0422,290.0412
307.6798,352.8104,289.4542
307.7798,352.7594,289.254
307.8591,352.7009,289.073
308.0479,352.6304,288.7213
308.1478,352.6472,288.5174
308.3799,352.6067,288.0586
308.5338,352.5447,287.8286
308.7517,352.6677,287.4548
308.8211,352.7188,287.282
308.9489,352.6993,286.8497
309.0451,352.6727,286.5749
309.3126,352.7048,285.99
309.4695,352.7442,285.6841
309.6637,352.7638,285.3849
310.1635,352.8151,284.842
310.4269,352.912,284.5791
311.0143,353.0255,284.0365
311.3146,353.058,283.7567
311.9028,353.2173,283.0911
312.2082,353.2966,282.7155
312.5303,353.3559,282.3585
313.1251,353.5055,281.7079
313.3586,353.6442,281.3802
313.8633,353.8573,280.5749
314.1862,353.875,280.1401
314.965,353.8998,279.3687
315.3969,353.9936,279.0098
315.8657,354.1214,278.6221
317.0298,354.2625,277.8339
317.6302,354.4128,277.5104
318.6678,354.8902,277.0315
319.1649,355.0777,276.7761
319.6981,355.2004,276.469
320.6919,355.4475,275.9301
321.0309,355.6342,275.7636
321.5444,355.8475,275.4943
321.7399,355.8742,275.3813
321.8757,355.9981,275.1152
321.8737,356.0384,274.9713
321.9156,356.025,274.6583
321.9038,356.0608,274.4815
321.7805,356.1506,274.1411
321.6944,356.1052,273.9855
321.6248,356.0265,273.8134
321.5199,355.9275,273.3726
321.4668,355.937,273.1347
321.3917,355.8795,272.8291
321.3783,355.8508,272.7495
321.4109,355.8632,272.6616
321.4649,355.8616,272.6338
321.5288,355.8443,272.6024
321.6615,355.8443,272.5548
321.75,355.8582,272.5298
321.9323,355.9042,272.4537
322.02,355.9368,272.4251
322.2433,355.959,272.3231
322.3953,355.9498,272.2297
322.7708,355.9545,271.9226
323.0131,355.9547,271.6905
323.3212,355.9223,271.4232
324.0644,355.9225,270.791
324.4654,355.9645,270.4164
325.4105,355.9817,269.5933
325.9523,355.9651,269.2174
326.4666,356.012,268.8861
328.0161,356.4457,268.825
328.4702,356.6041,268.3976
329.512,356.7405,267.7557
330.0135,356.8571,267.4226
330.9763,357.1013,266.7639
331.5049,357.1618,266.3983
332.0982,357.2062,266.0329
333.2249,357.4427,265.397
333.7688,357.5967,265.0939
334.9008,357.8354,264.3818
335.491,357.9055,263.9927
336.5419,358.0769,263.3444
336.9374,358.1909,263.1025
337.6111,358.3717,262.721
337.9831,358.4106,262.5657
338.5655,358.485,262.3708
338.7763,358.5154,262.3687
338.9398,358.5188,262.41
339.2654,358.4963,262.4897
339.4015,358.4998,262.5273
339.5798,358.531,262.5663
339.6613,358.5172,262.562
339.7501,358.4933,262.5606
339.8299,358.5094,262.5822
339.853,358.4906,262.6071
339.9749,358.4021,262.7001
340.0667,358.3758,262.7547
340.2798,358.4258,262.8597
340.4206,358.4599,262.923
340.599,358.4742,263.0121
341.0286,358.5299,263.3114
341.5121,358.7039,263.7404
341.8065,358.768,263.9761
342.1337,358.8018,264.2358
342.8596,358.9011,264.8055
343.2559,359.007,265.0924
344.1757,359.1978,265.707
344.697,359.2782,266.0263
345.8037,359.4534,266.672
346.3752,359.5379,267.0175
346.97,359.6,267.3672
348.2172,359.7068,268.1125
348.8653,359.7688,268.4963
350.1923,359.8939,269.2678
350.874,359.9647,269.6683
352.1443,0.1596644,270.4629
352.7335,0.2408206,270.877
353.305,0.2891513,271.2838
354.3656,0.3026268,272.0772
354.8436,0.3132129,272.4494
355.7466,0.2846205,273.1518
356.1641,0.2594858,273.4677
356.895,0.2176746,274.0612
357.2211,0.1912311,274.3389
357.8198,0.08608048,274.8097
358.0872,0.03400677,275.0021
358.3476,359.9776,275.1962
358.8466,359.9006,275.5649
359.0694,359.9041,275.7072
359.4312,359.8861,275.8959
359.5817,359.8506,275.9468
359.7244,359.7989,275.9707
359.9829,359.752,276.0106
0.06190371,359.747,276.0101
0.1853491,359.7026,275.606
0.24627,359.6709,275.5271
0.4336685,359.5844,275.475
0.5264313,359.5649,275.4358
0.6344092,359.5515,275.3352
0.6748886,359.5229,275.2867
0.7615783,359.4991,275.1907
0.7869851,359.5236,275.1355
0.778899,359.5338,275.0782
0.7119246,359.4406,274.9534
0.6671689,359.3838,274.8885
0.5643685,359.3444,274.7641
0.4965405,359.3371,274.7181
0.4066808,359.3242,274.6964
0.2443825,359.2718,274.6607
0.1773282,359.2368,274.6237
359.9852,359.1565,274.5793
359.8726,359.103,274.5701
359.6953,359.0067,274.5972
359.6221,358.9797,274.6329
359.4548,358.9254,274.7208
359.3847,358.8752,274.7666
359.3337,358.8264,274.7986
359.2589,358.7613,274.8563
359.2041,358.757,274.8782
359.0935,358.7035,274.9153
359.0614,358.6511,274.939
358.989,358.627,274.9904
358.9374,358.6371,275.0089
358.9374,358.6371,275.0089
358.9374,358.6371,275.0089
358.9374,358.6371,275.0089
358.9374,358.6371,275.0089
358.9374,358.6371,275.0089
358.3127,358.5036,275.2133
358.3127,358.5036,275.2133
358.3127,358.5036,275.2133
358.3127,358.5036,275.2133
358.3127,358.5036,275.2133
357.9157,358.4448,275.3365
357.8837,358.4255,275.3503
357.8805,358.4248,275.3423
357.8805,358.4248,275.3423
357.8805,358.4248,275.3423
357.8805,358.4248,275.3423
357.8805,358.4248,275.3423
357.9331,358.4662,275.4145
357.936,358.4995,275.4259
357.9469,358.515,275.4434
357.9611,358.5022,275.4498
357.9919,358.4677,275.4058
357.988,358.4766,275.3944
357.9707,358.4796,275.3939
357.9737,358.4701,275.3969
357.9737,358.4701,275.3969
357.9737,358.4701,275.3969
357.9737,358.4701,275.3969
357.9737,358.4701,275.3969
357.9737,358.4701,275.3969
357.9737,358.4701,275.3969
357.9737,358.4701,275.3969
357.9737,358.4701,275.3969
357.9737,358.4701,275.3969
357.724,358.3306,275.3865
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
357.6435,358.323,275.4134
356.9388,358.178,275.633
356.9419,358.1518,275.6416
356.9555,358.1288,275.6541
356.9319,358.1521,275.6603
356.9143,358.1555,275.6701
356.9107,358.1389,275.6691
356.9225,358.1323,275.6597
356.912,358.1556,275.664
356.8428,358.1791,275.7229
356.8303,358.1259,275.7376
356.8245,358.0916,275.7415
356.776,358.1368,275.7231
356.745,358.1503,275.7118
356.7348,358.0982,275.6845
356.74,358.0894,275.6721
356.7556,358.0959,275.6483
356.7568,358.0948,275.5911
356.7568,358.0948,275.5911
356.7914,358.0375,275.5359
356.8121,358.039,275.5143
356.831,358.0447,275.465
356.8644,357.9887,275.4284
356.8765,357.9842,275.394
356.8757,357.9917,275.3574
356.8434,357.9886,275.3074
356.8083,357.9476,275.269
356.8083,357.9476,275.269
356.7695,357.9909,275.1615
356.7695,357.9909,275.1615
356.7395,357.9424,275.0936
356.7395,357.9424,275.0936
356.7016,357.8924,275.0486
356.6594,357.9076,274.9941
356.6063,357.9471,274.9579
356.5652,358.0078,274.883
356.549,358.0474,274.8581
356.5267,358.0783,274.8303
356.5267,358.0783,274.8303
356.5166,358.1009,274.8137
356.4777,358.1518,274.7987
356.4738,358.1518,274.799
356.4778,358.1323,274.7928
356.474,358.1373,274.7896
356.4528,358.1638,274.7852
356.4496,358.176,274.7945
356.4444,358.175,274.8137
356.4118,358.1464,274.8576
356.3774,358.0872,274.8893
356.3893,358.0784,274.8919
356.3938,358.0823,274.8951
356.3985,358.1056,274.9376
356.3927,358.0918,274.9733
356.387,358.0494,275.0349
356.3879,358.0445,275.0568
356.3955,358.045,275.0806
356.3817,358.0182,275.0953
356.3709,358.0081,275.0949
356.3862,357.9781,275.0879
356.4091,357.9818,275.0841
356.4205,357.9872,275.0879
356.4247,357.969,275.0807
356.431,357.9418,275.0622
356.4698,357.927,275.0396
356.4801,357.9271,275.0234
356.4979,357.9098,274.9971
356.5148,357.899,274.9905
356.5237,357.9072,275.0103
356.5231,357.9225,275.0197
356.5036,357.9339,275.0125
356.4919,357.9265,274.9977
356.4722,357.9212,274.9741
356.4599,357.922,274.9787
356.4439,357.9324,274.9875
356.4439,357.9324,274.9875
356.4439,357.9324,274.9875
356.4439,357.9324,274.9875
356.4439,357.9324,274.9875
356.4439,357.9324,274.9875
356.4439,357.9324,274.9875
356.4439,357.9324,274.9875
356.4439,357.9324,274.9875
356.4439,357.9324,274.9875
356.4439,357.9324,274.9875
356.4439,357.9324,274.9875
356.4439,357.9324,274.9875
356.4439,357.9324,274.9875
356.4439,357.9324,274.9875
356.4439,357.9324,274.9875
356.4439,357.9324,274.9875
356.2422,357.9401,274.9733
356.2399,357.9181,274.9745
356.2399,357.9181,274.9745
356.2399,357.9181,274.9745
356.2399,357.9181,274.9745
356.269,357.9621,274.9067
356.2625,357.9541,274.8975
356.2311,357.8947,274.8943
356.2092,357.8993,274.8858
356.2092,357.8993,274.8858
356.2092,357.8993,274.8858
356.2092,357.8993,274.8858
356.2092,357.8993,274.8858
356.2092,357.8993,274.8858
356.2092,357.8993,274.8858
356.2092,357.8993,274.8858
356.0438,357.8715,274.9607
356.0302,357.8822,274.957
356.0144,357.8859,274.952
355.9984,357.8776,274.9596
355.9853,357.8647,274.971
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.9787,357.8306,274.9892
355.8558,357.8838,275.0107
355.8411,357.8987,275.0011
355.8102,357.8981,275.0058
355.7996,357.8927,275.0164
355.758,357.8564,275.0234
355.737,357.8579,275.0077
355.7052,357.8692,274.9885
355.6937,357.8606,274.9939
355.6726,357.8356,275.0149
355.669,357.8276,275.0251
355.6457,357.8712,275.0403
355.6332,357.8656,275.0435
355.6289,357.8385,275.045
355.6316,357.7974,275.02
355.6364,357.8233,275.0059
355.6685,357.8732,274.9874
355.6685,357.8732,274.9874
355.6685,357.8732,274.9874
355.6685,357.8732,274.9874
355.6685,357.8732,274.9874
355.7094,357.8313,274.9464
355.7131,357.8292,274.9378
355.7248,357.8134,274.9547
355.7311,357.8142,274.9667
355.7406,357.834,274.9743
355.7434,357.8676,274.9774
355.7389,357.8672,274.977
355.7347,357.8603,274.9803
355.7347,357.8603,274.9803
355.7347,357.8603,274.9803
355.7347,357.8603,274.9803
355.7064,357.8805,275.0306
355.7077,357.8841,275.0375
355.7017,357.898,275.0374
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.6974,357.9052,275.0393
355.1335,358.5703,274.4643
355.1177,358.6725,274.4171
355.0919,358.8767,274.4233
355.083,358.9527,274.4153
355.0795,359.0482,274.3421
355.0701,359.1145,274.2453
355.0693,359.1441,274.1913
355.0634,359.1663,274.1347
355.1563,359.3354,274.0637
355.1245,359.342,274.0025
355.0938,359.3345,273.9276
355.0938,359.3345,273.9276
355.0938,359.3345,273.9276
355.0938,359.3345,273.9276
355.0938,359.3345,273.9276
355.0938,359.3345,273.9276
355.0938,359.3345,273.9276
355.0938,359.3345,273.9276
355.0938,359.3345,273.9276
355.0938,359.3345,273.9276
355.0938,359.3345,273.9276
355.0938,359.3345,273.9276
355.0938,359.3345,273.9276
355.0938,359.3345,273.9276
356.0674,0.4467089,276.9847
356.0674,0.4467089,276.9847
356.176,0.4683493,277.0967
356.3527,0.4709522,277.2499
356.3527,0.4709522,277.2499
356.5865,0.7812259,277.5858
356.668,0.8466003,277.7172
356.7411,0.8768719,277.8001
356.9382,0.8016253,278.0532
356.962,0.8417806,278.1711
357.0062,0.917186,278.2829
357.0942,0.9011114,278.475
357.2212,0.7921273,278.5713
357.2212,0.7921273,278.5713
357.27,0.7793316,278.7059
357.3026,0.795846,278.754
357.3285,0.7801144,278.7927
357.3883,0.7488056,278.8628
357.4473,0.754961,278.9237
357.5177,0.7928165,278.9597
357.5673,0.7707916,278.9567
357.6701,0.7454408,278.9201
357.6954,0.754913,278.9037
357.7227,0.7604984,278.7964
357.7695,0.8165383,278.7892
357.7951,0.8159571,278.7727
357.8462,0.8158402,278.7612
357.9363,0.7309305,278.7156
357.9757,0.7212933,278.6993
358.0141,0.7324713,278.6886
358.0314,0.7987427,278.6934
358.0314,0.7987427,278.6934
358.0472,0.8240938,278.675
358.0869,0.8397253,278.637
358.166,0.8812855,278.5712
358.1885,0.8856801,278.5097
358.2034,0.9069716,278.4805
358.2444,0.9403827,278.4431
358.3146,0.9191861,278.3926
358.4505,0.8926372,278.2798
358.5464,0.8692791,278.2157
358.5991,0.8665944,278.2173
358.7319,0.8171894,278.1707
358.767,0.8068866,278.1313
358.7827,0.8324466,278.1225
358.7853,0.8328511,278.1132
358.8095,0.7850895,278.0869
358.8044,0.7778061,278.0901
358.7967,0.7943359,278.0991
358.8659,0.878362,278.1199
358.9396,0.8707072,278.099
358.9396,0.8707072,278.099
359.0129,0.8426375,278.0599
359.0129,0.8426375,278.0599
359.0129,0.8426375,278.0599
359.0129,0.8426375,278.0599
359.0129,0.8426375,278.0599
359.0129,0.8426375,278.0599
359.0129,0.8426375,278.0599
359.0129,0.8426375,278.0599
359.0129,0.8426375,278.0599
359.0129,0.8426375,278.0599
359.0129,0.8426375,278.0599
359.0129,0.8426375,278.0599
359.0129,0.8426375,278.0599
359.0129,0.8426375,278.0599
359.0129,0.8426375,278.0599
359.0129,0.8426375,278.0599
359.0129,0.8426375,278.0599
