H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
-1.27018,1.139633,0.004119791,0.03428036,-0.02794546,-0.7046145,0.7082108
-1.27018,1.139633,0.004119791,0.03428036,-0.02794546,-0.7046145,0.7082108
-1.270225,1.139633,0.004037693,0.03399679,-0.0270676,-0.7048483,0.7080258
-1.270227,1.139664,0.003918186,0.03377751,-0.02627543,-0.7049732,0.7079419
-1.270144,1.139741,0.003879242,0.03149936,-0.02391845,-0.7051786,0.7079258
-1.270101,1.139731,0.003808483,0.03137156,-0.02363527,-0.7051727,0.707947
-1.270095,1.139727,0.003906675,0.03083411,-0.02354059,-0.7052442,0.7079026
-1.270089,1.139699,0.004044183,0.03022686,-0.0235036,-0.7053076,0.7078667
-1.270116,1.139705,0.004034013,0.03002864,-0.02296409,-0.7056415,0.7075601
-1.27013,1.139701,0.003911108,0.030386,-0.0227724,-0.7057395,0.7074533
-1.27022,1.139666,0.003924862,0.03047976,-0.02340066,-0.7059256,0.707243
-1.270224,1.139657,0.004144475,0.02985644,-0.02382633,-0.7059444,0.7072366
-1.270224,1.139657,0.004144475,0.02985644,-0.02382633,-0.7059444,0.7072366
-1.270224,1.139657,0.004144475,0.02985644,-0.02382633,-0.7059444,0.7072366
-1.270224,1.139657,0.004144475,0.02985644,-0.02382633,-0.7059444,0.7072366
-1.270224,1.139657,0.004144475,0.02985644,-0.02382633,-0.7059444,0.7072366
-1.270224,1.139657,0.004144475,0.02985644,-0.02382633,-0.7059444,0.7072366
-1.270224,1.139657,0.004144475,0.02985644,-0.02382633,-0.7059444,0.7072366
-1.270224,1.139657,0.004144475,0.02985644,-0.02382633,-0.7059444,0.7072366
-1.270224,1.139657,0.004144475,0.02985644,-0.02382633,-0.7059444,0.7072366
-1.270224,1.139657,0.004144475,0.02985644,-0.02382633,-0.7059444,0.7072366
-1.270224,1.139657,0.004144475,0.02985644,-0.02382633,-0.7059444,0.7072366
-1.270224,1.139657,0.004144475,0.02985644,-0.02382633,-0.7059444,0.7072366
-1.270224,1.139657,0.004144475,0.02985644,-0.02382633,-0.7059444,0.7072366
-1.270224,1.139657,0.004144475,0.02985644,-0.02382633,-0.7059444,0.7072366
-1.270224,1.139657,0.004144475,0.02985644,-0.02382633,-0.7059444,0.7072366
-1.270224,1.139657,0.004144475,0.02985644,-0.02382633,-0.7059444,0.7072366
-1.269158,1.13967,0.003648102,0.03598472,-0.03497612,-0.7005352,0.7118515
-1.268878,1.139575,0.003700629,0.03739616,-0.03813729,-0.6993692,0.7127621
-1.268481,1.139565,0.003575988,0.04171303,-0.04441631,-0.6972458,0.7142378
-1.268246,1.139585,0.003633417,0.04386458,-0.04852271,-0.696004,0.7150525
-1.267994,1.139584,0.003791459,0.04594934,-0.05303326,-0.6946236,0.715943
-1.267708,1.139573,0.003896944,0.04835305,-0.0579688,-0.6931354,0.7168438
-1.267385,1.139567,0.004026979,0.05098388,-0.0633328,-0.6915115,0.7177755
-1.266395,1.139663,0.004535496,0.05982149,-0.08094099,-0.6859291,0.7206743
-1.266058,1.139731,0.004785858,0.06293094,-0.08743373,-0.6838722,0.7216052
-1.265455,1.139807,0.005388543,0.06953031,-0.1012823,-0.6795571,0.7232633
-1.265259,1.139842,0.005609229,0.0734106,-0.1083542,-0.6774422,0.7238387
-1.264782,1.139897,0.006025583,0.08207929,-0.1234988,-0.6728187,0.7247939
-1.264491,1.139955,0.006333657,0.0865517,-0.1318375,-0.6701814,0.7252481
-1.263906,1.140036,0.007035613,0.0960128,-0.1496421,-0.6642973,0.7260151
-1.263625,1.140092,0.007348888,0.1011384,-0.1590002,-0.6612599,0.7261029
-1.263461,1.140185,0.007827282,0.105859,-0.1686194,-0.658307,0.7259431
-1.263341,1.140364,0.008941934,0.1148298,-0.1878345,-0.6523328,0.7252547
-1.263207,1.140437,0.009309292,0.119963,-0.1969266,-0.6490698,0.7249396
-1.262817,1.140533,0.009957768,0.1307627,-0.2149975,-0.6420422,0.7241956
-1.262725,1.140628,0.01043241,0.1356757,-0.2242177,-0.6385069,0.7236211
-1.262782,1.140806,0.01157688,0.1445954,-0.2422131,-0.6318388,0.7219452
-1.262728,1.140921,0.01194588,0.1497432,-0.2506605,-0.6283755,0.7210344
-1.262728,1.140921,0.01194588,0.1497432,-0.2506605,-0.6283755,0.7210344
-1.262728,1.140921,0.01194588,0.1497432,-0.2506605,-0.6283755,0.7210344
-1.262728,1.140921,0.01194588,0.1497432,-0.2506605,-0.6283755,0.7210344
-1.262714,1.14125,0.01274897,0.1596376,-0.2674701,-0.6214079,0.7189075
-1.262921,1.141386,0.01331606,0.1636239,-0.2756964,-0.6182043,0.7176645
-1.264259,1.141882,0.01574702,0.1881385,-0.3186201,-0.6003561,0.7089836
-1.264453,1.141948,0.01603381,0.1921181,-0.3248617,-0.5974829,0.7075096
-1.264831,1.142165,0.01665473,0.1993657,-0.3366748,-0.5920062,0.7045795
-1.265168,1.142247,0.01707916,0.2020635,-0.3424468,-0.5896926,0.7029675
-1.265792,1.142391,0.01753762,0.207586,-0.351572,-0.5857821,0.7001176
-1.265946,1.14247,0.01767406,0.2104206,-0.3551039,-0.5839267,0.699038
-1.266132,1.142556,0.01783794,0.21281,-0.3583116,-0.5822878,0.6980442
-1.266474,1.142665,0.01825739,0.216153,-0.3633915,-0.579931,0.6963509
-1.266561,1.142687,0.01840192,0.2175716,-0.3649089,-0.579021,0.6958728
-1.266625,1.142734,0.01849701,0.2198514,-0.3664084,-0.5778236,0.6953635
-1.266616,1.142778,0.01855923,0.2204691,-0.3666534,-0.5775655,0.6952532
-1.266959,1.142928,0.01868635,0.2216921,-0.3655816,-0.5781763,0.694921
-1.26667,1.14309,0.01848388,0.2223673,-0.3646044,-0.5779479,0.6954082
-1.266509,1.143176,0.01844374,0.2227457,-0.3640565,-0.5779464,0.6955756
-1.266558,1.143217,0.01856822,0.2223328,-0.3640939,-0.5783067,0.6953886
-1.266645,1.143252,0.01864823,0.2220383,-0.3637025,-0.5788448,0.6952398
-1.266631,1.14319,0.01853222,0.2222327,-0.3622939,-0.5800326,0.6949233
-1.266626,1.14315,0.01845508,0.2221437,-0.3616266,-0.5808221,0.6946397
-1.2662,1.143796,0.01794159,0.2222181,-0.3598121,-0.582987,0.6937439
-1.265625,1.145063,0.01682805,0.223847,-0.3575981,-0.58482,0.6928217
-1.26807,1.144396,0.01545502,0.2167058,-0.3577524,-0.5795317,0.6994249
-1.265612,1.146783,0.01446281,0.2265532,-0.3503002,-0.590362,0.6909677
-1.26592,1.142879,0.01382639,0.2265188,-0.3427129,-0.5967194,0.6893207
-1.264821,1.140741,0.01589119,0.2208712,-0.3382884,-0.594932,0.6948619
-1.263852,1.13979,0.01666432,0.217628,-0.3354554,-0.5938741,0.6981558
-1.265361,1.139089,0.01559646,0.215173,-0.3278288,-0.6012641,0.6962115
-1.265582,1.139062,0.01537908,0.2135615,-0.3238444,-0.6043756,0.6958783
-1.26589,1.138824,0.01486109,0.2101607,-0.3154216,-0.6106377,0.6953154
-1.266052,1.138656,0.0144456,0.2091742,-0.3106575,-0.6138573,0.6949227
-1.266068,1.138512,0.01364767,0.2081073,-0.301992,-0.6193516,0.6941872
-1.266151,1.138461,0.01350398,0.2068211,-0.2984484,-0.6220334,0.693706
-1.266443,1.138412,0.01349877,0.2048223,-0.2951022,-0.6250724,0.6929988
-1.267435,1.138503,0.01333414,0.2006942,-0.2877586,-0.6324288,0.6906163
-1.268049,1.138568,0.01318488,0.198433,-0.2837189,-0.6365027,0.6891969
-1.269057,1.138557,0.01267229,0.1951685,-0.2751682,-0.6438375,0.6867788
-1.269273,1.138524,0.01230872,0.1944085,-0.2712664,-0.6467026,0.6858541
-1.26984,1.138415,0.01181002,0.1920467,-0.2637836,-0.6525147,0.6839306
-1.270298,1.138396,0.01163674,0.1901966,-0.2597317,-0.655754,0.6828994
-1.270838,1.138453,0.01122746,0.1875799,-0.2517942,-0.6609911,0.6815457
-1.270866,1.138524,0.01103149,0.1867163,-0.2485909,-0.6627758,0.6812254
-1.270955,1.13868,0.01112852,0.184027,-0.2443834,-0.6652821,0.6810365
-1.27081,1.138567,0.01127827,0.1828552,-0.2429326,-0.665876,0.6812907
-1.270641,1.138502,0.01141502,0.1819765,-0.2418596,-0.6661522,0.6816376
-1.270402,1.138466,0.0114746,0.1814262,-0.2409398,-0.6661476,0.6821144
-1.270402,1.138466,0.0114746,0.1814262,-0.2409398,-0.6661476,0.6821144
-1.270402,1.138466,0.0114746,0.1814262,-0.2409398,-0.6661476,0.6821144
-1.270402,1.138466,0.0114746,0.1814262,-0.2409398,-0.6661476,0.6821144
-1.269357,1.138733,0.01157692,0.180864,-0.2420521,-0.6638569,0.6841003
-1.2689,1.138412,0.01171718,0.1812527,-0.2433959,-0.6626272,0.6847125
-1.268765,1.138384,0.01157606,0.1819195,-0.2439201,-0.6621575,0.6848036
-1.268804,1.138333,0.01144395,0.1824143,-0.2453264,-0.6618183,0.6844974
-1.268954,1.138334,0.01142825,0.1822697,-0.2459198,-0.6619744,0.6841719
-1.269343,1.138345,0.01123386,0.1818786,-0.2461514,-0.6627355,0.6834556
-1.269472,1.13831,0.01103341,0.1818019,-0.2457392,-0.6631446,0.6832274
-1.269635,1.138311,0.01084043,0.1814721,-0.2451425,-0.6637021,0.6829881
-1.270033,1.138342,0.0106316,0.1796047,-0.2434317,-0.6651042,0.6827297
-1.270074,1.138346,0.01041248,0.1784448,-0.2421128,-0.6658269,0.6827983
-1.270302,1.138342,0.01020097,0.1757837,-0.2384089,-0.6674337,0.6832231
-1.270343,1.138325,0.01001423,0.1746693,-0.2360672,-0.6682113,0.6835618
-1.270509,1.138314,0.009658754,0.1720778,-0.2313622,-0.670101,0.6839778
-1.270684,1.138344,0.009509601,0.1702662,-0.2289208,-0.6713586,0.6840193
-1.271102,1.138362,0.009146266,0.1664923,-0.2230236,-0.6743933,0.6839113
-1.271247,1.138373,0.008806907,0.1649995,-0.2193957,-0.6761067,0.6837547
-1.271442,1.138354,0.008485168,0.163403,-0.2157543,-0.6779698,0.683452
-1.27211,1.13833,0.007941559,0.1595609,-0.2080911,-0.6823608,0.6823653
-1.272467,1.138324,0.007628836,0.157935,-0.2040605,-0.6846517,0.6816657
-1.273038,1.138376,0.006841682,0.1551512,-0.1964507,-0.6892155,0.6799393
-1.273455,1.138416,0.006648034,0.1529633,-0.1927606,-0.6918237,0.6788415
-1.27446,1.138366,0.00604564,0.1490966,-0.1843911,-0.6973873,0.6763291
-1.274843,1.138323,0.005474463,0.148345,-0.1799492,-0.700008,0.6749822
-1.275537,1.138373,0.004439242,0.1471488,-0.1723941,-0.7048442,0.6721773
-1.275913,1.138384,0.004153863,0.145846,-0.1692496,-0.7072346,0.6707481
-1.276313,1.138378,0.003948137,0.1443718,-0.1659641,-0.7097359,0.6692442
-1.277132,1.138337,0.003299005,0.1419399,-0.158767,-0.7148082,0.6661047
-1.277464,1.138385,0.002964139,0.1407822,-0.155377,-0.7172183,0.6645574
-1.278004,1.138482,0.002765179,0.1372784,-0.1492548,-0.721532,0.6620193
-1.278195,1.138474,0.002721637,0.1353647,-0.1461278,-0.7233628,0.6611124
-1.277814,1.134823,0.002841309,0.1331332,-0.1433785,-0.7219726,0.6636822
-1.277813,1.13435,0.002431646,0.1304122,-0.1368923,-0.7248409,0.6624644
-1.277924,1.134357,0.002250947,0.1288618,-0.1337536,-0.7265287,0.6615594
-1.278164,1.134328,0.002172552,0.1251858,-0.127778,-0.7297493,0.6598995
-1.278177,1.134345,0.002116472,0.1235754,-0.1251302,-0.7310331,0.6592892
-1.278061,1.134366,0.002044268,0.1207245,-0.1207212,-0.7329599,0.6584999
-1.278031,1.134318,0.002080053,0.1190737,-0.1187521,-0.7339011,0.65811
-1.27802,1.134254,0.002054393,0.1174243,-0.1166278,-0.7348697,0.6577052
-1.278069,1.13423,0.00189995,0.1149224,-0.1121444,-0.7366928,0.656887
-1.277998,1.134229,0.00186836,0.1139695,-0.1105095,-0.7372421,0.6567137
-1.277825,1.134174,0.002048753,0.1115911,-0.1088372,-0.7379375,0.6566204
-1.277812,1.134133,0.002198756,0.1101428,-0.1081306,-0.7383018,0.6565721
-1.277748,1.134127,0.002013154,0.1086701,-0.1060575,-0.7387477,0.6566542
-1.277637,1.134124,0.001907177,0.1084058,-0.1052366,-0.7387037,0.6568793
-1.277337,1.134025,0.001952402,0.1071124,-0.105054,-0.7382185,0.6576657
-1.27726,1.134058,0.002131768,0.106075,-0.10508,-0.7379193,0.6581652
-1.277197,1.134097,0.002182737,0.1053459,-0.1048291,-0.7376788,0.6585919
