Yaw,Pitch,Roll
355.5098,0.8670242,273.6578
355.6396,0.9824024,273.4083
355.6952,0.9765385,273.4648
355.7128,0.96045,273.5427
356.0221,0.8036845,273.4734
356.1813,0.4972693,273.2094
356.1096,0.4983922,273.1699
356.0884,0.4890311,273.1477
356.0604,0.4634951,273.1451
356.045,0.4345264,273.147
356.0322,0.4213312,273.1621
356.0255,0.3999098,273.1992
356.0172,0.3923281,273.1944
356.0142,0.390949,273.1842
356.0105,0.3891131,273.1722
356.0197,0.3838418,273.1612
356.0197,0.3838418,273.1612
355.994,0.3698584,273.149
356.0241,0.3506579,273.1716
356.0251,0.354544,273.1568
356.0121,0.3807844,273.1367
356.0121,0.3807844,273.1367
356.0121,0.3807844,273.1367
356.0121,0.3807844,273.1367
356.0121,0.3807844,273.1367
355.9236,0.3963588,273.1408
355.9303,0.3862412,273.1641
355.9123,0.3842012,273.1753
355.9123,0.3842012,273.1753
355.9123,0.3842012,273.1753
355.8901,0.3655038,273.1874
355.9191,0.3504423,273.2061
355.9336,0.338136,273.2131
355.9325,0.3473619,273.2112
355.9325,0.3473619,273.2112
355.9325,0.3473619,273.2112
355.9573,0.3164938,273.1402
355.9731,0.2691948,273.1522
356.0105,0.2626439,273.1662
356.0141,0.301103,273.0926
356.0008,0.3259091,273.0304
356.0396,0.3420803,273.0269
356.0522,0.3371021,273.038
356.0727,0.3133696,273.0657
356.0585,0.2929763,273.0524
356.062,0.2763247,273.0565
356.0765,0.2514107,273.0963
356.0766,0.2459633,273.1102
356.0793,0.2576486,273.12
356.0785,0.2696955,273.1036
356.0927,0.218904,273.0815
356.1033,0.2007536,273.0924
356.1381,0.1822763,273.1136
356.1587,0.1679834,273.064
356.144,0.1724043,273.0095
356.1472,0.14085,273.0248
356.154,0.1366359,273.0324
356.1598,0.1327638,273.0508
356.1557,0.1228521,273.0423
356.1643,0.0994809,273.0264
356.1671,0.09889884,273.0147
356.1696,0.1059683,273.0038
356.1476,0.1116352,272.9928
356.1307,0.1033997,272.9854
