Yaw,Pitch,Roll
356.6992,2.49768,294.5803
356.6992,2.49768,294.5803
356.6992,2.49768,294.5803
356.6992,2.49768,294.5803
356.6992,2.49768,294.5803
356.6992,2.49768,294.5803
356.6992,2.49768,294.5803
356.6992,2.49768,294.5803
356.6992,2.49768,294.5803
356.6992,2.49768,294.5803
356.6992,2.49768,294.5803
356.6992,2.49768,294.5803
356.6992,2.49768,294.5803
356.6992,2.49768,294.5803
356.6992,2.49768,294.5803
356.6992,2.49768,294.5803
356.6992,2.49768,294.5803
356.6414,2.579841,294.7852
356.6414,2.579841,294.7852
356.6226,2.626617,294.8819
356.622,2.646532,294.9013
356.6256,2.636697,294.9073
356.6023,2.616837,294.9765
356.5298,2.66655,295.0193
356.4612,2.692485,295.0387
356.3462,2.715949,295.0118
355.936,2.806104,295.0014
355.6178,2.879971,294.9993
355.2375,2.930689,294.9824
354.3133,3.038618,294.9186
353.7318,3.092781,294.9014
352.3225,3.181772,294.8473
351.5088,3.228549,294.7931
349.7082,3.254409,294.6803
348.7371,3.251514,294.6517
346.5983,3.336167,294.6896
345.4655,3.322521,294.7673
343.1981,3.293117,294.8857
342.0528,3.289293,294.856
339.6819,3.263999,294.8135
338.5249,3.18809,294.8018
337.3664,3.174058,294.7503
335.1448,3.214818,294.7851
334.079,3.187625,294.7567
332.088,3.148774,294.6851
330.8773,3.259502,295.682
329.0801,3.444361,295.0188
328.3554,3.440478,294.9406
327.6982,3.526938,294.8801
326.5786,3.669286,294.7123
326.094,3.568157,294.6316
325.2969,3.501252,294.3471
324.9419,3.509916,294.1707
324.6083,3.505793,294.0577
324.0459,3.465563,293.7602
323.8064,3.424982,293.5801
323.3218,3.457215,293.3154
323.0847,3.487283,293.211
322.6465,3.465954,293.0172
322.4234,3.452232,292.9636
321.9373,3.373501,293.0278
321.7088,3.336336,293.0421
321.2773,3.405938,292.9994
321.0978,3.464499,292.9719
320.9547,3.495106,292.9586
320.717,3.556506,292.9461
320.6305,3.612816,292.952
320.5717,3.621293,292.9671
320.5769,3.641674,292.9228
320.5824,3.680488,292.8692
320.5918,3.708181,292.8449
320.6755,3.638999,292.7095
320.7232,3.662601,292.6737
320.7261,3.683659,292.6885
320.7208,3.72309,292.6659
320.7196,3.735142,292.6625
321.0139,1.782226,289.9038
321.0206,1.653685,289.7563
321.0012,1.630142,289.774
320.9758,1.623383,289.8094
320.9536,1.642359,289.8433
320.9318,1.669659,289.8617
320.9524,1.672601,289.8502
320.9824,1.695292,289.8553
321.0112,1.772025,289.8956
321.0223,1.798129,289.9098
321.2006,1.612064,289.6457
321.1686,1.724774,289.7077
321.1439,1.92045,289.8664
321.1238,1.964725,289.932
321.0954,2.013922,290.0064
321.0866,2.039693,290.0354
321.068,2.061125,290.0653
321.0237,2.077365,290.1104
321.0186,2.073796,290.105
321.0111,2.130708,290.0973
321.0111,2.130708,290.0973
321.0077,2.147962,290.083
321.0116,2.138421,290.0628
320.9973,2.15286,290.0409
320.9636,2.164098,290.0439
320.952,2.159056,290.043
320.9497,2.166945,290.0374
320.943,2.188869,290.0453
320.9308,2.243994,290.1158
320.9337,2.26158,290.1414
320.9362,2.275969,290.1599
320.9315,2.280299,290.1771
320.914,2.296585,290.2137
320.9066,2.286948,290.2259
320.8799,2.312056,290.2851
320.8651,2.313775,290.3024
320.8616,2.301255,290.3101
320.8629,2.284714,290.299
320.8732,2.290303,290.2976
320.87,2.309183,290.3042
320.8795,2.336242,290.3075
320.8881,2.342838,290.2983
320.9171,2.366027,290.2804
320.9234,2.381645,290.2715
320.9792,2.363908,290.2498
321.0313,2.350157,290.2328
321.1227,2.32894,290.2242
321.3919,2.281727,290.1913
321.6062,2.251959,290.1679
322.2392,2.217696,290.1122
322.6635,2.218648,290.0953
323.5313,2.358768,290.1107
324.0239,2.429494,290.1206
325.2796,2.538064,290.0705
326.0353,2.595764,290.0456
326.8501,2.659892,290.0328
328.6474,2.749533,289.9534
329.6513,2.796786,289.8505
331.8375,2.931307,289.7398
332.9857,2.987766,289.789
335.4076,2.999008,289.8593
336.6766,3.019511,289.8126
337.9899,3.063975,289.7834
340.7124,3.070387,289.9006
342.0731,3.071561,289.9826
344.9356,3.169311,290.0641
346.488,3.287423,290.1043
349.7192,3.509531,290.2384
351.3452,3.555369,290.3042
