H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
-1.311124,1.13897,0.01282482,0.02254108,-0.004770637,-0.6774282,0.735228
-1.311175,1.139033,0.01289816,0.02165362,-0.004353613,-0.6780767,0.7346592
-1.31112,1.139084,0.01301695,0.02064422,-0.004170835,-0.678543,0.7342588
-1.311107,1.139103,0.01300471,0.02033746,-0.004032195,-0.6786925,0.73413
-1.311049,1.13913,0.01298432,0.02019095,-0.004009008,-0.6786598,0.7341644
-1.310805,1.139219,0.01292185,0.02036837,-0.004205823,-0.6780542,0.7347177
-1.310677,1.139291,0.01292922,0.02052942,-0.004475445,-0.6777358,0.7350053
-1.310348,1.139409,0.01288866,0.02172422,-0.005946338,-0.676789,0.7358325
-1.310146,1.139461,0.01291634,0.02259549,-0.0072532,-0.6761239,0.7364057
-1.309809,1.139576,0.01324026,0.02491939,-0.01093379,-0.6746446,0.737641
-1.309668,1.139596,0.0133041,0.02667639,-0.01332915,-0.6738182,0.7382952
-1.309221,1.139674,0.01346104,0.03135741,-0.01974767,-0.6713333,0.7402288
-1.308861,1.139711,0.0136431,0.03396201,-0.02376202,-0.6695774,0.7415849
-1.308439,1.139756,0.01389553,0.03676015,-0.02860072,-0.6674626,0.7431853
-1.307986,1.13983,0.01424323,0.03969038,-0.03385973,-0.6650839,0.7449441
-1.307413,1.139884,0.01454104,0.04319635,-0.03965735,-0.6622728,0.7469646
-1.305725,1.139995,0.01580764,0.05434966,-0.05958918,-0.6526117,0.7533879
-1.305254,1.139986,0.0162393,0.05881053,-0.06672588,-0.6492285,0.755375
-1.304221,1.14006,0.01709579,0.06894895,-0.08259767,-0.6420407,0.7590834
-1.303761,1.140095,0.01762639,0.07384059,-0.09087649,-0.638309,0.7608224
-1.303156,1.139985,0.01879115,0.0838072,-0.1076272,-0.6312606,0.7634808
-1.303039,1.13995,0.01932062,0.08930719,-0.116259,-0.6280523,0.7642372
-1.302976,1.139984,0.0198916,0.09498391,-0.1251625,-0.6250219,0.7646308
-1.30305,1.14011,0.02128915,0.1053185,-0.1433803,-0.6195792,0.7645077
-1.303143,1.140063,0.02198984,0.1100522,-0.1516697,-0.6171951,0.7641697
