H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
-1.304474,1.140351,0.02474551,-0.003637522,0.009784728,-0.6647816,0.7469649
-1.304384,1.140372,0.02498899,-0.004204214,0.009660155,-0.664816,0.7469331
-1.304332,1.14035,0.02491884,-0.003892034,0.009925276,-0.6648105,0.746936
-1.304303,1.140343,0.02486159,-0.003641129,0.009895384,-0.6648089,0.7469392
-1.304298,1.140421,0.02511461,-0.004099488,0.009239078,-0.6650684,0.7467142
-1.304339,1.140437,0.02522121,-0.00425759,0.009101421,-0.6652186,0.7465812
-1.304368,1.14042,0.02518125,-0.004021496,0.009100556,-0.665285,0.7465233
-1.304356,1.140395,0.02503698,-0.00342074,0.009213358,-0.6652398,0.7465651
-1.304343,1.140398,0.02504168,-0.00339669,0.009109825,-0.6651974,0.7466044
-1.304396,1.140362,0.02503698,-0.003293991,0.008825868,-0.6652983,0.7465184
-1.304426,1.140347,0.02501239,-0.003040433,0.008627683,-0.6653529,0.7464731
-1.304437,1.140374,0.02501078,-0.002308488,0.007577002,-0.6652939,0.7465398
-1.304401,1.140374,0.02503707,-0.001888424,0.00681591,-0.6650826,0.7467364
-1.304292,1.140362,0.02504097,-0.001286864,0.006075144,-0.6645995,0.7471741
-1.303956,1.140352,0.02481727,0.001356572,0.003823727,-0.6630899,0.748529
-1.303733,1.140468,0.02492808,0.003000647,0.001953632,-0.6620904,0.7494155
-1.303193,1.14055,0.0251094,0.005919755,-0.002812088,-0.6596376,0.7515554
-1.302871,1.140549,0.02521254,0.007682621,-0.005676597,-0.6580637,0.7529018
-1.302149,1.140655,0.02530111,0.01249066,-0.01225352,-0.6546364,0.7557415
-1.301812,1.140691,0.02539004,0.01509461,-0.01608616,-0.6528513,0.7571649
-1.301318,1.140741,0.0256509,0.02082035,-0.02459362,-0.6493722,0.7597878
-1.301067,1.140794,0.02570485,0.02441874,-0.02935493,-0.6475395,0.7610748
-1.300786,1.140843,0.02578978,0.02829325,-0.03464195,-0.6455742,0.7623868
-1.300293,1.140944,0.02620567,0.03527844,-0.04607722,-0.6415952,0.7648451
-1.300072,1.141033,0.02643232,0.03872833,-0.05128267,-0.6396146,0.7660049
-1.29923,1.141318,0.02684666,0.04599684,-0.06162134,-0.6348186,0.7688254
-1.298716,1.141426,0.02726789,0.04897124,-0.06692949,-0.6320917,0.7704431
-1.29778,1.141526,0.02799077,0.0547199,-0.07662681,-0.6271788,0.773163
-1.297468,1.141575,0.02822609,0.05808222,-0.08125421,-0.6251236,0.774109
-1.297116,1.141649,0.0284925,0.06168088,-0.08623251,-0.6230816,0.774938
-1.296443,1.141896,0.02930911,0.06806681,-0.09758908,-0.6187937,0.7764907
-1.296146,1.14199,0.02971672,0.07095382,-0.1030572,-0.6167084,0.7771845
-1.29557,1.142148,0.03033487,0.07731801,-0.112662,-0.6125789,0.7785091
-1.295248,1.142301,0.03055097,0.08083659,-0.1176461,-0.6104866,0.7790579
-1.294627,1.142503,0.03138711,0.08712193,-0.1281334,-0.6059513,0.7802659
-1.294317,1.142556,0.03179796,0.09003657,-0.1333736,-0.603671,0.7808242
-1.294159,1.14265,0.0320438,0.09325379,-0.1381145,-0.6015661,0.7812467
-1.293796,1.142803,0.03255444,0.09995915,-0.1479131,-0.597246,0.7819381
-1.293708,1.142932,0.03298874,0.1028209,-0.1528943,-0.5951441,0.7822114
-1.293414,1.143111,0.03362654,0.1080844,-0.1619037,-0.5909314,0.7828827
-1.293349,1.143178,0.0339434,0.1107206,-0.1658467,-0.5888958,0.7832226
-1.293309,1.143308,0.0344931,0.1163784,-0.1738108,-0.5851587,0.7834765
-1.29333,1.14341,0.03478668,0.1185828,-0.1778041,-0.5834813,0.7835009
-1.293394,1.143536,0.03502045,0.1204768,-0.1812241,-0.5820465,0.7834955
-1.293338,1.143693,0.03535859,0.1246628,-0.186453,-0.5789622,0.7838988
-1.293215,1.143763,0.03548948,0.1268066,-0.1886805,-0.5773887,0.7841824
-1.293112,1.143919,0.03593678,0.1293983,-0.193038,-0.5747769,0.7846172
-1.293092,1.143905,0.03608654,0.1304464,-0.1944334,-0.5737751,0.7848322
-1.292996,1.14404,0.03577791,0.1340948,-0.1959966,-0.5726454,0.7846535
-1.292972,1.144178,0.03579317,0.1352328,-0.1968166,-0.5719497,0.7847605
-1.29293,1.144303,0.03589771,0.1365053,-0.1979578,-0.570815,0.7850792
-1.292909,1.144253,0.03585218,0.1370579,-0.1979011,-0.5704522,0.7852609
-1.293034,1.144354,0.03586782,0.1374666,-0.1976655,-0.5703804,0.785301
-1.293235,1.144335,0.03576307,0.1375079,-0.1973696,-0.5705716,0.7852293
-1.293349,1.144307,0.03573207,0.1374268,-0.1968547,-0.5707108,0.7852716
-1.292858,1.145282,0.03467826,0.1378839,-0.1945254,-0.5706571,0.7858108
-1.292577,1.146482,0.03297336,0.139059,-0.1923355,-0.5708013,0.7860379
-1.293227,1.145028,0.03273417,0.1345044,-0.1862742,-0.5724319,0.7871038
-1.290984,1.144986,0.03369812,0.1317593,-0.1828656,-0.5704888,0.7897737
-1.289204,1.145484,0.03355215,0.1294917,-0.1794895,-0.5692993,0.791779
-1.285684,1.144048,0.03750313,0.1150263,-0.1726826,-0.5635598,0.7995937
-1.283062,1.144016,0.03915719,0.1044689,-0.170574,-0.5372037,0.819392
-1.280538,1.143955,0.04182084,0.09520218,-0.1593046,-0.5518566,0.813027
-1.282052,1.14311,0.04096208,0.09084654,-0.153228,-0.5540112,0.813228
-1.281852,1.142535,0.04131014,0.07840714,-0.1406246,-0.5538108,0.8169277
