Yaw,Pitch,Roll
359.8242,0.5092316,278.4581
359.8793,0.5442091,278.4385
359.9045,0.5281841,278.4318
359.9694,0.4686864,278.4492
359.9854,0.461644,278.4771
0.002292326,0.4714859,278.512
0.03360244,0.4401213,278.5858
0.06437065,0.4445528,278.6334
0.08206253,0.4516633,278.6533
0.06880061,0.4501071,278.6688
0.04455821,0.4318563,278.6874
0.04455821,0.4318563,278.6874
0.04455821,0.4318563,278.6874
0.04455821,0.4318563,278.6874
0.04455821,0.4318563,278.6874
0.04455821,0.4318563,278.6874
0.04455821,0.4318563,278.6874
0.04455821,0.4318563,278.6874
0.04455821,0.4318563,278.6874
354.4485,0.1479335,281.898
353.1222,359.8732,282.5477
350.2133,359.3996,283.8711
348.7014,359.2476,284.4996
345.672,358.975,285.6214
344.2204,358.8731,286.0988
342.8089,358.8002,286.5446
340.0752,358.8244,287.347
338.7802,358.8454,287.7295
336.3622,358.9094,288.4099
335.252,358.9394,288.721
334.2368,358.972,288.9981
332.4159,359.0318,289.4854
330.9722,359.1835,289.8536
330.3466,359.2835,289.9947
329.7703,359.3926,290.1494
328.8155,359.5146,290.4026
328.4427,359.563,290.5116
327.8975,359.6989,290.7122
327.7071,359.8029,290.7976
327.4553,359.9858,290.9058
327.3807,0.05435124,290.9328
327.3108,0.1268897,290.969
327.3126,0.1562783,290.9709
327.335,0.1941963,290.942
327.4332,0.2936175,290.9264
327.4912,0.351278,290.9309
327.629,0.4097005,290.9784
327.629,0.4097005,290.9784
327.629,0.4097005,290.9784
327.8549,0.5166733,290.9973
327.9315,0.5238085,290.9825
328.0348,0.6155066,290.9584
328.0477,0.658303,290.9424
328.0684,0.6853217,290.9064
328.087,0.6976374,290.8949
328.1119,0.7171229,290.886
328.1375,0.7936857,290.8592
328.1375,0.7936857,290.8592
328.1375,0.7936857,290.8592
328.1428,0.8564839,290.772
328.1812,0.9273727,290.7485
328.1958,0.9703824,290.7467
328.2047,1.032287,290.7456
328.204,1.045194,290.742
328.2215,1.051358,290.7342
328.3059,1.085423,290.7354
328.3609,1.123856,290.7316
328.4579,1.183136,290.7453
328.5159,1.191063,290.7466
328.6627,1.218314,290.7298
328.7559,1.204506,290.7134
328.8498,1.179262,290.7014
328.9972,1.177311,290.6897
329.0547,1.200453,290.681
329.1507,1.247467,290.6571
329.1945,1.244863,290.6286
329.2302,1.266966,290.5718
329.2388,1.275386,290.5584
329.2236,1.26522,290.5528
329.2065,1.234189,290.5391
329.1933,1.219158,290.5388
329.1933,1.219158,290.5388
329.1933,1.219158,290.5388
329.0228,1.300758,290.4856
329.0064,1.275216,290.4741
328.9811,1.252011,290.4735
328.9257,1.267156,290.4619
328.9257,1.267156,290.4619
328.9257,1.267156,290.4619
328.9257,1.267156,290.4619
328.9257,1.267156,290.4619
328.9257,1.267156,290.4619
328.9257,1.267156,290.4619
328.9257,1.267156,290.4619
328.9257,1.267156,290.4619
328.9257,1.267156,290.4619
328.9257,1.267156,290.4619
328.8519,1.141993,290.2823
328.8548,1.145204,290.2791
328.8843,1.145164,290.2752
328.8961,1.143566,290.2757
328.9237,1.123098,290.2828
328.9394,1.116482,290.2795
328.9554,1.114716,290.2708
328.9603,1.139343,290.2372
328.977,1.143894,290.2343
329.0093,1.14832,290.2593
329.0093,1.14832,290.2593
329.0093,1.14832,290.2593
329.0093,1.14832,290.2593
329.0093,1.14832,290.2593
329.0093,1.14832,290.2593
329.0093,1.14832,290.2593
329.0093,1.14832,290.2593
329.0093,1.14832,290.2593
329.0093,1.14832,290.2593
329.0093,1.14832,290.2593
329.0093,1.14832,290.2593
329.0093,1.14832,290.2593
329.0093,1.14832,290.2593
329.0093,1.14832,290.2593
329.0093,1.14832,290.2593
336.9961,0.2482782,290.1342
338.5408,0.08519555,290.1663
340.2669,359.9085,290.2119
344.1786,359.7502,290.3594
346.2629,359.7144,290.4601
350.5641,359.4073,290.654
355.0141,358.9646,290.7928
357.2714,358.8279,290.8513
359.501,358.7203,290.9146
3.81052,358.3838,291.0757
7.867079,357.9493,291.2252
7.867079,357.9493,291.2252
12.21484,357.4614,291.3681
13.92035,357.387,291.471
16.96431,357.236,291.6288
18.2932,357.1528,291.7079
21.42207,356.9849,291.8561
21.42207,356.9849,291.8561
22.19098,356.8783,291.8501
23.31707,356.6783,291.7793
23.96107,356.5464,291.673
24.2702,356.3924,291.5428
24.31117,356.3279,291.4816
24.31556,356.266,291.41
24.25346,356.2193,291.3528
24.00268,356.1413,291.2965
23.6776,356.1001,291.2916
23.50768,356.1013,291.2958
23.15812,356.1243,291.306
23.15812,356.1243,291.306
22.81238,356.1679,291.3038
22.6485,356.2003,291.3042
22.6485,356.2003,291.3042
22.6485,356.2003,291.3042
22.6485,356.2003,291.3042
22.6485,356.2003,291.3042
22.6485,356.2003,291.3042
22.6485,356.2003,291.3042
22.6485,356.2003,291.3042
22.6485,356.2003,291.3042
22.6485,356.2003,291.3042
22.6485,356.2003,291.3042
22.6485,356.2003,291.3042
22.6485,356.2003,291.3042
21.49234,356.4086,291.7639
21.47674,356.4113,291.7744
21.45515,356.4354,291.804
21.44238,356.4359,291.821
21.43003,356.4441,291.8294
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
21.40787,356.4395,291.8306
17.84613,357.6374,290.0527
16.39,358.1101,289.3741
15.58274,358.3803,289.0555
14.68755,358.6594,288.7209
12.67535,359.2213,287.9873
11.56372,359.5151,287.5899
9.049284,0.1191754,286.6762
7.653103,0.4052859,286.1595
4.561642,0.9342564,285.008
2.903624,1.158589,284.3624
359.3477,1.516831,282.972
357.5238,1.651351,282.2352
353.8518,1.912081,280.749
352.0307,2.078506,280.0026
350.2229,2.275931,279.2308
346.6896,2.668364,277.6245
345.0007,2.762951,276.8802
341.3848,2.51173,276.1417
339.9862,2.325852,275.5062
337.47,1.976071,274.686
336.373,1.83451,274.3504
335.3597,1.708783,274.0546
333.6352,1.540095,273.6254
332.9267,1.466054,273.4902
331.8775,1.259747,273.338
331.4901,1.152654,273.2936
330.9534,0.9950831,273.2174
330.7898,0.9344813,273.1662
330.6506,0.8644266,273.0607
330.6468,0.8484199,273.0066
330.6681,0.8371045,272.9718
330.8292,0.8347991,272.902
330.9482,0.8286231,272.8732
331.0697,0.8248037,272.8555
331.3344,0.8259479,272.8488
331.4612,0.834151,272.8523
331.7257,0.831252,272.8474
331.8497,0.8411859,272.8353
332.0576,0.8813964,272.8263
332.1336,0.9127603,272.8273
332.2296,0.9516462,272.838
332.2968,0.9421442,272.8354
332.3258,0.9346231,272.8352
332.3394,0.9344993,272.8252
332.3454,0.947668,272.8337
332.3267,0.9531029,272.8448
332.285,0.9520903,272.8658
332.2671,0.9400444,272.8683
332.2601,0.9327624,272.8691
332.2282,0.9401947,272.8749
332.2282,0.9401947,272.8749
332.2282,0.9401947,272.8749
332.2282,0.9401947,272.8749
332.1975,0.9583442,272.8994
332.1984,0.9750515,272.8825
332.2049,1.000779,272.8613
332.2159,1.021428,272.8458
332.2137,1.014042,272.8452
332.1979,1.001727,272.8638
