Yaw,Pitch,Roll
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
359.0091,359.0292,278.5495
354.6058,359.8857,275.4078
353.3138,359.9466,274.3859
353.3138,359.9466,274.3859
351.9355,359.9854,273.5897
350.5341,0.05129558,272.8959
349.068,0.04970927,272.132
349.068,0.04970927,272.132
347.5661,0.03703244,271.4964
346.8129,0.06349004,271.1995
345.285,0.1030744,270.5359
343.7363,0.1007317,269.9129
342.1745,0.01118273,269.3244
342.1745,0.01118273,269.3244
340.6957,359.8582,268.8317
339.982,359.7894,268.6603
338.4072,359.9553,268.6169
337.0514,359.9366,268.2709
337.0514,359.9366,268.2709
336.3915,359.9193,268.1205
335.1889,359.9163,268.3192
334.5824,359.9854,268.2313
333.4279,0.09931953,267.9922
332.575,359.976,267.1682
331.5746,359.9243,266.2642
331.5746,359.9243,266.2642
330.6417,359.6838,266.0602
329.9423,359.3572,266.0266
329.9423,359.3572,266.0266
329.3241,359.1725,265.9815
329.0634,359.1026,265.9624
328.3211,359.2788,265.8747
328.3211,359.2788,265.8747
328.3211,359.2788,265.8747
328.3211,359.2788,265.8747
328.3211,359.2788,265.8747
328.3211,359.2788,265.8747
328.3211,359.2788,265.8747
328.3211,359.2788,265.8747
327.7033,359.1859,266.7599
327.7033,359.1859,266.7599
327.7033,359.1859,266.7599
327.7033,359.1859,266.7599
327.9778,359.5193,268.0615
327.9778,359.5193,268.0615
328.2168,359.3706,268.9904
328.2168,359.3706,268.9904
328.501,359.4094,271.0357
328.6485,359.2393,271.7079
328.6485,359.2393,271.7079
328.9866,359.0574,274.2208
329.075,358.994,274.9927
329.2957,358.5116,276.3957
329.3478,358.4372,277.0959
329.4084,358.3574,277.8224
329.5157,358.2045,279.2324
329.5157,358.2045,279.2324
329.5656,357.9226,280.1645
329.6322,357.5234,281.3363
329.7394,356.9616,282.423
329.7394,356.9616,282.423
329.727,356.748,283.4254
329.8538,356.2473,284.3303
329.8538,356.2473,284.3303
329.8835,356.0902,285.145
329.9164,355.8926,285.9023
329.9164,355.8926,285.9023
329.9601,355.5798,286.8867
329.9804,355.478,287.445
330.0104,355.3968,287.7077
330.0765,355.2914,288.1192
330.0765,355.2914,288.1192
330.0923,355.0833,288.485
330.1641,354.8794,288.829
330.2335,354.6659,289.0184
330.309,354.7685,289.218
330.309,354.7685,289.218
330.4626,354.7401,289.3147
330.5253,354.7029,289.3641
330.5253,354.7029,289.3641
330.5253,354.7029,289.3641
330.5253,354.7029,289.3641
330.5253,354.7029,289.3641
330.5253,354.7029,289.3641
330.5253,354.7029,289.3641
330.5253,354.7029,289.3641
330.5253,354.7029,289.3641
330.5253,354.7029,289.3641
330.5253,354.7029,289.3641
330.5253,354.7029,289.3641
330.5253,354.7029,289.3641
330.5253,354.7029,289.3641
330.5253,354.7029,289.3641
330.5253,354.7029,289.3641
330.5253,354.7029,289.3641
330.5253,354.7029,289.3641
335.4992,355.1258,289.4358
336.5066,355.3023,289.378
337.016,355.3382,289.3531
337.016,355.3382,289.3531
337.016,355.3382,289.3531
340.0981,355.2254,289.1688
340.8246,355.3703,289.1107
340.8246,355.3703,289.1107
340.8246,355.3703,289.1107
340.8246,355.3703,289.1107
340.8246,355.3703,289.1107
346.5664,355.3219,289.051
348.5013,355.5249,289.057
348.5013,355.5249,289.057
348.5013,355.5249,289.057
352.338,355.4861,288.9645
353.3244,355.4696,288.9452
353.3244,355.4696,288.9452
353.3244,355.4696,288.9452
358.5031,355.3622,288.5024
0.6642564,355.2775,288.4803
0.6642564,355.2775,288.4803
0.6642564,355.2775,288.4803
3.824049,355.0287,288.2741
5.890794,355.0745,288.2106
6.93368,355.0599,288.1067
6.93368,355.0599,288.1067
6.93368,355.0599,288.1067
10.87262,354.6226,287.7057
12.84964,354.7678,287.6402
13.78685,354.8382,287.558
14.65232,354.858,287.5038
16.26745,354.8594,287.6138
17.07395,354.9095,287.6534
18.58617,355.0165,287.6189
19.83904,355.0291,287.6232
20.97488,355.088,287.643
20.97488,355.088,287.643
21.52307,355.1208,287.6319
22.49454,355.0573,287.6478
22.93366,355.0571,287.679
23.78409,355.1642,287.6829
24.18445,355.2066,287.6523
24.78922,355.3181,287.5989
25.29232,355.36,287.5608
25.29232,355.36,287.5608
25.70862,355.3787,287.5147
26.00289,355.3937,287.5177
26.00289,355.3937,287.5177
26.06479,355.3857,287.5282
26.11666,355.4015,287.5069
26.11666,355.4015,287.5069
26.14332,355.4294,287.4905
26.14332,355.4294,287.4905
26.11941,355.4941,287.4748
26.11941,355.4941,287.4748
26.11941,355.4941,287.4748
26.07206,355.6198,287.4587
26.09024,355.6893,287.4617
26.11836,355.7475,287.4322
26.11836,355.7475,287.4322
26.1132,355.8369,287.4346
26.09713,355.8987,287.4288
26.09713,355.8987,287.4288
26.10361,355.9147,287.3533
26.11128,355.9321,287.2834
26.12575,355.955,287.2484
26.16816,356.0173,287.1594
26.16816,356.0173,287.1594
26.19028,356.0688,287.0528
26.19086,356.0803,286.9918
26.19086,356.0803,286.9918
26.19086,356.0803,286.9918
26.22394,356.2325,286.5422
26.24182,356.3143,286.2529
26.26929,356.4565,285.9459
26.26929,356.4565,285.9459
26.31861,356.6176,285.5419
26.47875,356.8044,284.9883
26.5853,356.9091,284.6399
