L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
354.5354,5.622297,0.4817333,355.7673,5.579571,0.3870444
354.5354,5.622297,0.4817333,355.7673,5.579571,0.3870444
354.0074,5.629833,0.4818624,354.9856,5.578146,0.3871024
353.9972,4.386478,0.5134336,354.4985,4.334273,0.4373197
353.9972,4.386478,0.5134336,354.4985,4.334273,0.4373197
353.2095,4.397892,0.5135147,354.2318,4.336789,0.4372185
353.2026,4.392757,0.513649,354.2249,4.331577,0.4374288
353.202,4.397002,0.5135421,353.9766,4.334416,0.4373142
353.2053,4.895777,0.5008551,353.9655,4.83204,0.417246
353.2053,4.895777,0.5008551,353.9655,4.83204,0.417246
353.2137,5.148352,0.4944415,353.4686,5.080576,0.4072124
352.9505,5.642956,0.4820036,353.4565,5.571969,0.3873523
352.9505,5.642956,0.4820036,353.4565,5.571969,0.3873523
353.2167,5.645272,0.4818459,353.4629,5.576105,0.3871847
353.4746,5.141744,0.4944975,353.9713,5.079858,0.4072415
353.4746,5.141744,0.4944975,353.9713,5.079858,0.4072415
353.4746,5.141744,0.4944983,353.9713,5.079858,0.4072415
354.005,5.13672,0.4943599,354.7466,5.084515,0.4070539
354.0049,5.138052,0.4943259,354.7462,5.085835,0.4070001
354.0049,5.138052,0.4943259,354.7462,5.085835,0.4070001
353.7501,5.139156,0.4944329,354.2394,5.08148,0.4071759
353.7403,5.138169,0.4944631,354.2301,5.080416,0.4072193
353.7403,5.138169,0.4944631,354.2301,5.080416,0.4072193
353.2077,4.897629,0.500807,353.9722,4.833961,0.4171691
354.0028,4.888989,0.5006501,354.4867,4.835784,0.4170952
354.0028,4.888974,0.5006508,354.4867,4.835784,0.4170956
354.0028,4.888974,0.5006508,354.4867,4.835784,0.4170956
353.4594,4.897038,0.500717,353.9612,4.8356,0.4171025
353.4688,4.146342,0.5198162,353.9821,4.086775,0.4472905
353.4688,4.146342,0.5198162,353.9821,4.086775,0.4472905
353.4759,5.136943,0.4946192,353.9769,5.075129,0.407433
353.1987,4.148087,0.5198852,353.9689,4.08596,0.4473224
352.8631,4.1477,0.5200161,353.8979,4.082203,0.4474743
352.8631,4.1477,0.5200161,353.8979,4.082203,0.4474743
352.9317,4.154881,0.5198101,353.9664,4.090379,0.4471457
340.4448,3.779563,0.518269,342.3923,3.562739,0.4683794
338.1624,0.8846942,0.587646,339.6921,0.6526914,0.5851647
338.1624,0.8846942,0.587646,339.6921,0.6526914,0.5851647
338.1624,0.8846946,0.5876477,339.6921,0.6527051,0.5851631
338.1624,0.8846946,0.5876477,339.6921,0.6527051,0.5851631
341.6772,1.068095,0.5906376,342.8356,0.8729837,0.5763368
347.6256,3.718922,0.5299698,349.0887,3.586827,0.4674125
347.6256,3.718922,0.5299694,349.0887,3.586827,0.4674118
347.6256,3.718922,0.5299694,349.0887,3.586827,0.4674118
352.1889,3.666651,0.5324734,353.2529,3.592788,0.467173
356.1145,3.614361,0.5315204,356.536,3.594421,0.467108
358.5028,3.817171,0.5234573,359.1057,3.83228,0.457537
358.5028,3.817171,0.5234573,359.1057,3.83228,0.457537
0.8858958,5.250711,0.4829893,1.146729,5.307024,0.3980651
0.8858963,5.250711,0.4829895,1.146729,5.307024,0.3980654
2.765161,5.256434,0.4789117,2.969624,5.343676,0.3965842
2.765161,5.256434,0.4789117,2.969624,5.343676,0.3965842
3.005073,5.462164,0.4731458,3.446293,5.551919,0.3881631
3.793881,5.449685,0.4715688,3.449631,5.561462,0.3877776
3.793881,5.449685,0.4715688,3.449631,5.561462,0.3877776
3.793839,5.448282,0.4716052,3.725191,5.556894,0.3879631
2.744285,4.48697,0.4985089,3.719551,4.563258,0.4280907
2.21801,4.491651,0.4995574,3.208863,4.560206,0.4282129
2.21801,4.491651,0.4995574,3.208863,4.560206,0.4282129
2.218008,4.491648,0.4995572,3.208862,4.560206,0.4282132
1.157161,4.52119,0.5009954,2.433945,4.572366,0.4277234
1.153819,4.517134,0.5011059,1.923717,4.571971,0.4277385
1.153819,4.517134,0.5011059,1.923717,4.571971,0.4277385
1.146629,4.527543,0.5008549,1.671102,4.583939,0.4272557
1.146629,4.527543,0.5008549,1.671102,4.583939,0.4272557
0.6162153,4.532068,0.5017512,1.65858,4.577252,0.4275253
0.6223586,5.024539,0.4892236,1.658023,5.070927,0.4076031
0.6288534,5.028323,0.4891157,1.664456,5.07482,0.4074457
0.6223594,5.024529,0.4892236,1.658021,5.070927,0.4076034
0.6223594,5.024529,0.4892236,1.658021,5.070927,0.4076034
0.8763579,4.771264,0.4951788,1.658428,4.822592,0.4176286
0.8880965,4.771016,0.4951627,1.920792,4.82075,0.4177032
0.8880965,4.771016,0.4951627,1.920792,4.82075,0.4177032
0.9106433,5.764886,0.4699172,1.926891,5.81735,0.3774227
0.6176873,6.267199,0.4577731,1.647852,6.316164,0.3572098
0.6176873,6.267199,0.4577731,1.647852,6.316164,0.3572098
0.6176873,6.267199,0.4577731,1.647852,6.316164,0.3572098
0.709431,16.45146,0.2029308,1.710682,16.51976,359.9304
0.9279708,21.42208,0.07709051,1.609416,21.50842,359.7066
0.9279708,21.42208,0.07709051,1.609416,21.50842,359.7066
0.924698,21.561,0.07355268,1.616215,21.64716,359.7001
0.924698,21.561,0.07355268,1.616215,21.64716,359.7001
1.020484,21.46521,0.07580195,1.626701,21.55586,359.7044
1.044869,19.1817,0.1336842,2.196263,19.25624,359.8093
1.013293,18.4361,0.1525379,2.184906,18.50882,359.8427
1.013293,18.4361,0.1525379,2.184906,18.50882,359.8427
0.5371868,17.70909,0.1717449,0.9473879,17.78746,359.8748
0.5441926,17.70511,0.1718309,0.9545133,17.78299,359.875
0.5441926,17.70511,0.1718309,0.9545133,17.78299,359.875
358.2347,15.53895,0.2298823,358.9905,15.55898,359.9721
356.1558,13.55433,0.2818571,356.736,13.53145,0.05881498
356.145,12.34409,0.3120067,356.751,12.32132,0.1098618
356.145,12.34409,0.3120067,356.751,12.32132,0.1098618
356.1352,10.597,0.3555594,356.7627,10.57483,0.1827199
356.4033,8.593921,0.405357,356.7916,8.576811,0.2650673
356.4033,8.593921,0.405357,356.7916,8.576811,0.2650673
356.4033,8.59391,0.4053573,356.7916,8.576811,0.2650671
356.9265,7.835337,0.423816,357.2953,7.827733,0.2957065
356.9165,7.087444,0.4426277,357.2999,7.079604,0.3261968
356.9165,7.087444,0.4426277,357.2999,7.079604,0.3261968
356.9239,7.086551,0.4426409,357.2986,7.078848,0.3262273
356.3969,7.093735,0.4430294,357.0432,7.077415,0.3262855
356.3969,7.093735,0.4430294,357.0432,7.077415,0.3262855
356.9165,6.589267,0.4551777,357.3014,6.581413,0.3464455
356.392,6.097538,0.4681532,357.0478,6.081386,0.3667279
356.392,6.097538,0.4681532,357.0478,6.081386,0.3667279
356.392,6.097538,0.4681532,357.0478,6.081386,0.3667279
356.922,6.086349,0.4678643,357.8138,6.078685,0.3668374
356.3944,6.104564,0.4679733,357.048,6.088594,0.3664361
357.1854,6.089709,0.467475,358.0699,6.086141,0.3665349
357.1854,6.089709,0.467475,358.0699,6.086141,0.3665349
5.672704,5.668462,0.4610338,6.279993,5.799572,0.3781421
5.672704,5.668448,0.4610338,6.279994,5.799587,0.3781423
5.672704,5.668448,0.4610338,6.279994,5.799587,0.3781423
15.71338,5.120518,0.4369228,16.01291,5.415341,0.3936866
16.26395,5.107442,0.4346321,16.54377,5.411741,0.3938352
15.73404,4.640527,0.4490462,16.03866,4.928421,0.4133592
15.73404,4.640527,0.4490462,16.03866,4.928421,0.4133592
15.47927,4.179063,0.4620076,15.53513,4.463205,0.4321253
13.64632,4.194935,0.4698508,13.50022,4.455594,0.4324312
13.64632,4.194935,0.4698508,13.50022,4.455594,0.4324312
13.64631,4.194932,0.4698486,13.50022,4.455594,0.4324312
9.88188,5.2949,0.4568658,9.855456,5.50502,0.3900618
6.636331,6.854319,0.4282411,6.703233,7.021666,0.3285562
6.636331,6.854319,0.4282411,6.703233,7.021666,0.3285562
2.723951,6.962409,0.43589,3.426539,7.05048,0.3273818
356.9268,7.840173,0.423694,357.2948,7.832576,0.2955089
356.9268,7.840173,0.423694,357.2948,7.832576,0.2955089
355.3473,7.858716,0.4247693,356.0231,7.824339,0.2958452
355.3473,7.858716,0.4247691,356.0231,7.824339,0.2958443
351.6263,6.668829,0.45637,352.4232,6.576239,0.3466541
351.6263,6.668829,0.45637,352.4232,6.576239,0.3466541
350.0579,6.187047,0.4684079,350.9127,6.072076,0.3671042
348.2104,6.194749,0.4674462,349.6292,6.060781,0.3675633
348.2104,6.194749,0.4674462,349.6292,6.060781,0.3675633
348.2104,6.194753,0.467445,349.6292,6.060781,0.3675617
351.9127,6.911768,0.450217,352.7013,6.822975,0.3366321
351.9127,6.911768,0.450217,352.7013,6.822968,0.3366322
351.9127,6.911768,0.450217,352.7013,6.822968,0.3366322
351.9192,6.912962,0.4501873,352.955,6.827054,0.3364657
351.9197,7.410455,0.4376677,353.2141,7.326237,0.3161557
351.9197,7.410455,0.4376677,353.2141,7.326237,0.3161557
352.9824,8.147289,0.4189076,353.4714,8.069856,0.285815
353.245,8.14671,0.418824,353.4714,8.071042,0.2857659
353.8112,12.38327,0.312779,354.9901,12.32052,0.1098951
353.8112,12.38327,0.312779,354.9901,12.32052,0.1098951
353.8112,12.38329,0.312779,354.9901,12.32053,0.1098949
355.9222,21.33879,0.08675472,356.8969,21.30873,359.7158
357.4554,21.32294,0.0854102,358.3833,21.32625,359.715
357.4554,21.32294,0.0854102,358.3833,21.32625,359.715
357.4441,21.17365,0.08922319,358.3992,21.17673,359.7219
356.9548,20.81559,0.09893085,357.6538,20.80844,359.7388
356.9548,20.81559,0.09893085,357.6538,20.80844,359.7388
356.9411,20.0652,0.1179615,357.6669,20.05782,359.7731
356.9425,20.06016,0.1180872,357.6684,20.05286,359.7733
356.9425,20.06016,0.1180872,357.6684,20.05286,359.7733
357.1979,18.56118,0.1555782,357.6913,18.56001,359.8405
357.1656,16.81434,0.1994226,357.4685,16.81233,359.9176
355.9041,14.09689,0.2685866,356.9955,14.07021,0.03592354
355.9041,14.09689,0.2685866,356.9955,14.07021,0.03592354
355.8991,13.84701,0.2748153,356.4977,13.81848,0.04663274
355.8959,13.3459,0.2872977,357.004,13.31946,0.06779321
355.8959,13.3459,0.2872977,357.004,13.31946,0.06779321
355.8959,13.3459,0.2872977,357.004,13.31948,0.0677929
356.4123,12.84137,0.2993515,357.0103,12.82376,0.08872686
356.9379,12.57704,0.3053605,357.5161,12.57004,0.09940983
356.9379,12.57704,0.3053605,357.5161,12.57004,0.09940983
356.9166,11.07892,0.3427141,357.5302,11.0715,0.162091
353.5261,11.12213,0.3443359,353.9599,11.04734,0.1630966
353.5261,11.12213,0.3443359,353.9599,11.04734,0.1630966
342.4795,10.6817,0.3481085,344.5965,10.47195,0.1869825
342.4198,11.40717,0.3298896,343.8317,11.16027,0.1583974
342.4198,11.40717,0.3298885,343.8317,11.16027,0.1583985
342.4198,11.40717,0.3298885,343.8317,11.16027,0.1583985
