N-Vector3X,N-Vector3Y,N-Vector3Z,N-QuaternionX,N-QuaternionY,N-QuaternionZ,N-QuaternionW
-0.04738164,1.063904,-0.4061764,0.5270186,-0.4517945,-0.5391939,0.4768681
-0.04740119,1.063894,-0.4063205,0.5267688,-0.4512705,-0.5397581,0.4770019
-0.04747772,1.063856,-0.4066108,0.5261964,-0.4502228,-0.540939,0.4772858
-0.0474683,1.063821,-0.40675,0.525966,-0.4496888,-0.541487,0.4774218
-0.04746509,1.063791,-0.4068561,0.5256769,-0.4491715,-0.542011,0.4776325
-0.04746509,1.063791,-0.4068561,0.5256769,-0.4491715,-0.542011,0.4776325
-0.04744494,1.06378,-0.4069132,0.5254008,-0.4487895,-0.5424181,0.4778333
-0.04744482,1.063819,-0.4069729,0.5242603,-0.4477362,-0.5436966,0.4786203
-0.04745471,1.063804,-0.4068882,0.523751,-0.4476152,-0.5440313,0.4789108
-0.04745471,1.063804,-0.4068882,0.523751,-0.4476152,-0.5440313,0.4789108
-0.04743767,1.063785,-0.4067776,0.5234305,-0.4477643,-0.544029,0.4791244
-0.04741573,1.063774,-0.4067245,0.5232148,-0.4478927,-0.5440627,0.4792016
-0.04738617,1.063761,-0.4067388,0.5231888,-0.4479359,-0.5440679,0.4791836
-0.04738617,1.063761,-0.4067388,0.5231888,-0.4479359,-0.5440679,0.4791836
-0.04732907,1.063746,-0.4067568,0.5232431,-0.4479721,-0.5440125,0.4791536
-0.04723811,1.06371,-0.4067811,0.5233486,-0.4479685,-0.5438986,0.4791708
-0.0471971,1.063714,-0.4067931,0.5233581,-0.4481005,-0.5438379,0.479106
-0.04726911,1.063722,-0.4068184,0.5232647,-0.4481449,-0.5439501,0.4790392
-0.04728067,1.063744,-0.4069328,0.5233243,-0.447945,-0.5440543,0.4790427
-0.04728067,1.063744,-0.4069328,0.5233243,-0.447945,-0.5440543,0.4790427
-0.04728067,1.063744,-0.4069328,0.5233243,-0.447945,-0.5440543,0.4790427
-0.04728067,1.063744,-0.4069328,0.5233243,-0.447945,-0.5440543,0.4790427
-0.04728067,1.063744,-0.4069328,0.5233243,-0.447945,-0.5440543,0.4790427
-0.04735792,1.063549,-0.4069286,0.5231763,-0.4480948,-0.5436692,0.4795012
-0.04729712,1.063598,-0.4068466,0.5230828,-0.4483402,-0.5432076,0.4798969
-0.04729712,1.063598,-0.4068466,0.5230828,-0.4483402,-0.5432076,0.4798969
-0.04727435,1.063612,-0.4067211,0.5230765,-0.4486068,-0.5427677,0.4801523
-0.04727435,1.063612,-0.4067211,0.5230765,-0.4486068,-0.5427677,0.4801523
-0.04727435,1.063612,-0.4067211,0.5230765,-0.4486068,-0.5427677,0.4801523
-0.04727435,1.063612,-0.4067211,0.5230765,-0.4486068,-0.5427677,0.4801523
-0.04727435,1.063612,-0.4067211,0.5230765,-0.4486068,-0.5427677,0.4801523
-0.04727435,1.063612,-0.4067211,0.5230765,-0.4486068,-0.5427677,0.4801523
-0.04727435,1.063612,-0.4067211,0.5230765,-0.4486068,-0.5427677,0.4801523
-0.04727435,1.063612,-0.4067211,0.5230765,-0.4486068,-0.5427677,0.4801523
