H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
0.03305197,1.096205,-0.1014221,0.598869,-0.5918338,-0.3429267,0.4165212
0.03306282,1.096219,-0.1014208,0.5988397,-0.5918298,-0.3428659,0.4166192
0.03305686,1.096215,-0.1014216,0.5988215,-0.5918158,-0.3428311,0.4166938
0.0330621,1.096175,-0.1014365,0.5988048,-0.5918067,-0.3427207,0.4168214
0.0330621,1.096175,-0.1014365,0.5988048,-0.5918067,-0.3427207,0.4168214
0.03308022,1.096132,-0.1014894,0.5987031,-0.5919915,-0.3426315,0.4167784
0.03307927,1.096134,-0.1015591,0.5987429,-0.5920497,-0.3425235,0.4167274
0.03306794,1.096122,-0.1015664,0.5987086,-0.5921749,-0.3423051,0.4167783
0.03306794,1.096122,-0.1015664,0.5987086,-0.5921749,-0.3423051,0.4167783
0.03307283,1.096145,-0.1015311,0.5984149,-0.5925385,-0.3418353,0.4170688
0.03307283,1.096145,-0.1015311,0.5984149,-0.5925385,-0.3418353,0.4170688
0.03300428,1.096197,-0.1012544,0.5978674,-0.5932342,-0.3410783,0.4174847
0.03295457,1.096248,-0.1011105,0.5973725,-0.5937685,-0.340679,0.4177595
0.0328989,1.09632,-0.100967,0.5968539,-0.5943272,-0.3402809,0.4180307
0.03272665,1.096442,-0.1006375,0.5956486,-0.5956329,-0.3394773,0.4185444
0.03252268,1.096547,-0.1002944,0.594273,-0.5970299,-0.3387048,0.4191349
0.03245199,1.096589,-0.1001743,0.5935382,-0.5977467,-0.338329,0.4194579
0.03237772,1.096644,-0.09994245,0.5921354,-0.5991777,-0.3375411,0.4200332
0.03237772,1.096644,-0.09994245,0.5921354,-0.5991777,-0.3375411,0.4200332
0.03223455,1.096671,-0.09980118,0.5906616,-0.6005263,-0.3370138,0.4206053
0.03214645,1.09669,-0.09972435,0.5897881,-0.6012728,-0.3367578,0.4209695
0.03187883,1.096837,-0.09945631,0.5874817,-0.6033231,-0.3360492,0.4218264
