Yaw,Pitch,Roll
250.0029,1.425244,294.638
250.011,1.43308,294.636
250.0186,1.465992,294.6577
250.0186,1.465992,294.6577
250.005,1.507887,294.6812
249.9661,1.514653,294.6205
249.9661,1.514653,294.6205
249.9535,1.514327,294.6052
249.9369,1.527114,294.5921
249.9225,1.552907,294.5832
249.9141,1.562528,294.5732
249.9081,1.569249,294.5591
249.9138,1.572427,294.5764
249.9193,1.584459,294.5947
249.9295,1.608325,294.6121
249.9422,1.641857,294.643
249.9585,1.683149,294.6581
249.9633,1.687748,294.6779
249.9633,1.687748,294.6779
249.9736,1.679468,294.7112
250.0238,1.642108,294.7172
250.0487,1.647313,294.7042
250.0685,1.65838,294.6874
250.0774,1.684678,294.6644
250.0841,1.694226,294.6676
250.0946,1.719208,294.6938
250.0883,1.747551,294.7437
250.0883,1.747551,294.7437
250.0918,1.776776,294.7632
250.0988,1.776665,294.7609
250.0988,1.776665,294.7609
250.1011,1.795582,294.7784
250.127,1.767018,294.8527
250.1563,1.763622,294.8712
250.1563,1.763622,294.8712
250.1865,1.779156,294.8521
250.1946,1.778435,294.8349
250.1946,1.778435,294.8349
250.2375,1.747561,294.8177
250.2483,1.746249,294.8231
250.2661,1.751272,294.8303
250.2834,1.752782,294.8517
250.3049,1.771852,294.8673
250.339,1.77877,294.8665
250.3903,1.776175,294.8618
250.3903,1.776175,294.8618
250.4254,1.768487,294.8559
250.5284,1.736997,294.8413
250.5981,1.720297,294.8299
250.8865,1.64908,294.7724
250.8865,1.64908,294.7724
251.1097,1.572331,294.7515
251.2243,1.528578,294.7451
251.4999,1.490204,294.7159
251.8542,1.459428,294.7015
251.8542,1.459428,294.7015
252.2261,1.360965,294.7063
252.6248,1.207899,294.6718
252.8531,1.114337,294.6584
253.3673,0.9549063,294.6298
253.6277,0.8927777,294.5774
254.2282,0.833473,294.4491
254.2282,0.833473,294.4491
254.899,0.7560795,294.3957
255.2442,0.6826355,294.3959
255.9436,0.5496884,294.3505
256.7107,0.4354527,294.2933
257.4831,0.2835445,294.3024
257.4831,0.2835445,294.3024
257.8741,0.2095182,294.2658
258.7257,0.08485489,294.1864
