L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
93.8366,345.5393,1.256579,102.7542,345.4389,358.7209
93.38008,345.5209,1.259134,102.5145,345.4308,358.72
93.38008,345.5209,1.259134,102.5145,345.4308,358.72
93.38251,345.5237,1.258825,102.5168,345.4335,358.7203
93.38972,347.2471,1.067322,102.4489,347.1703,358.9136
94.07673,347.2675,1.064319,103.627,347.1947,358.9163
94.07673,347.2675,1.064317,103.627,347.1947,358.9163
94.54377,346.9936,1.094049,103.8772,346.9092,358.8847
94.54377,346.9936,1.094049,103.8772,346.9092,358.8847
94.54428,346.9839,1.095123,103.8767,346.8994,358.8836
94.07891,346.9789,1.096186,103.6407,346.9039,358.8841
94.07886,346.9789,1.096188,103.6407,346.9039,358.8841
94.07886,346.9789,1.096188,103.6407,346.9039,358.8841
94.07886,346.9789,1.096188,103.6406,346.9039,358.8841
94.05532,349.2872,0.8432282,103.0644,349.2213,359.1384
90.34103,352.9693,0.4512223,99.64299,352.9516,359.5399
90.34106,352.9693,0.4512212,99.64299,352.9516,359.5399
90.34144,352.9696,0.4511825,99.64338,352.9519,359.5399
90.34106,352.9693,0.4512212,99.64299,352.9516,359.5399
89.8287,352.7471,0.4754664,98.93407,352.7296,359.5162
93.11469,350.0411,0.7624827,101.8452,349.9852,359.2213
93.12165,350.0403,0.7625678,101.8522,349.9841,359.2212
93.15871,348.398,0.9411523,101.9262,348.3282,359.0409
93.15869,348.398,0.941152,101.9262,348.3282,359.0409
94.08723,348.4104,0.9387864,103.1037,348.3365,359.0418
94.75965,348.4294,0.9359812,103.3392,348.341,359.0423
94.75966,348.4294,0.9359807,103.3392,348.341,359.0423
94.98212,348.4472,0.9337885,103.8077,348.3617,359.0446
89.94164,347.5598,1.422777,98.79672,347.4113,359.3885
89.56493,345.6058,0.2644472,98.48731,345.6563,357.951
89.11337,346.6628,0.5431511,98.22747,346.668,358.3871
88.95668,347.4344,0.8006741,98.04338,347.3902,358.7667
88.97129,347.4727,0.798978,98.04395,347.428,358.7717
88.98996,347.4907,0.7911272,98.06196,347.4469,358.7668
99.42179,351.6124,359.6447,108.3842,351.6989,358.3411
89.1649,351.9783,0.877598,98.12099,351.8703,359.6165
88.31027,352.2869,1.926009,97.25787,352.0135,0.70116
88.08747,351.8755,2.303454,97.06364,351.5436,0.9459382
87.32896,351.7331,2.683815,96.50743,351.346,1.309336
87.29086,351.2024,2.727568,96.48241,350.8152,1.266825
87.92544,351.0862,2.792712,96.89664,350.6897,1.318273
87.91667,351.0257,2.807133,96.88931,350.6277,1.322962
87.88779,350.8454,2.746497,96.8765,350.459,1.236322
87.90927,350.8135,2.731176,96.88991,350.4298,1.215214
87.91865,350.8052,2.724839,96.89955,350.4226,1.207634
87.9205,350.7815,2.730175,96.90202,350.3984,1.209163
87.24396,350.4664,2.739077,96.21179,350.0908,1.148942
87.04601,350.1912,2.749055,96.25518,349.8145,1.106273
87.06642,350.1832,2.737945,96.27588,349.8083,1.09398
87.09458,350.1833,2.722939,96.07245,349.8147,1.071437
87.54128,348.7816,2.896383,96.3316,348.396,0.9298846
87.56433,348.7683,2.878741,97.04774,348.3773,0.9337925
87.57284,348.7543,2.873823,97.05672,348.3643,0.9265938
87.57304,348.7569,2.873525,97.05685,348.3669,0.9268634
87.59337,348.7265,2.877754,97.08147,348.3359,0.9245454
87.35738,349.5908,2.768851,96.58334,349.2146,0.9970974
87.35738,349.5908,2.76885,96.58332,349.2146,0.9970986
87.38202,349.0146,2.837101,96.60916,348.6327,0.9385087
87.38203,349.0146,2.837102,96.60917,348.6327,0.9385082
88.04305,349.3051,2.823994,96.83206,348.9217,0.9758025
88.00779,349.0727,2.838744,96.82304,348.6882,0.9377681
88.00281,349.066,2.845858,96.81824,348.6805,0.9437581
87.52757,348.4807,2.907528,96.58093,348.0927,0.8833495
87.53658,348.4856,2.912587,96.58973,348.0968,0.8891456
86.87366,348.463,2.912752,96.34918,348.076,0.897577
86.86165,348.4905,2.938373,96.33607,348.099,0.9275103
87.31098,348.5114,2.939468,96.57238,348.1178,0.9261829
86.57806,347.6505,2.968321,95.6374,347.271,0.7556742
86.59306,347.6587,2.944911,95.65223,347.2827,0.7338412
86.83783,347.683,2.939922,96.13564,347.3021,0.7419575
86.85587,347.6901,2.931382,95.69534,347.3155,0.7179885
86.88757,347.699,2.923937,95.72679,347.3254,0.7120221
86.97885,348.2997,2.860648,96.00978,347.9279,0.7880437
86.99041,348.3042,2.874259,96.02111,347.9302,0.8022323
87.01046,348.3356,2.889103,96.03898,347.959,0.821914
87.00459,347.7749,2.956056,96.28362,347.3902,0.7724511
87.22453,347.2139,3.024696,96.3091,346.8227,0.708075
87.22244,347.1975,3.031679,96.30763,346.8058,0.7118118
87.20481,347.1759,3.039166,96.29077,346.7833,0.715706
87.17366,347.7207,2.96764,96.47186,347.3323,0.775997
87.18294,348.0051,2.925505,96.46584,347.6206,0.7970343
88.54755,341.5904,1.540098,98.12171,341.511,358.3391
88.86532,341.1348,0.6126038,98.46098,341.2081,357.3445
88.5136,343.8104,0.8493817,97.96836,343.8093,358.0423
88.33543,344.3796,1.06394,97.76424,344.337,358.3511
88.19982,345.0844,1.191545,97.3634,345.0071,358.6156
88.03185,345.609,1.39817,97.17374,345.4933,358.906
88.45555,344.2571,0.9539622,97.65698,344.2271,358.244
87.99773,345.6252,1.440128,97.14111,345.5028,358.9501
87.55172,345.3124,1.471046,97.16628,345.2026,358.9085
87.11198,345.2698,1.450054,96.48106,345.1638,358.8817
87.10464,345.2561,1.46196,96.47433,345.1484,358.8912
83.6004,350.3731,0.9315681,92.7239,350.3168,359.4881
83.59063,350.354,0.9399131,92.71466,350.2966,359.4932
83.59062,350.354,0.9399201,92.71471,350.2966,359.4932
86.65756,352.6611,2.291019,95.30795,352.3376,0.9756991
86.60516,351.8426,2.301392,95.27301,351.5269,0.8615009
87.94479,350.8906,2.729277,96.91287,350.5028,1.156807
87.91429,350.1887,2.777916,96.90117,349.8021,1.093739
88.3577,350.5352,2.763055,97.12455,350.1487,1.162492
88.32047,351.2592,2.71118,97.06351,350.8766,1.273994
88.3146,351.2218,2.728757,97.05843,350.837,1.285626
87.16996,351.2542,2.644722,95.90439,350.8927,1.214495
87.17188,351.2125,2.634976,95.90738,350.853,1.198451
87.17437,351.1935,2.627282,95.91,350.8354,1.187191
86.7214,350.4938,2.696431,96.12866,350.1227,1.125199
87.09715,347.761,2.71478,96.59345,347.4238,0.6858946
88.21275,343.2637,0.5589057,97.91479,343.3359,357.7544
88.11132,344.9813,0.4759211,97.73127,345.0425,357.9722
87.92665,345.3871,0.6440617,97.53296,345.4148,358.1944
87.93987,345.3181,0.5774784,97.54886,345.3575,358.1169
88.86913,344.9519,0.478402,97.57845,344.9691,357.9745
88.83942,344.8091,0.4802388,97.57122,344.8278,357.9445
103.368,343.7437,1.452599,112.1479,343.6324,358.7372
87.75945,350.0589,2.150666,96.28949,349.7695,0.3559633
87.63374,350.2583,2.323705,96.15787,349.9414,0.5572887
87.32159,349.8743,2.596553,95.88528,349.5254,0.8193405
