L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
87.18256,3.87994,359.6755,96.48856,3.843131,1.149311
87.21258,5.052355,359.5398,96.52902,5.021739,1.262353
87.24943,5.070166,359.5327,96.56614,5.04047,1.258294
86.54082,5.097124,359.5523,96.13605,5.055176,1.271743
86.5378,5.101027,359.552,96.1331,5.058951,1.272241
86.53892,4.544639,359.6105,96.12122,4.501166,1.212972
87.02837,3.640685,359.707,96.37078,3.600055,1.126501
87.02837,3.640681,359.707,96.37079,3.600051,1.126502
87.03408,4.219918,359.646,96.38412,4.181193,1.187981
87.03408,4.219918,359.646,96.38412,4.181193,1.187981
87.03408,4.219918,359.646,96.38412,4.181193,1.187981
87.00643,4.52563,359.6148,96.37375,4.487354,1.220986
87.00647,4.525627,359.6148,96.37375,4.487349,1.220987
87.00648,4.525621,359.6148,96.38801,4.48719,1.220515
87.00801,3.974583,359.6726,96.37736,3.934497,1.161898
87.00801,3.974583,359.6726,96.37736,3.934496,1.161898
88.11395,3.948987,359.6386,97.49265,3.92202,1.125142
88.11395,3.948987,359.6386,97.49265,3.92202,1.125142
99.04449,3.873296,359.2794,108.9241,3.961059,0.7591419
99.04449,3.873296,359.2794,108.9241,3.961059,0.759142
99.0834,4.438439,359.2183,109.1523,4.52528,0.8114417
99.1358,4.466517,359.2135,109.1918,4.55444,0.8132403
99.11887,4.62273,359.3319,109.1713,4.688158,0.9571623
99.10621,4.649731,359.3486,109.1591,4.711855,0.9782823
99.09504,4.670069,359.3582,109.1482,4.730207,0.9913574
98.93775,4.677379,359.358,108.7974,4.745272,0.9991745
99.34789,4.643873,359.3282,109.1899,4.7207,0.9649205
99.31773,4.609224,359.3049,109.1592,4.690523,0.9360234
98.74164,4.584722,359.3255,108.3779,4.66776,0.9571807
94.97303,4.064301,359.4993,104.5161,4.1008,1.014698
94.95928,4.054303,359.5112,104.5022,4.088947,1.024802
94.72703,4.065209,359.5204,104.2647,4.096951,1.035487
94.72912,4.088091,359.5258,104.2671,4.118623,1.044649
94.32773,4.126467,359.5397,103.8577,4.15173,1.06511
94.51103,4.162965,359.6178,104.0414,4.174682,1.147585
94.47217,3.888841,359.6845,103.7654,3.898666,1.161459
93.76512,3.6711,359.7666,103.6464,3.645557,1.174653
93.76517,3.671097,359.7666,103.6464,3.645555,1.174652
93.7647,3.954423,359.7369,103.6518,3.930725,1.20487
95.78947,5.003541,359.8841,105.3323,4.960919,1.575023
96.12609,5.051101,359.9157,105.6695,5.002603,1.614084
107.7507,8.326246,359.3625,117.8366,8.403179,1.776203
108.2501,8.325884,359.4455,118.3359,8.388424,1.857899
109.8694,8.382328,359.5898,120.0311,8.417228,2.009243
109.7206,8.432542,359.6519,119.8089,8.457679,2.079995
110.8209,8.479231,359.767,120.9101,8.483673,2.201635
110.2862,8.452548,359.9279,120.1414,8.442341,2.359939
110.8558,8.441329,0.05011601,120.7103,8.410591,2.478405
111.384,8.44851,0.1322582,121.2385,8.403753,2.560566
111.1437,7.863846,0.2987298,121.1669,7.763868,2.586092
110.8353,7.545463,0.4474522,120.3914,7.450244,2.668548
109.9992,7.659612,0.5198718,119.7442,7.523506,2.752045
110.4394,7.744946,0.5798832,120.1861,7.597523,2.825742
110.5851,7.958304,0.6417978,120.3206,7.793276,2.922353
110.9539,8.048126,0.6879961,120.6913,7.874056,2.983196
110.5747,7.140263,0.8993654,120.4757,6.91238,2.984837
109.5865,6.390254,1.017009,119.2137,6.158162,2.939218
109.9572,5.866488,1.108849,119.3436,5.637325,2.919429
110.2351,5.878337,1.139,119.6215,5.644117,2.951106
109.5936,5.924776,1.162127,119.1729,5.66538,2.977334
109.5931,5.338664,1.197418,118.4857,5.120023,2.895747
110.0071,5.258277,1.160344,118.8987,5.046317,2.846664
109.7558,5.256203,1.165607,119.083,5.013215,2.845845
109.9175,5.234966,1.16144,119.2444,4.992933,2.83828
108.9025,5.333511,1.125726,118.6336,5.063789,2.813878
109.0255,5.337811,1.105521,118.7568,5.071432,2.794704
109.2966,5.849808,1.038888,118.9856,5.59261,2.839364
109.535,5.828799,1.068867,118.9174,5.586063,2.8692
109.7175,5.859112,1.076823,119.1004,5.614672,2.882006
109.7892,6.458435,0.9960667,119.2005,6.220836,2.92776
109.4953,6.76829,0.9798624,119.0441,6.519362,2.974249
109.5426,6.753843,0.9867825,119.0911,6.503982,2.978662
108.9382,6.501685,1.031043,118.4707,6.243087,2.966822
108.9144,6.524248,0.9967929,118.4474,6.270987,2.936819
108.5924,5.972154,1.035262,118.3328,5.703608,2.854264
107.9391,5.681082,1.069222,117.6519,5.407717,2.825319
107.9148,5.671088,1.076614,117.6274,5.396638,2.830912
107.8765,5.673078,1.074292,117.5892,5.398988,2.828965
107.8351,5.700205,1.053948,117.5484,5.429148,2.813519
108.5047,5.674835,1.058768,118.3452,5.400085,2.813421
108.4917,5.675845,1.086344,118.3319,5.396404,2.840753
108.4831,5.108932,1.148236,118.4169,4.819676,2.781414
108.5307,5.119204,1.086081,118.465,4.840483,2.721995
108.5918,5.114444,1.066548,118.526,4.839153,2.701942
108.6927,6.275103,0.9721394,118.4415,6.013778,2.855106
108.7898,6.268785,0.9617615,118.5386,6.009323,2.843812
108.9239,6.20686,0.9276007,118.6718,5.954048,2.799622
109.138,6.091915,0.9312894,118.8839,5.840119,2.783687
110.5412,4.578495,1.258711,119.822,4.317039,2.811538
118.7499,2.797026,1.294208,127.9388,2.596105,2.501484
120.2662,2.116618,1.408944,129.4504,1.906134,2.506016
128.1785,357.406,1.703395,138.3657,357.1245,1.798237
130.1062,355.4989,2.003881,139.8891,355.1927,1.734498
130.8048,355.2086,2.050784,140.5918,354.8986,1.731207
131.5382,354.8627,2.100678,141.3304,354.5493,1.721342
133.0995,354.9825,2.153095,142.8869,354.6717,1.826343
132.4161,354.7987,2.330505,142.8555,354.4302,1.91566
132.8755,354.5906,2.417027,143.0851,354.2228,1.990165
133.6113,354.3114,2.425688,143.826,353.9464,1.948743
133.0827,354.1099,2.543111,143.0331,353.7388,2.053287
133.8668,353.7701,2.607166,143.5922,353.4033,2.080781
134.4936,353.5693,2.575143,144.2232,353.2107,2.015028
134.0811,354.3304,2.59295,143.9945,353.9589,2.183732
134.6325,354.1231,2.574268,144.5498,353.758,2.129439
133.5401,354.5515,2.669492,143.1996,354.1797,2.346398
132.3865,354.0193,2.655273,141.7728,353.6661,2.276006
132.8547,353.7635,2.620032,142.2459,353.4195,2.19921
133.3825,353.3834,2.533266,142.7765,353.0582,2.051434
133.6896,353.2271,2.428108,143.0871,352.921,1.921901
133.5062,352.9284,2.344198,142.8892,352.6389,1.79202
133.6731,352.7631,2.27935,143.0599,352.4864,1.700828
132.1767,352.9794,2.42327,141.0751,352.6944,1.961826
131.2086,353.3058,2.838566,140.3187,352.9421,2.405216
133.3939,350.0584,6.447482,142.5523,349.169,5.452518
131.6631,353.8057,1.170802,140.7679,353.7003,0.8525732
130.8963,354.5606,2.439596,139.9854,354.2462,2.225917
132.055,356.2495,1.503698,141.1328,356.0621,1.568384
132.4276,355.8427,1.332541,141.5127,355.6888,1.335653
132.2964,355.7142,1.270319,141.3832,355.5717,1.253848
132.0606,355.2852,1.285772,141.1544,355.143,1.185806
131.9508,355.2825,1.274168,141.0447,355.1422,1.173912
132.3745,355.5587,1.13169,141.7163,355.4349,1.065058
132.1117,355.8134,1.1127,141.4417,355.6913,1.101817
131.9988,355.7437,1.146922,141.3296,355.617,1.124262
132.1282,355.7402,1.1378,141.4693,355.6154,1.113988
132.0865,355.7469,1.145276,141.4276,355.6209,1.122447
132.7903,355.682,1.073657,141.9089,355.5781,1.067443
133.1104,355.5984,1.045509,142.0541,355.5069,1.04805
133.1131,355.5798,1.032103,142.057,355.4906,1.031895
133.1174,356.7032,0.9039683,142.0525,356.6325,1.141995
132.9309,355.5962,1.021473,141.8526,355.5085,1.026284
132.8982,355.6084,1.039516,141.8197,355.5178,1.046023
132.8634,355.629,1.056959,141.7846,355.5354,1.066455
132.7397,355.9924,1.066044,141.657,355.8959,1.148128
132.5404,355.819,1.124149,141.4424,355.7132,1.163909
132.3922,355.9171,1.142067,141.2931,355.8073,1.196826
132.5756,356.3249,1.090173,141.733,356.2136,1.197243
131.9873,356.0546,1.194053,141.3497,355.918,1.206041
131.5421,356.2178,1.208664,140.9025,356.0767,1.24706
130.4415,357.4271,1.160963,139.79,357.2859,1.437356
129.6933,357.6257,1.222573,139.0402,357.4719,1.530455
115.8573,359.9421,2.152002,124.2589,359.598,2.947248
101.5849,1.866815,2.812134,110.5578,1.275581,3.883424
100.3598,1.975155,2.609767,109.3352,1.414118,3.700485
92.35323,3.597638,2.585244,101.4241,2.960053,3.972658
90.89529,3.592723,2.537276,99.96671,2.962537,3.924543
87.7701,3.358056,2.133436,96.84411,2.794369,3.488936
90.51786,3.052917,1.710056,99.291,2.598212,3.048712
87.59995,2.999751,1.494484,96.37453,2.5776,2.826854
89.64856,5.546509,1.03534,98.55052,5.165116,2.916129
