L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
91.66824,3.410553,359.3495,101.2815,3.439993,0.6452201
91.66824,3.410553,359.3495,101.2815,3.439993,0.6452201
91.10194,3.409508,359.3502,100.6624,3.436845,0.6448891
91.10112,3.408915,359.3503,100.6615,3.43558,0.644755
91.10641,2.850136,359.4091,100.658,2.875074,0.5857303
91.09875,1.967304,359.502,100.8719,1.987433,0.4923686
91.10165,1.969173,359.5018,100.8748,1.989032,0.4925356
91.1,2.845638,359.4096,100.8793,2.86834,0.58502
90.83919,3.420186,359.3494,100.8606,3.442331,0.6454666
90.83488,3.419683,359.3494,100.8563,3.441818,0.6454122
90.81368,3.419947,359.3494,100.6181,3.443942,0.6456364
90.80369,2.549164,359.4411,100.183,2.572892,0.5539339
90.80617,2.541816,359.4419,100.1853,2.565394,0.553143
90.84589,2.541384,359.4419,100.1855,2.5654,0.5531447
90.84724,2.538553,359.4422,100.1868,2.562736,0.5528647
90.84724,2.538553,359.4422,100.1868,2.562736,0.5528647
90.62721,2.831179,359.4117,100.4076,2.85235,0.5833369
90.62723,2.831179,359.4117,100.4076,2.85235,0.5833389
90.62614,2.828251,359.412,100.1815,2.851075,0.5832027
90.63103,2.828074,359.412,100.1865,2.850925,0.5831876
90.62669,2.828247,359.412,100.3942,2.849509,0.5830401
90.62669,2.828248,359.412,100.3942,2.849509,0.5830401
90.62561,2.828252,359.412,99.95596,2.852617,0.583366
86.19606,2.779366,359.4219,95.63438,2.783507,0.5760912
86.19608,2.779366,359.4219,95.63435,2.783507,0.5760926
76.73755,356.8411,0.05611042,85.9009,356.8428,359.9518
76.73752,356.8411,0.05611118,85.90089,356.8428,359.9518
67.68659,353.7773,0.3896619,77.81149,353.8091,359.6311
67.68333,353.4907,0.4201317,77.81462,353.5255,359.601
67.68333,353.4908,0.4201344,77.8146,353.5255,359.601
67.95589,353.7811,0.3889771,78.08881,353.8123,359.6314
67.95589,353.7811,0.3889771,78.08881,353.8123,359.6314
68.57862,356.4893,0.1018318,78.92098,356.4918,359.9149
68.57864,356.4893,0.1018312,78.921,356.4918,359.9149
69.28207,356.5059,0.09935033,79.41448,356.509,359.9167
70.45004,357.0407,0.04179556,80.14829,357.0396,359.9725
70.44687,356.505,0.09822081,80.15122,356.5095,359.9167
70.41776,356.4911,0.09971297,80.12228,356.4948,359.9152
60.74414,353.6147,0.4140621,72.12431,353.626,359.6117
60.73106,353.603,0.4153206,72.11153,353.614,359.6104
59.6976,350.8247,0.7136996,71.16205,350.8512,359.3148
59.6976,350.8247,0.7137014,71.16206,350.8512,359.3148
59.69758,350.8247,0.7137001,71.16206,350.8512,359.3148
59.80714,352.1028,0.5762998,71.23151,352.1225,359.4513
59.81036,352.1003,0.5765641,71.23478,352.1199,359.451
59.85452,352.6107,0.5219409,71.26462,352.6276,359.5053
59.85453,352.6107,0.5219375,71.26458,352.6276,359.5053
60.4632,354.3915,0.3318443,71.82795,354.3989,359.6937
62.4547,356.4524,0.1120163,73.33062,356.4521,359.9107
62.4547,356.4524,0.1120163,73.33062,356.4521,359.9107
62.4547,356.4524,0.1120163,73.33062,356.4521,359.9107
62.4547,356.4524,0.1120163,73.33062,356.4521,359.9107
67.32972,358.3776,359.9044,78.30901,358.367,0.1121443
67.76281,358.3787,359.9039,78.31368,358.3658,0.1120176
67.76283,358.3787,359.9039,78.31368,358.3658,0.1120179
67.78892,358.1235,359.9307,78.10093,358.1114,0.08528525
65.92139,357.5426,359.9937,76.41876,357.5349,0.02466753
65.92139,357.5426,359.9937,76.41877,357.5349,0.02466775
65.92061,357.3059,0.01859482,76.41942,357.3004,-8.974583E-06
65.92064,357.3059,0.01859632,76.41943,357.3004,-8.760903E-06
68.39575,357.5415,359.9912,78.72594,357.5349,0.0246732
70.88113,357.3345,0.01041578,80.81629,357.3306,0.003172971
70.88113,357.3345,0.01041824,80.81627,357.3306,0.003172757
70.91679,357.3343,0.01040061,81.26601,357.3306,0.003172971
70.91681,357.3343,0.01039773,81.26603,357.3306,0.003173184
71.11831,357.3344,0.01017839,81.06034,357.3306,0.003172864
71.54905,357.6143,359.9803,81.26765,357.6078,0.03234075
71.54905,357.6143,359.9803,81.26764,357.6078,0.03234021
72.03344,357.9041,359.9493,81.76601,357.8954,0.06257473
72.03344,357.9041,359.9493,81.76601,357.8954,0.06257473
72.04912,357.9318,359.9464,81.78085,357.9238,0.06555812
72.03376,357.9061,359.9491,81.7657,357.8974,0.06278536
71.82883,357.9043,359.9495,81.5583,357.8954,0.06258103
71.82744,357.6295,359.9784,81.55962,357.6232,0.03394815
71.82744,357.6295,359.9784,81.55962,357.6231,0.03394825
72.52836,357.6899,359.9713,81.81205,357.6843,0.0403757
84.57664,7.986611,358.8716,94.34062,7.982627,1.127191
84.59194,7.980262,358.8723,94.35579,7.976152,1.126498
39.04613,3.930853,353.6562,48.9852,4.900466,355.3022
39.92852,4.88274,353.5833,49.88178,5.851558,355.3965
40.42053,5.194453,353.5845,50.37963,6.15741,355.4508
40.48383,4.902189,353.7628,49.9614,5.78639,355.5569
41.00502,5.31471,353.8571,50.49102,6.177772,355.7185
40.14517,3.828646,354.4052,49.75975,4.631019,355.9159
40.56645,4.152706,354.4117,50.18566,4.949461,355.9766
40.21814,3.8293,354.4137,49.80349,4.625371,355.8986
40.15483,3.373732,354.3386,49.24225,4.14214,355.6926
40.67886,3.835007,354.2132,49.77025,4.617388,355.6417
40.39048,4.276559,354.1708,49.68225,5.074833,355.6566
40.79385,4.667387,354.2198,50.09204,5.452631,355.7684
40.87369,3.605476,354.4001,50.32812,4.402283,355.6998
41.36726,4.006993,354.3597,50.82647,4.804962,355.7262
42.07658,4.412658,354.4561,51.31812,5.170817,355.861
41.3748,3.678249,354.5631,51.24913,4.490001,355.8491
41.14813,2.597008,354.6225,50.51868,3.38167,355.6375
