L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
95.90897,358.2679,359.8854,105.3093,358.2766,0.1026506
95.88189,359.1361,359.7942,105.7399,359.1496,0.1943489
95.88189,359.1361,359.7942,105.7399,359.1496,0.1943489
95.88142,358.8558,359.8237,105.7404,358.8673,0.1647023
95.8814,358.8558,359.8237,105.7404,358.8673,0.1647025
96.1156,358.855,359.8235,105.7516,358.8678,0.164753
96.11378,358.8473,359.8243,105.9941,358.8591,0.1638347
96.11665,358.8492,359.8241,105.997,358.8608,0.1640198
96.11274,358.8488,359.8242,106.005,358.8608,0.164019
95.92619,358.2751,359.8846,105.9965,358.2819,0.1032017
95.92619,358.2751,359.8846,105.9965,358.2819,0.1032017
95.84435,359.1402,359.7939,104.7372,359.1589,0.1953235
94.59581,357.6704,359.9496,103.7339,357.674,0.03929988
94.5958,357.6704,359.9496,103.7339,357.674,0.0393033
94.58952,357.6703,359.9496,103.7338,357.6739,0.03929017
94.58952,357.6703,359.9496,103.7338,357.6739,0.03929017
95.0478,357.6699,359.9492,105.0776,357.6726,0.03915381
95.0478,357.6699,359.9492,105.0776,357.6726,0.0391522
95.21571,358.2642,359.8865,105.0762,358.2711,0.1020705
95.46072,358.5582,359.8554,105.0783,358.5681,0.1332745
95.46073,358.5582,359.8554,105.0783,358.5681,0.1332745
95.21661,358.5589,359.8556,105.0593,358.5678,0.1332401
95.21661,358.5589,359.8556,105.0593,358.5678,0.1332401
95.2252,358.5486,359.8566,104.8469,358.5583,0.1322447
95.2252,358.5486,359.8566,104.8469,358.5583,0.1322447
95.2252,358.5486,359.8566,104.8469,358.5583,0.1322447
95.226,358.5528,359.8562,104.843,358.5625,0.1326852
95.226,358.5528,359.8562,104.843,358.5625,0.1326855
95.22585,358.5528,359.8562,104.8066,358.5627,0.1326981
95.40778,358.5439,359.8569,104.8086,358.5546,0.1318475
95.40777,358.5439,359.8569,104.8086,358.5546,0.1318481
96.33717,358.5431,359.856,105.9997,358.5536,0.1317448
96.33717,358.5431,359.856,105.9998,358.5536,0.1317445
96.3675,358.8564,359.8231,106.4376,358.8673,0.1646991
96.3675,358.8564,359.8231,106.4376,358.8673,0.164699
96.7411,359.1476,359.7921,106.6256,359.162,0.1956546
96.75922,359.7239,359.7316,106.6644,359.7426,0.2566052
96.75922,359.7239,359.7316,106.6644,359.7426,0.2566052
96.74551,359.7241,359.7316,106.6305,359.7429,0.256634
96.32156,359.7242,359.732,106.1626,359.7427,0.2566215
96.32156,359.7242,359.732,106.1626,359.7427,0.2566215
96.26781,0.2909432,359.6726,106.1512,0.3131516,0.316508
96.2678,0.2909364,359.6726,106.1512,0.3131517,0.3165072
96.06567,0.2927924,359.6726,106.1498,0.3127129,0.316462
95.64954,0.2629656,359.6762,105.9584,0.2799239,0.3130199
95.64949,0.2629622,359.6762,105.9584,0.2799105,0.3130171
94.23495,0.2680957,359.6771,104.0724,0.2866069,0.3137222
94.23495,0.2680957,359.6771,104.0724,0.2866069,0.3137222
94.21941,0.2632743,359.6776,104.0586,0.2816939,0.3132062
94.29706,359.6958,359.7372,104.1125,359.7108,0.2532668
94.30514,359.6996,359.7367,104.1206,359.715,0.2537068
94.29272,359.6978,359.7369,104.1175,359.713,0.2535042
94.29271,359.6978,359.7369,104.1175,359.713,0.2535042
94.52439,359.6969,359.7368,104.3453,359.7125,0.2534495
94.52092,359.416,359.7663,104.5751,359.4285,0.223633
94.52634,359.4098,359.7669,104.5806,359.4223,0.2229822
95.0105,358.5508,359.8566,104.6196,358.5604,0.1324596
95.0105,358.5508,359.8566,104.6196,358.5604,0.1324596
95.22549,358.2576,359.8872,105.0686,358.2645,0.1013715
95.22546,358.2576,359.8872,105.0686,358.2645,0.1013707
95.48901,357.4088,359.9762,105.3343,357.41,0.01153121
95.94057,357.4088,359.9757,105.7967,357.41,0.0115341
95.94057,357.4088,359.9757,105.7967,357.41,0.0115341
96.57624,358.2883,359.8825,106.4505,358.2961,0.1046982
96.57624,358.2883,359.8825,106.4505,358.2961,0.104698
96.5775,358.5696,359.853,106.4492,358.5796,0.1344773
88.00246,0.4749354,359.6621,97.68555,0.4816979,0.334204
88.00246,0.4749355,359.6621,97.68558,0.4816978,0.3342044
87.54751,0.7474965,359.634,97.22607,0.7536724,0.3627603
87.54787,1.047582,359.6024,97.22656,1.054261,0.3943261
87.54787,1.047582,359.6024,97.22656,1.054261,0.3943261
87.54787,1.047583,359.6024,97.22656,1.054261,0.3943261
89.52052,2.23919,359.4751,98.81295,2.255916,0.5205947
89.52937,2.233446,359.4757,98.82176,2.250938,0.5200707
