L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
82.35916,2.128558,359.7592,91.75559,2.085598,0.7458021
82.35912,2.128559,359.7592,91.75559,2.085598,0.7458021
82.36047,2.738833,359.6952,91.76955,2.695627,0.8101531
82.35931,2.738845,359.6952,91.76955,2.695627,0.8101529
82.35932,2.738845,359.6952,91.76955,2.695627,0.8101531
82.35841,2.417868,359.7289,91.76669,2.374786,0.7763397
83.01809,2.414264,359.7346,92.90229,2.370634,0.7866095
83.01812,2.414268,359.7346,92.90229,2.370634,0.7866095
83.02176,1.582607,359.822,92.89336,1.538791,0.6990248
83.02174,1.582604,359.822,92.89336,1.538791,0.6990236
72.80842,350.3514,0.9276603,82.7379,350.3703,359.4196
72.80842,350.3514,0.927659,82.7379,350.3703,359.4196
59.50439,343.2931,1.974028,69.97452,343.3508,358.989
57.92405,342.5399,2.090513,68.22575,342.6065,358.9723
57.16898,342.1999,1.997618,67.48936,342.2879,358.8171
56.4774,343.1838,1.854144,66.72285,343.2598,358.91
55.54737,342.9274,1.941203,65.80722,342.9928,358.948
55.14041,342.6644,1.793938,65.66596,342.7284,358.7475
53.52933,342.7635,1.611807,64.06422,342.8451,358.6109
51.58902,342.0088,1.574923,62.16735,342.1096,358.4297
51.24027,342.6639,1.407998,62.03001,342.7566,358.4004
50.31016,342.2966,1.474205,61.12196,342.384,358.3932
50.22648,343.4755,1.254152,60.29402,343.5677,358.5479
49.36227,343.1449,1.276823,59.44721,343.2383,358.5098
47.68954,342.4885,1.427655,57.8108,342.5669,358.5378
48.06113,342.1688,1.370954,57.98671,342.2597,358.4552
47.24329,341.8607,1.475954,57.1867,341.939,358.5027
45.86557,341.565,1.518667,55.82642,341.6365,358.5032
47.93394,341.5143,1.131742,57.48796,341.6358,358.1924
48.30608,342.168,0.9325097,57.60104,342.2877,358.2048
47.79326,342.1277,0.8953779,57.09002,342.2539,358.1614
48.04409,341.8878,0.7049053,57.63264,342.0425,357.8844
47.63605,341.7683,0.7115033,57.23113,341.9237,357.87
48.70067,343.9987,0.1567059,58.23032,344.1773,357.8294
48.85594,343.8788,0.1190567,58.36837,344.0634,357.7761
48.56462,343.7819,0.1618628,58.08195,343.9611,357.8016
48.29103,343.5832,0.1163034,57.87861,343.7734,357.7113
48.0751,343.4546,0.1098548,57.66888,343.6477,357.6827
48.73067,343.2104,359.9137,57.86409,343.4212,357.5401
48.87368,343.1378,359.8636,58.23911,343.364,357.4338
48.66772,343.0339,359.9249,58.03868,343.2519,357.4766
48.54938,342.4218,0.001000377,57.95552,342.6418,357.4162
48.44589,342.3636,359.9806,57.85482,342.5876,357.3862
48.46662,342.0679,0.01418915,57.8924,342.2934,357.3531
48.46721,342.0623,0.07550183,57.89377,342.2783,357.4126
48.64057,342.0291,0.1031035,57.83857,342.2347,357.4809
48.65018,341.9912,0.08069569,58.32876,342.2141,357.3556
49.04552,342.8021,359.8775,58.43325,343.0297,357.3897
49.11401,342.7842,359.926,58.50302,343.0045,357.4344
49.24337,343.0136,359.9272,58.63834,343.2286,357.4864
49.33604,342.981,359.8947,58.73235,343.2015,357.4487
49.43784,342.9682,359.8799,58.60796,343.1835,357.4786
49.6661,342.9652,359.9128,58.83663,343.1755,357.5105
49.55891,342.9332,359.9557,58.95707,343.1451,357.5012
49.83949,342.2658,359.9836,59.27698,342.488,357.3828
50.02805,342.2304,359.9715,59.46723,342.4549,357.3648
60.72989,342.4247,357.8168,71.11282,343.0317,355.0928
61.0182,342.4107,357.8113,71.40181,343.019,355.0848
71.94937,343.3004,355.6026,82.47617,344.2808,353.0644
80.78898,344.4928,353.9562,91.59576,345.7876,351.6407
81.48537,344.4848,353.9329,92.29187,345.784,351.6163
86.4001,344.4572,353.471,97.72759,345.9206,351.0731
87.27106,344.4453,353.4816,98.59946,345.907,351.081
89.21185,344.4702,353.3157,100.5338,345.9627,350.9244
88.44649,344.2982,353.5605,99.06524,345.6317,351.2369
90.8328,344.3843,353.4736,101.445,345.7318,351.1683
90.558,344.3797,353.7794,101.1609,345.6746,351.4726
91.76974,344.3601,353.8277,102.3749,345.6468,351.5161
94.23073,345.1558,353.6802,104.76,346.4578,351.554
95.60188,345.1659,353.623,106.1291,346.4778,351.5
107.2617,346.3533,352.1307,118.767,348.0905,350.1306
111.2204,346.6945,351.7063,122.7149,348.5078,349.7867
114.0419,346.6905,351.5292,125.5301,348.5382,349.6136
115.3097,347.9594,351.3604,126.7421,349.8223,349.7208
116.7842,347.9493,351.3396,128.2162,349.8165,349.6985
119.4123,349.1331,351.1575,130.7958,351.0199,349.7734
121.4699,347.9901,349.9596,132.8444,350.131,348.3781
124.3987,347.7461,349.4321,135.7593,349.9935,347.8159
125.7845,347.7352,349.3634,137.1425,349.9961,347.7469
127.6093,348.2111,349.2908,138.9414,350.4803,347.7803
128.9465,348.146,349.1735,140.2757,350.4391,347.6532
127.4514,348.0982,349.5951,138.7812,350.3107,348.0605
129.901,348.0739,349.4298,141.2246,350.3186,347.8948
127.9156,348.1722,349.8736,138.5305,350.2025,348.4788
127.9449,347.9493,349.9931,139.1212,350.0599,348.4544
129.0156,347.9337,349.9141,140.1892,350.0596,348.3744
130.0213,347.8833,349.8975,141.196,350.0133,348.3483
128.1935,348.3138,350.5828,138.977,350.2416,349.1937
129.6203,348.299,350.4396,140.3689,350.2482,349.0571
130.2346,348.3048,350.3668,140.9803,350.2672,348.9871
130.0994,346.7786,350.648,140.7079,348.6707,348.9787
131.1445,345.9131,350.7134,141.7717,347.799,348.8607
131.5244,345.9001,350.6747,142.1507,347.7932,348.8204
131.0109,345.7665,350.8213,141.622,347.6303,348.9423
131.2812,345.7971,350.8203,141.8911,347.6605,348.9471
131.2992,346.3275,350.8659,141.8891,348.1772,349.106
131.4201,346.3611,350.8512,141.7851,348.1733,349.1432
131.5124,346.4262,350.8436,141.8747,348.2386,349.1478
131.401,346.6112,350.9562,141.53,348.3604,349.3375
131.4117,346.7544,351.0257,141.5378,348.4895,349.4312
130.4337,347.2727,351.3457,140.7622,348.9811,349.8053
130.0617,347.4198,351.4937,140.3736,349.0964,349.9789
130.0142,347.9662,351.724,140.315,349.5937,350.3037
130.3147,348.6514,351.7695,140.6103,350.2648,350.4794
130.8082,351.7814,351.7862,141.0513,353.364,351.1256
130.8879,352.1803,351.9912,141.1291,353.7204,351.3982
130.2687,4.61526,350.816,141.1858,6.300318,352.7097
130.6346,5.425406,351.212,141.5801,7.020947,353.2544
130.9403,12.7068,350.285,142.1404,14.37911,353.8969
131.0502,13.98166,350.5192,142.4156,15.58458,354.3839
131.3215,14.42049,350.7193,142.7159,15.97651,354.6716
131.6095,14.91424,350.9633,143.0378,16.41378,355.0143
132.4453,15.52368,351.6596,143.8403,16.87971,355.826
132.5842,15.05157,352.1773,144.0012,16.31076,356.2135
132.8898,13.94524,353.1544,144.3156,15.02543,356.899
133.071,14.63779,353.486,144.539,15.64042,357.3681
132.0223,15.41586,354.3052,143.5799,16.23357,358.3232
132.1796,16.10701,354.5815,143.7807,16.85729,358.7397
130.9253,16.19062,355.2697,142.1496,16.81412,359.4119
131.0291,16.78189,355.522,142.2902,17.34669,359.78
130.3545,16.48003,355.8197,141.9067,16.9696,-0.004333764
130.5003,15.63617,356.3,141.4641,16.07253,0.2399988
130.5815,16.06068,356.4238,141.5692,16.46659,0.4459256
130.1261,16.21121,356.67,140.8935,16.57512,0.6925937
130.1958,16.39408,356.7455,140.9735,16.74125,0.8025013
130.1314,15.82313,356.9025,141.0661,16.13647,0.8314254
130.1774,15.65022,356.9767,141.089,15.95265,0.8616444
130.1935,15.78069,357.0434,141.1122,16.06859,0.953005
130.2005,16.08,357.0371,141.1495,16.36399,1.014604
130.2154,16.06301,357.0606,141.1635,16.34313,1.034329
130.8897,17.74572,356.9141,141.9778,18.03174,1.277279
131.2015,17.87259,356.9219,142.2554,18.16094,1.311888
131.0567,17.89735,356.9084,142.1121,18.18775,1.303514
130.8652,17.51352,356.755,141.745,17.84845,1.071215
130.9405,17.35592,356.8012,141.9663,17.6757,1.089616
130.8601,17.39511,356.7983,141.8883,17.71469,1.094641
130.7608,17.43352,356.7601,141.7913,17.75936,1.064803
130.5048,17.35834,356.6924,141.7649,17.68143,0.9926173
130.6535,17.34576,356.7112,141.7151,17.67978,0.9971488
130.2608,17.3617,356.6768,141.5093,17.6883,0.9766617
130.1177,17.37883,356.6129,141.3673,17.71696,0.9174597
117.9231,16.24932,355.8864,128.0115,16.65926,359.8744
117.6737,16.15082,355.8672,127.757,16.56525,359.8366
111.0543,15.89329,355.5348,121.1837,16.30301,359.4541
110.2988,15.83958,355.4669,120.4252,16.2615,359.3767
109.9153,15.07554,355.545,119.9915,15.49903,359.2813
108.9177,15.14971,355.4594,119.0205,15.58765,359.2127
108.3329,15.19315,355.4061,118.4377,15.63931,359.1681
107.9574,15.36735,355.3423,117.8485,15.81913,359.1255
107.2633,15.46976,355.2948,117.1592,15.9279,359.0969
107.1734,15.59503,355.2892,117.3167,16.07092,359.1303
105.5817,15.55736,355.2959,115.7178,16.03325,359.1207
104.6716,15.65617,355.2819,114.8126,16.13289,359.125
98.7745,15.19853,355.0187,108.7846,15.68403,358.7467
97.68265,15.31607,354.9825,107.6984,15.80585,358.7322
85.76273,10.85713,354.9078,96.15739,11.43625,357.718
84.58053,10.28741,354.9149,94.95431,10.88163,357.5986
81.99946,10.44628,354.5689,92.37598,11.09918,357.2867
83.99223,9.938752,354.7011,93.51841,10.52259,357.2372
84.17272,9.633304,354.765,93.5405,10.2257,357.2112
82.71616,9.672997,354.6172,92.0839,10.28855,357.0717
81.20819,9.703077,354.435,90.57519,10.34747,356.8965
81.99307,10.06403,354.4639,91.46638,10.73273,356.9989
81.83958,10.00136,354.6017,91.34275,10.66106,357.1184
78.8893,10.10678,354.6159,88.39594,10.76275,357.1501
77.51584,9.680676,354.6334,87.00136,10.34174,357.0747
76.08738,9.683753,354.6335,85.57298,10.34479,357.0753
65.0611,6.919875,354.387,74.92178,7.677029,356.3028
55.65553,1.66324,354.4324,66.13907,2.595001,355.3229
54.37468,1.641153,354.4273,64.85794,2.574211,355.3139
53.1231,1.621154,354.4515,63.60653,2.550135,355.3341
54.82627,2.253935,354.6425,64.96559,3.107554,355.6214
53.83117,2.215467,354.5592,63.96896,3.084353,355.5326
53.65036,2.411171,354.6485,63.14855,3.20903,355.6028
52.80766,2.463329,354.7148,62.30717,3.249543,355.6768
52.90234,2.140817,354.9573,62.1985,2.883129,355.8269
54.16779,2.264631,355.0868,63.977,3.023191,356.0219
53.66992,2.259829,355.0587,63.47876,3.023232,355.9934
54.20168,2.763904,355.163,63.13957,3.437265,356.1161
53.89658,2.788781,355.1839,62.83494,3.45859,356.1407
53.60601,3.33545,355.1418,62.55072,3.998857,356.213
53.32558,3.351439,355.1932,62.27101,4.00669,356.2663
51.37692,2.667688,355.2548,60.77326,3.358812,356.2303
50.99273,2.302734,355.26,60.73926,3.02629,356.192
50.9391,2.290908,355.2567,60.51413,3.00316,356.1712
50.93914,2.290906,355.2567,60.51413,3.00316,356.1712
50.93912,2.290908,355.2567,60.51413,3.00316,356.1712
51.08478,1.792455,355.893,60.66344,2.412075,356.6928
51.34776,1.253259,356.0686,60.90405,1.855879,356.7517
51.34697,1.247147,356.1708,60.90424,1.8331,356.8514
51.36582,1.230123,356.3006,60.91057,1.7941,356.9754
51.37912,1.22132,356.3387,60.92421,1.77909,357.0115
51.27369,2.125011,356.3083,60.67953,2.658719,357.1537
51.02592,2.109285,356.2892,60.3532,2.642114,357.1253
50.9469,1.692938,356.4941,60.27309,2.198072,357.26
50.77186,1.00515,356.5855,59.86958,1.50062,357.1954
50.45723,359.5314,356.803,59.80724,0.03715474,357.1392
50.41867,359.2489,356.8463,59.76913,359.7513,357.136
50.41703,358.8915,356.8812,59.76822,359.393,357.1123
50.50343,357.9441,357.1203,59.85819,358.4194,357.194
55.25837,344.4846,358.7822,64.30973,344.9825,355.9515
55.32524,343.1244,359.0971,64.44088,343.5917,356.0387
55.42797,342.3262,359.1589,64.58265,342.7942,355.9672
55.13492,342.3792,359.2319,64.74496,342.826,356.1352
55.17895,341.6018,359.4234,64.83251,342.0292,356.1871
55.16212,341.0106,359.6063,64.85051,341.4084,356.3068
56.09803,344.6068,359.116,65.14221,344.9712,356.7074
56.03882,343.94,359.0986,65.11166,344.3141,356.5828
55.75358,342.7375,359.1688,64.87856,343.1165,356.4573
55.52731,342.2022,359.2019,64.67892,342.5829,356.401
49.71295,341.1544,0.005354169,59.53336,341.4709,356.9233
49.34983,340.7475,0.07990837,59.19459,341.0579,356.9233
48.12387,339.9069,0.2356973,57.52276,340.203,357.0098
47.80076,339.8315,0.2007378,57.19895,340.1293,356.9794
48.04154,340.1785,359.9658,57.68456,340.4954,356.804
47.81702,340.0272,0.01143325,57.46963,340.339,356.822
47.64109,339.8573,0.006975053,57.30385,340.1722,356.7873
48.11862,339.8116,359.9064,58.02344,340.1409,356.6483
48.52806,340.2248,359.7997,57.96835,340.5447,356.7317
48.57053,340.0553,359.8793,58.0215,340.3652,356.7806
48.70018,341.1343,359.7818,58.56286,341.4435,356.8369
48.97779,341.0131,359.8258,58.84793,341.3169,356.8584
49.15231,340.9644,359.8516,59.02557,341.2647,356.8749
49.34888,340.9598,359.8619,59.22253,341.2585,356.8842
50.9479,341.0325,359.6295,60.11305,341.3401,356.8122
53.5924,341.4415,359.1078,63.29107,341.8337,356.2759
63.5167,341.7893,357.1812,73.88261,342.5161,354.3169
63.86487,341.8026,357.2067,74.23042,342.5248,354.3443
74.22441,339.8156,355.6519,85.12832,340.8593,352.2749
74.73081,339.814,355.5932,85.63335,340.8681,352.2173
85.27718,340.1844,353.9453,95.36404,341.342,350.7769
89.95068,341.1902,353.3303,100.9955,342.6253,350.2509
90.85788,341.1293,353.4406,101.9099,342.5456,350.346
92.95163,341.067,353.5662,104.0033,342.4601,350.4572
94.14977,341.0587,353.6008,105.2031,342.4458,350.4892
95.14394,340.9973,353.9884,106.6379,342.4041,350.7985
96.7217,340.996,353.9915,108.2159,342.4021,350.8013
100.2204,340.9111,353.9948,111.2782,342.2345,350.8488
102.0443,343.0113,353.9413,112.7242,344.2769,351.3004
103.9233,342.9754,353.9913,114.6064,344.2327,351.3423
118.5529,345.7605,352.4112,130.103,347.448,350.267
120.5145,345.6693,352.4113,132.0687,347.3586,350.2484
123.9077,345.9955,352.1305,135.4481,347.7338,350.0441
125.7507,346.724,352.0335,137.2562,348.4713,350.1075
129.4963,346.5033,352.0185,141.0103,348.2579,350.0479
129.8645,347.1115,352.0877,141.3461,348.8458,350.2502
133.3249,347.0302,351.8737,144.8021,348.8076,350.0254
131.3178,346.4562,352.5389,142.817,348.115,350.5566
132.8317,346.3719,352.6225,144.3372,348.0163,350.6208
132.0828,346.1913,353.1439,143.1003,347.6635,351.1751
129.3029,347.2191,353.7033,139.7777,348.5126,352.0398
129.6897,346.6688,354.2581,140.3649,347.8934,352.4483
129.6897,346.6688,354.2581,140.365,347.8934,352.4483
129.2843,346.3335,354.5756,139.7091,347.4734,352.7441
129.8283,346.3297,354.5245,140.2521,347.4785,352.6933
130.8392,345.4746,354.4979,141.3043,346.637,352.4791
131.4099,345.4176,354.3829,141.8745,346.6012,352.356
131.614,345.4084,354.3167,142.0775,346.6037,352.2896
131.2648,345.3674,354.3718,141.7114,346.5511,352.3385
131.3686,345.4347,354.3251,141.8111,346.6255,352.3054
130.7698,345.5177,354.5317,141.2081,346.6703,352.5234
130.6973,345.6059,354.4334,141.1294,346.7743,352.4436
130.6586,345.6498,354.302,140.8699,346.8124,352.3629
130.5653,345.5033,354.227,140.7655,346.6771,352.2554
130.4614,345.5692,354.2523,140.6595,346.7373,352.2922
130.7978,345.6624,354.193,140.7693,346.81,352.2914
