Yaw,Pitch,Roll
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1499,1.882531,273.7212
355.1098,2.108512,273.9004
355.0794,2.180377,274.0545
355.0935,2.220096,273.9405
355.1028,2.2789,273.8528
355.0495,2.300395,273.8792
355.0728,2.35694,273.8466
355.0638,2.345869,273.8526
355.0281,2.346323,273.8725
355.026,2.349557,273.9051
355.0512,2.323781,273.857
355.0479,2.322063,273.8338
355.0376,2.327502,273.8034
355.0479,2.317125,273.8113
355.0553,2.312477,273.8152
355.0646,2.316557,273.8165
355.071,2.315706,273.8242
355.071,2.315706,273.8242
355.071,2.315706,273.8242
355.071,2.315706,273.8242
355.071,2.315706,273.8242
355.0808,2.307563,273.8502
355.074,2.268442,273.8291
355.0728,2.246355,273.8144
355.0656,2.236539,273.7958
355.0676,2.235702,273.7956
355.0711,2.229334,273.796
355.0711,2.229334,273.796
355.0711,2.229334,273.796
355.0711,2.229334,273.796
355.0711,2.229334,273.796
355.0711,2.229334,273.796
355.0711,2.229334,273.796
355.0711,2.229334,273.796
355.0711,2.229334,273.796
355.0711,2.229334,273.796
355.0711,2.229334,273.796
355.0711,2.229334,273.796
355.0711,2.229334,273.796
355.0711,2.229334,273.796
355.0711,2.229334,273.796
354.9511,2.240288,274.1374
354.8634,2.236811,274.1874
354.8081,2.223273,274.2244
354.6556,2.208445,274.2871
354.5757,2.190372,274.3254
354.4938,2.19047,274.3839
354.2959,2.180683,274.4977
354.1906,2.165398,274.5366
353.92,2.144885,274.6411
353.7606,2.127114,274.7054
353.4085,2.089923,274.7772
353.1967,2.071221,274.8607
352.7638,2.006103,275.0141
352.5048,1.980249,275.1246
352.2242,1.967708,275.2289
351.6125,1.924909,275.4552
351.3142,1.882262,275.5568
350.7135,1.776368,275.7646
350.3831,1.749326,275.8599
350.0449,1.723038,275.9643
349.4124,1.646058,276.127
349.1121,1.609661,276.2502
348.4993,1.55632,276.4822
348.1989,1.545694,276.5741
347.6172,1.545012,276.7739
347.3396,1.536727,276.8802
346.822,1.501872,277.1068
346.5654,1.499557,277.2106
346.0807,1.495346,277.3769
345.8514,1.489611,277.4773
345.6396,1.485611,277.6082
345.2359,1.49644,277.7879
345.0423,1.487884,277.86
344.692,1.44694,278.0398
344.5415,1.431272,278.1346
344.2401,1.400603,278.2864
344.1047,1.402136,278.3328
343.9735,1.408777,278.3815
343.9735,1.408777,278.3815
343.9735,1.408777,278.3815
343.9735,1.408777,278.3815
343.9735,1.408777,278.3815
343.9735,1.408777,278.3815
343.9735,1.408777,278.3815
343.9735,1.408777,278.3815
342.7686,1.479422,279.2061
342.686,1.468326,279.3037
342.6273,1.455383,279.3618
342.6273,1.455383,279.3618
342.6273,1.455383,279.3618
342.6273,1.455383,279.3618
342.6273,1.455383,279.3618
342.6273,1.455383,279.3618
342.499,1.453018,279.8604
342.4895,1.497443,279.9582
342.51,1.485571,280.0103
342.5219,1.467518,280.0259
342.5481,1.463789,280.0363
342.5582,1.467981,280.0389
342.5675,1.468231,280.0577
342.5675,1.468231,280.0577
