Yaw,Pitch,Roll
357.452,1.269696,275.1309
357.452,1.269696,275.1309
357.452,1.269696,275.1309
357.452,1.269696,275.1309
357.452,1.269696,275.1309
357.452,1.269696,275.1309
357.452,1.269696,275.1309
357.452,1.269696,275.1309
357.452,1.269696,275.1309
354.8751,1.094928,276.5462
354.3114,1.104836,276.7619
353.2329,1.00658,277.3808
352.6121,0.9200917,277.9102
351.1388,0.7138074,279.2973
350.2531,0.5662644,279.8667
348.287,0.2318544,280.7808
347.2528,0.02482432,281.153
346.2338,359.7713,281.5456
345.2283,359.5089,281.9083
343.1793,359.2118,282.6444
341.1873,358.9273,283.4064
340.2574,358.7464,283.8198
338.5971,358.5133,284.6246
337.8711,358.4475,285.0339
337.2241,358.4076,285.4564
336.0707,358.3905,286.2297
335.5401,358.3946,286.5462
334.555,358.2838,287.1138
334.1711,358.2345,287.3455
333.5348,358.2534,287.7336
333.2804,358.2684,287.8707
332.8676,358.2198,288.0727
332.7077,358.1906,288.1615
332.6043,358.1894,288.2299
332.4779,358.262,288.3293
332.4393,358.2607,288.3744
332.5001,358.2382,288.5076
332.5766,358.2838,288.5762
332.7809,358.3755,288.657
332.9109,358.3661,288.6986
333.0963,358.3364,288.7482
333.6328,358.4158,288.8237
333.8872,358.5018,288.8457
334.4338,358.4718,288.8528
334.8173,358.4352,288.8632
335.8473,358.5258,288.8904
337.2537,358.5333,288.9092
338.1187,358.4678,288.8901
339.136,358.4185,288.8654
341.4682,358.5104,288.8648
342.7428,358.6103,288.9114
345.5414,358.6808,289.0559
347.0746,358.71,289.1418
348.6388,358.7641,289.2333
351.8857,358.8365,289.4351
353.5252,358.8091,289.5587
356.8985,358.7196,289.7816
0.1648359,358.7782,289.989
1.710997,358.7534,290.1166
4.677707,358.5831,290.3281
6.080216,358.4973,290.4449
7.440256,358.4094,290.5556
8.753279,358.3481,290.6445
12.36298,358.2598,290.8298
13.50796,358.1896,290.8932
14.60948,358.1703,290.988
16.57875,358.0901,291.1535
17.54251,357.9916,291.2066
19.21338,357.9363,291.2886
19.94342,357.9758,291.3609
21.20926,357.9375,291.5037
21.74633,357.8992,291.5606
22.17842,357.8672,291.6002
22.84039,357.8025,291.6652
23.09348,357.7774,291.6881
23.45066,357.7312,291.6783
23.56455,357.6942,291.6721
23.73586,357.6888,291.6477
23.77436,357.684,291.6003
23.80212,357.619,291.4217
23.81293,357.5915,291.3187
23.8443,357.5486,291.1453
23.96032,357.478,290.7203
24.02435,357.4571,290.4556
24.18727,357.3996,289.7601
24.33014,357.4127,289.3375
24.65479,357.516,288.2909
24.82035,357.5624,287.6384
24.97889,357.6026,286.9281
25.33065,357.6594,285.3867
25.49653,357.7711,284.558
25.82166,358.0214,282.8592
25.94868,358.1237,281.9713
26.09027,358.2156,281.0438
26.34212,358.4404,279.1465
26.39471,358.5898,278.3203
26.38556,358.7183,277.084
26.34852,358.6609,276.6422
26.25277,358.5958,275.9857
26.19101,358.6257,275.6911
26.1318,358.6733,275.4172
26.0392,358.7805,274.9139
25.99994,358.8721,274.6564
25.88204,359.0688,274.1804
25.8459,359.0824,273.9924
25.81291,359.0775,273.6829
25.74352,359.1571,273.5296
25.63634,359.2201,273.3653
25.42174,359.1981,272.9926
25.36434,359.1561,272.8042
25.21196,359.182,272.5529
25.05853,359.2026,272.4557
24.67295,359.1142,272.2802
24.44263,359.0738,272.209
24.44263,359.0738,272.209
24.44263,359.0738,272.209
24.44263,359.0738,272.209
24.44263,359.0738,272.209
21.39944,359.0026,272.0108
19.8574,359.0475,271.8682
18.93508,359.0362,271.8178
16.99904,358.8283,271.6884
16.04917,358.7441,272.1864
13.8722,358.743,272.0254
12.64684,358.6554,271.9012
11.41693,358.5228,271.7703
8.902134,358.2981,271.4172
7.527101,358.2917,271.2156
4.51431,358.1802,270.9346
2.971898,358.0381,270.8137
359.7665,357.77,270.5677
358.0881,357.7675,270.4037
356.391,357.7451,270.2378
352.9906,357.6045,269.9021
351.3181,357.5368,269.705
348.0881,357.3851,269.2958
346.5838,357.2584,269.1154
343.8281,357.0525,268.8581
342.5269,356.9886,268.7658
340.2037,356.8209,268.6373
339.207,356.6984,268.6353
338.289,356.6459,268.6385
336.6428,356.6809,268.6513
335.9611,356.6906,268.6705
334.8251,356.7448,268.6996
334.307,356.7997,268.7051
333.4778,356.824,268.7336
333.1832,356.8147,268.7219
332.8991,356.8554,268.6842
332.394,357.0021,268.582
332.2075,357.0175,268.5274
331.9251,357.0371,268.4498
331.7881,357.126,268.4167
331.5499,357.3132,268.36
331.4874,357.3564,268.3231
331.4343,357.3844,268.2949
331.2969,357.4984,268.282
331.2094,357.5583,268.3074
331.0644,357.6192,268.3772
330.9875,357.6433,268.4272
330.7743,357.7616,268.5326
330.7194,357.7391,268.6833
330.684,357.7339,268.7988
330.6319,357.7408,269.1085
330.5252,357.7827,269.3366
330.4302,357.7503,269.7064
330.2623,357.6551,270.7095
330.2137,357.6316,271.287
330.1433,357.6516,272.67
330.0853,357.6633,273.4441
330.0046,357.597,275.0112
329.9541,357.5553,275.8148
329.8438,357.5987,276.6685
329.5041,357.5311,279.2982
329.396,357.4514,280.2023
329.2088,357.3587,281.8927
329.1194,357.3234,282.6739
329.0101,357.2455,283.437
328.7769,357.071,284.8993
328.6686,357.0417,285.5256
328.5086,357.0907,286.47
328.4783,357.0589,286.5142
328.4228,357.1003,287.1121
328.4494,357.112,287.3525
328.4981,357.1375,287.5451
328.6513,357.2202,287.7622
328.7356,357.2625,287.811
328.8455,357.2971,287.8502
329.1079,357.3585,287.8912
