P,S,Q1,Q2,Q3,Q4,Q5,Q6,Q7
1,1,4,3,4,5,3,3,4
1,2,4,2,3,6,5,3,4
1,3,3,2,4,4,3,2,4
1,4,4,2,4,4,2,3,4
2,4,5,3,2,5,3,2,6
2,3,6,4,6,6,5,4,6
2,2,5,5,5,5,5,5,4
2,1,4,6,4,6,5,6,4
3,1,6,7,6,7,7,7,4
3,2,5,6,5,6,6,6,5
3,3,5,5,5,5,3,3,4
3,4,6,3,6,6,4,6,7
4,4,7,2,7,7,6,2,7
4,3,7,4,7,7,6,4,7
4,2,6,5,6,7,6,6,6
4,1,5,6,7,7,6,6,7
5,1,6,6,7,7,7,6,6
5,2,6,5,6,6,5,6,7
5,3,6,4,6,5,5,4,6
5,4,3,1,4,2,3,2,5
6,4,3,3,6,3,3,4,3
6,3,4,5,6,4,5,6,7
6,2,5,5,7,7,7,7,7
6,1,6,6,6,7,7,7,5
7,1,5,6,6,6,7,7,5
7,2,5,6,6,7,7,7,7
7,3,6,3,6,6,5,3,6
7,4,6,1,5,6,2,1,6
8,4,4,2,3,3,2,1,2
8,3,5,4,6,5,6,5,6
8,2,7,7,6,7,7,7,7
8,1,5,4,5,5,5,6,5
9,1,7,7,5,5,6,7,5
9,2,6,5,7,7,6,5,7
9,3,5,4,6,6,4,4,6
9,4,6,2,5,6,3,2,7
10,4,6,6,5,7,6,4,5
10,3,6,6,6,7,6,6,5
10,2,7,7,6,7,7,7,6
10,1,6,7,5,7,6,5,5
11,1,7,7,6,7,6,6,6
11,2,7,6,7,7,6,6,7
11,3,6,4,6,7,6,4,7
11,4,6,3,6,6,4,3,7
12,4,2,2,7,3,3,6,6
12,3,4,4,7,6,6,6,7
12,2,7,7,6,7,5,7,5
12,1,4,7,4,3,3,7,3
13,1,6,7,7,7,7,6,6
13,2,6,5,6,6,5,4,6
13,3,6,3,7,6,7,2,7
13,4,6,1,6,6,5,1,7
15,1,5,7,6,7,6,5,5
15,2,6,7,7,7,6,6,7
15,3,6,7,5,7,6,5,4
15,4,6,7,6,7,6,5,6
16,1,7,5,3,4,4,7,3
16,2,7,6,7,7,6,6,7
16,3,7,4,6,6,6,5,7
16,4,7,2,4,5,4,3,7
14,1,7,7,5,5,3,7,1
14,2,5,6,6,6,7,6,6
14,3,6,5,7,6,6,5,6
14,4,5,2,6,5,7,1,7
