Q1_A1_open,Q2_A1,Q3_A1,Q4_A1,Q5_A1,Q6_A1,Q7_A1,Q8_A1
P1-S2,4,5,4,3,5,5,4
P1-S3,4,6,5,2,3,5,4
P1-S4,5,6,4,4,5,6,4
P1-S5,4,6,4,4,6,5,4
P2-S5,3,5,6,3,5,6,2
P2-S4,2,4,2,2,3,4,2
P2-S3,3,3,3,3,3,3,4
P2-S2,4,2,4,2,3,2,4
P3-S2,2,1,2,1,1,1,4
P3-S3,3,2,3,2,2,2,3
P3-S4,3,3,3,3,5,5,4
P3-S5,2,5,2,2,4,2,1
P4-S5,1,6,1,1,2,6,1
P4-S4,1,4,1,1,2,4,1
P4-S3,2,3,2,1,2,2,2
P4-S2,3,2,1,1,2,2,1
P5-S2,2,2,1,1,1,2,2
P5-S3,2,3,2,2,3,2,1
P5-S4,2,4,2,3,3,4,2
P5-S5,5,7,4,6,5,6,3
P6-S5,5,5,2,5,5,4,5
P6-S4,4,3,2,4,3,2,1
P6-S3,3,3,1,1,1,1,1
P6-S2,2,2,2,1,1,1,3
P7-S2,3,2,2,2,1,1,3
P7-S3,3,2,2,1,1,1,1
P7-S4,2,5,2,2,3,5,2
P7-S5,2,7,3,2,6,7,2
P8-S5,4,6,5,5,6,7,6
P8-S4,3,4,2,3,2,3,2
P8-S3,1,1,2,1,1,1,1
P8-S2,3,4,3,3,3,2,3
P9-S2,1,1,3,3,2,1,3
P9-S3,2,3,1,1,2,3,1
P9-S4,3,4,2,2,4,4,2
P9-S5,2,6,3,2,5,6,1
P10-S5,2,2,3,1,2,4,3
P10-S4,2,2,2,1,2,2,3
P10-S3,1,1,2,1,1,1,2
P10-S2,2,1,3,1,2,3,3
P11-S2,1,1,2,1,2,2,2
P11-S3,1,2,1,1,2,2,1
P11-S4,2,4,2,1,2,4,1
P11-S5,2,5,2,2,4,5,1
P12-S5,6,6,1,5,5,2,2
P12-S4,4,4,1,2,2,2,1
P12-S3,1,1,2,1,3,1,3
P12-S2,4,1,4,5,5,1,5
P13-S2,2,1,1,1,1,2,2
P13-S3,2,3,2,2,3,4,2
P13-S4,2,5,1,2,1,6,1
P13-S5,2,7,2,2,3,7,1
P15-S2,3,1,2,1,2,3,3
P15-S3,2,1,1,1,2,2,1
P15-S4,2,1,3,1,2,3,4
P15-S5,2,1,2,1,2,3,2
P16-S2,1,3,5,4,4,1,5
P16-S3,1,2,1,1,2,2,1
P16-S4,1,4,2,2,2,3,1
P16-S5,1,6,4,3,4,5,1
P14-S2,1,1,3,3,5,1,7
P14-S3,3,2,2,2,1,2,2
P14-S4,2,3,1,2,2,3,2
P14-S5,3,6,2,3,1,7,1
