date: 0117, user: 3, size: 3, pin: 1, num: 1, input_pin: 0364852, original_input_pin: 0364852
date: 0117, user: 3, size: 3, pin: 1, num: 2, input_pin: 0364852, original_input_pin: 0364852
date: 0117, user: 3, size: 3, pin: 1, num: 3, input_pin: 0364852, original_input_pin: 0364852
date: 0117, user: 3, size: 3, pin: 1, num: 4, input_pin: 0364852, original_input_pin: 0364852
date: 0117, user: 3, size: 3, pin: 1, num: 5, input_pin: 0364852, original_input_pin: 0364852
date: 0117, user: 3, size: 3, pin: 1, num: 7, input_pin: 0364852, original_input_pin: 0364852
date: 0117, user: 3, size: 3, pin: 1, num: 8, input_pin: 0364852, original_input_pin: 0364852
date: 0117, user: 3, size: 3, pin: 1, num: 9, input_pin: 0364852, original_input_pin: 0364852
date: 0117, user: 3, size: 3, pin: 1, num: 10, input_pin: 0364852, original_input_pin: 0364852
date: 0117, user: 3, size: 3, pin: 2, num: 1, input_pin: 76784012, original_input_pin: 7684012
date: 0117, user: 3, size: 3, pin: 2, num: 2, input_pin: 76784012, original_input_pin: 7684012
date: 0117, user: 3, size: 3, pin: 2, num: 3, input_pin: 76784012, original_input_pin: 7684012
date: 0117, user: 3, size: 3, pin: 2, num: 4, input_pin: 76784012, original_input_pin: 7684012
date: 0117, user: 3, size: 3, pin: 2, num: 5, input_pin: 76784012, original_input_pin: 7684012
date: 0117, user: 3, size: 3, pin: 2, num: 6, input_pin: 76784012, original_input_pin: 7684012
date: 0117, user: 3, size: 3, pin: 2, num: 7, input_pin: 76784012, original_input_pin: 7684012
date: 0117, user: 3, size: 3, pin: 2, num: 8, input_pin: 76784012, original_input_pin: 7684012
date: 0117, user: 3, size: 3, pin: 2, num: 9, input_pin: 76784012, original_input_pin: 7684012
date: 0117, user: 3, size: 3, pin: 2, num: 10, input_pin: 76784012, original_input_pin: 7684012
date: 0117, user: 5, size: 3, pin: 1, num: 1, input_pin: 67841, original_input_pin: 67841
date: 0117, user: 5, size: 3, pin: 1, num: 2, input_pin: 67841, original_input_pin: 67841
date: 0117, user: 5, size: 3, pin: 1, num: 3, input_pin: 67841, original_input_pin: 67841
date: 0117, user: 5, size: 3, pin: 1, num: 4, input_pin: 67841, original_input_pin: 67841
date: 0117, user: 5, size: 3, pin: 1, num: 5, input_pin: 67841, original_input_pin: 67841
date: 0117, user: 5, size: 3, pin: 1, num: 6, input_pin: 67841, original_input_pin: 67841
date: 0117, user: 5, size: 3, pin: 1, num: 7, input_pin: 67841, original_input_pin: 67841
date: 0117, user: 5, size: 3, pin: 1, num: 8, input_pin: 67841, original_input_pin: 67841
date: 0117, user: 5, size: 3, pin: 1, num: 9, input_pin: 67841, original_input_pin: 67841
date: 0117, user: 5, size: 3, pin: 1, num: 10, input_pin: 67841, original_input_pin: 67841
date: 0117, user: 5, size: 3, pin: 2, num: 1, input_pin: 3751648520, original_input_pin: 375164820
date: 0117, user: 5, size: 3, pin: 2, num: 2, input_pin: 3751648520, original_input_pin: 375164820
date: 0117, user: 5, size: 3, pin: 2, num: 3, input_pin: 3751648520, original_input_pin: 375164820
date: 0117, user: 5, size: 3, pin: 2, num: 4, input_pin: 3751648520, original_input_pin: 375164820
date: 0117, user: 5, size: 3, pin: 2, num: 5, input_pin: 3751648520, original_input_pin: 375164820
date: 0117, user: 5, size: 3, pin: 2, num: 6, input_pin: 3751648520, original_input_pin: 375164820
date: 0117, user: 5, size: 3, pin: 2, num: 7, input_pin: 3751648520, original_input_pin: 375164820
date: 0117, user: 5, size: 3, pin: 2, num: 8, input_pin: 3751648520, original_input_pin: 375164820
date: 0117, user: 5, size: 3, pin: 2, num: 9, input_pin: 3751648520, original_input_pin: 375164820
date: 0117, user: 5, size: 3, pin: 2, num: 10, input_pin: 3751648520, original_input_pin: 375164820
date: 0117, user: 6, size: 3, pin: 1, num: 1, input_pin: 67851, original_input_pin: 67851
date: 0117, user: 6, size: 3, pin: 1, num: 2, input_pin: 678514, original_input_pin: 678514
date: 0117, user: 6, size: 3, pin: 1, num: 3, input_pin: 67851, original_input_pin: 67851
date: 0117, user: 6, size: 3, pin: 1, num: 4, input_pin: 678514, original_input_pin: 678514
