L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
95.50197,356.8174,0.03838233,104.633,356.8136,359.9488
95.46397,357.3897,359.9782,104.6299,357.3911,0.009543662
95.46397,357.3897,359.9782,104.6299,357.3911,0.009543662
95.56126,356.5331,0.06825777,104.6725,356.5267,359.9185
95.25364,356.5334,0.06855197,104.2093,356.527,359.9186
95.25364,356.5334,0.06855197,104.2093,356.527,359.9186
94.83277,356.5214,0.07026304,104.2077,356.516,359.9174
94.82872,355.9551,0.1299734,104.2118,355.9453,359.8572
94.8287,355.9551,0.129973,104.2118,355.9453,359.8572
95.50711,355.9557,0.1291853,104.6912,355.9444,359.8571
95.50711,355.9557,0.1291853,104.6913,355.9444,359.8571
95.51102,356.5141,0.07031725,104.6872,356.5077,359.9165
95.31476,356.5138,0.0705495,104.4624,356.5076,359.9165
95.31145,356.519,0.07000414,104.4591,356.513,359.9171
95.31476,356.5138,0.0705495,104.4624,356.5076,359.9165
95.31476,356.5138,0.0705495,104.4624,356.5076,359.9165
95.49476,357.1093,0.007653146,104.8763,357.1083,359.9798
95.4954,357.3898,359.9781,104.8757,357.3911,0.009539386
95.49536,357.3898,359.9781,104.8756,357.3911,0.009541419
95.25736,357.1093,0.00790597,104.184,357.1082,359.9798
95.25735,357.1093,0.007907467,104.184,357.1082,359.9798
95.25809,357.3896,359.9784,104.1832,357.3911,0.009542165
95.51934,356.2435,0.09882001,104.6817,356.2347,359.8878
95.69387,356.2559,0.09733245,104.8746,356.247,359.8891
95.69388,356.2559,0.09733287,104.8746,356.247,359.8891
95.51948,356.2557,0.09753843,104.6815,356.247,359.889
95.51952,356.2557,0.09753735,104.6815,356.247,359.8891
95.92843,357.3845,359.9782,105.1022,357.3857,0.008976315
95.92562,357.3881,359.9779,105.0993,357.3895,0.009369004
95.03316,357.3881,359.9788,104.1824,357.3894,0.009365585
94.8255,357.0945,0.009930841,103.9594,357.0934,359.9782
94.8255,357.0945,0.009930841,103.9594,357.0934,359.9782
94.8255,357.0945,0.009930841,103.9594,357.0934,359.9782
94.8231,356.8038,0.0405285,103.9618,356.8003,359.9474
95.26939,357.0945,0.009455745,104.8835,357.0935,359.9782
95.27229,357.0928,0.009633145,104.8864,357.0915,359.978
95.27304,354.8115,0.2503194,104.8995,354.7934,359.7355
94.95127,357.1072,0.008453419,103.8241,357.1061,359.9796
94.95125,357.1072,0.008453952,103.8241,357.1061,359.9796
94.93848,355.3671,0.1919248,103.8362,355.3503,359.7944
95.31721,355.3716,0.1910465,104.0164,355.3531,359.7947
95.31721,355.3716,0.1910478,104.0163,355.3531,359.7947
95.32479,355.3717,0.1910351,104.0219,355.3532,359.7947
95.32481,355.3717,0.191034,104.0219,355.3532,359.7947
95.32989,355.9334,0.1317232,104.0166,355.9205,359.8546
95.32989,355.9334,0.1317232,104.0167,355.9205,359.8546
94.41243,355.9324,0.1328077,103.5433,355.9221,359.8548
94.41242,355.9324,0.1328081,103.5433,355.9221,359.8548
94.41243,355.9324,0.1328077,103.5434,355.9221,359.8548
95.28245,355.9674,0.1281846,104.9063,355.958,359.8586
95.28245,355.9674,0.1281846,104.9063,355.958,359.8586
95.28689,356.5313,0.06874416,104.9018,356.526,359.9185
95.96285,356.5376,0.06735851,104.9048,356.5306,359.9189
95.96285,356.5376,0.06735851,104.9048,356.5306,359.9189
95.04357,357.1019,0.008920965,104.6444,357.101,359.979
95.04356,357.1019,0.00892043,104.6444,357.101,359.979
95.08819,356.5368,0.06836838,104.4253,356.5313,359.919
95.0882,356.5368,0.06836816,104.4253,356.5313,359.919
95.0817,355.659,0.1609496,104.2364,355.6456,359.8256
95.08169,355.659,0.16095,104.2364,355.6456,359.8256
