L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
90.52291,340.8101,1.802444,100.0829,340.7315,358.1804
90.75465,340.8141,1.801705,100.0868,340.7278,358.1799
90.52486,340.8065,1.802864,100.5687,340.737,358.181
90.52485,340.8065,1.802866,100.5687,340.737,358.181
90.52486,340.8065,1.802864,100.5687,340.737,358.181
86.2392,340.4669,1.847826,95.71931,340.4518,358.1473
85.7528,340.1797,1.882386,95.23679,340.1718,358.1141
85.75304,340.1766,1.882757,95.2372,340.1689,358.1138
85.51507,340.1737,1.883376,94.99354,340.1698,358.1139
85.51507,340.1737,1.883376,94.99354,340.1698,358.1139
85.50349,339.8902,1.917082,94.51834,339.8902,358.0807
85.50349,339.8902,1.917082,94.51834,339.8902,358.0807
85.50539,339.8875,1.917412,95.00253,339.8836,358.0799
85.02776,339.8821,1.918604,94.51699,339.886,358.0801
85.02776,339.8821,1.918604,94.51699,339.886,358.0801
85.50538,339.8875,1.917412,95.00342,339.8836,358.0799
85.50538,339.8875,1.917395,95.00341,339.8836,358.0799
84.79642,339.891,1.917814,94.51746,339.8962,358.0814
84.5524,339.8809,1.919289,93.78276,339.8957,358.0813
84.5524,339.8809,1.919289,93.78272,339.8957,358.0813
73.60972,328.9066,3.358219,84.39331,329.1633,356.6902
73.60973,328.9066,3.358216,84.3933,329.1633,356.6902
67.26891,325.691,3.844575,79.84769,325.9392,356.2136
67.27489,325.6932,3.844207,79.85333,325.9415,356.2139
66.86311,324.6303,4.010986,79.36356,324.9263,356.0563
67.10426,325.1404,3.930354,79.78691,325.3915,356.129
67.20496,325.1348,3.931112,80.10947,325.3545,356.1233
67.20499,325.1348,3.931113,80.10944,325.3545,356.1233
67.205,325.1348,3.931107,80.10946,325.3545,356.1233
67.86371,325.1927,3.92121,80.55328,325.4301,356.135
69.3643,325.9944,3.795237,81.71143,326.231,356.2581
69.35055,325.996,3.795008,81.69742,326.2322,356.2583
70.63023,326.6565,3.692954,82.40567,326.9215,356.3625
70.76376,327.1535,3.618232,82.46071,327.4138,356.4359
70.76376,327.1535,3.618229,82.46071,327.4138,356.4359
70.24436,327.556,3.559116,81.87769,327.825,356.4965
70.24436,327.556,3.559116,81.87767,327.825,356.4965
58.20471,332.1946,2.919797,71.02547,332.3204,357.1267
57.73047,333.4398,2.7546,70.41103,333.5616,357.2912
57.73048,333.4398,2.754598,70.41103,333.5616,357.2912
57.80337,333.9547,2.687057,70.42692,334.0737,357.3581
57.80335,333.9547,2.687064,70.4269,334.0737,357.3581
57.80336,333.9547,2.687059,70.42692,334.0737,357.3581
57.80339,333.9547,2.687052,70.42692,334.0737,357.3581
57.78305,333.9683,2.685308,70.40502,334.0869,357.3598
57.91842,333.9915,2.682134,70.53724,334.1099,357.3628
57.91842,333.9915,2.682134,70.53723,334.1099,357.3628
