Yaw,Pitch,Roll
353.9399,1.662073,277.9431
353.9399,1.662073,277.9431
353.9399,1.662073,277.9431
353.9399,1.662073,277.9431
353.9399,1.662073,277.9431
353.9399,1.662073,277.9431
353.9399,1.662073,277.9431
353.9399,1.662073,277.9431
353.9399,1.662073,277.9431
353.9399,1.662073,277.9431
353.9399,1.662073,277.9431
353.9399,1.662073,277.9431
353.9399,1.662073,277.9431
353.9399,1.662073,277.9431
354.1085,1.366921,277.7725
354.1085,1.366921,277.7725
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.0602,1.379861,277.7068
354.2663,1.411323,277.3759
354.2786,1.410812,277.3608
354.2829,1.408985,277.3325
354.2906,1.421379,277.2861
354.2906,1.421379,277.2861
354.3236,1.392632,277.2897
354.3161,1.394463,277.3021
354.3128,1.400095,277.2996
354.3109,1.393787,277.2969
354.3231,1.38805,277.2963
354.3516,1.398701,277.3029
354.377,1.414205,277.3024
354.4061,1.4331,277.3017
354.4106,1.453897,277.3055
354.4057,1.487069,277.2968
354.4138,1.496059,277.2835
354.4159,1.467797,277.2742
354.4115,1.443463,277.2686
354.3763,1.414972,277.2384
354.3717,1.401148,277.2068
354.3711,1.39141,277.1805
354.3711,1.39141,277.1805
354.3711,1.39141,277.1805
354.3795,1.427013,277.251
354.3682,1.430664,277.2556
354.3682,1.430664,277.2556
354.3682,1.430664,277.2556
354.4041,1.452183,277.334
354.4119,1.446409,277.3278
