Yaw,Pitch,Roll
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
354.5313,2.137851,275.0623
0.4823574,3.048075,273.6154
1.006866,3.056068,273.5825
1.625431,3.060927,273.5998
3.018721,3.214159,273.6788
4.405909,3.41269,273.6359
5.10898,3.459553,273.5687
5.819871,3.521693,273.4887
7.213645,3.780312,273.2589
7.911984,3.846828,273.1292
9.336479,3.905187,272.8587
10.05287,3.888832,272.6935
10.74071,3.849054,272.4832
12.06871,3.859728,271.9702
12.676,3.901849,271.7572
13.69603,4.021485,271.4593
14.1215,4.033549,271.3603
14.73026,3.858378,271.2619
14.95494,3.730009,271.2858
15.07712,3.710693,271.3413
15.19632,3.602301,271.3617
15.17997,3.529084,271.3719
15.06359,3.394691,271.4286
14.99399,3.36424,271.4453
14.7859,3.312342,271.3975
14.65585,3.257214,271.3432
14.41011,3.19599,271.2945
14.30634,3.183562,271.3155
14.22129,3.180462,271.3296
14.12846,3.181991,271.3265
14.12846,3.181991,271.3265
14.12846,3.181991,271.3265
14.12846,3.181991,271.3265
14.12846,3.181991,271.3265
14.12846,3.181991,271.3265
14.12846,3.181991,271.3265
14.12846,3.181991,271.3265
14.12846,3.181991,271.3265
14.15901,3.082179,271.6052
14.27403,3.058104,271.6017
14.57048,3.008593,271.5697
14.74736,2.99311,271.5562
15.15869,2.983567,271.5986
15.42775,2.986663,271.6689
15.7134,3.015592,271.7428
16.36082,3.116137,271.944
16.78751,3.175144,272.1223
17.8238,3.304905,272.4955
18.3744,3.429406,272.675
19.62003,3.633325,273.1402
20.35192,3.751324,273.4979
21.12326,3.898878,273.8683
22.66403,4.189539,274.4743
23.4856,4.297556,274.8169
25.18195,4.594173,275.637
26.0029,4.76577,275.9957
27.50405,5.05428,276.5208
28.23741,5.135603,276.8504
28.94596,5.197369,277.3281
30.1901,5.298843,278.3145
30.70241,5.327165,278.7202
31.50812,5.274787,279.4057
31.85796,5.250048,279.7093
32.42313,5.167513,280.1887
32.58775,5.108466,280.3395
32.77174,4.99578,280.5634
32.80569,4.909808,280.6523
32.79589,4.811793,280.6859
32.63729,4.716767,280.6157
32.5014,4.659947,280.522
32.25633,4.561718,280.4433
32.14138,4.542715,280.4646
