Yaw,Pitch,Roll
357.8714,0.3223121,275.524
357.8714,0.3223121,275.524
357.8714,0.3223121,275.524
357.8714,0.3223121,275.524
357.8714,0.3223121,275.524
357.8714,0.3223121,275.524
357.8714,0.3223121,275.524
357.8714,0.3223121,275.524
357.8714,0.3223121,275.524
357.8714,0.3223121,275.524
357.8714,0.3223121,275.524
357.8714,0.3223121,275.524
357.8714,0.3223121,275.524
357.8714,0.3223121,275.524
352.1706,359.0131,276.6344
350.519,358.6656,277.112
349.6669,358.5913,277.3288
349.6669,358.5913,277.3288
346.044,357.8589,278.252
346.044,357.8589,278.252
345.0751,357.7077,278.4687
342.9945,357.4657,278.9196
340.8395,356.9581,279.375
338.5846,356.5253,279.8056
338.5846,356.5253,279.8056
336.2287,356.1558,280.2854
335.0555,355.9201,280.5067
333.8865,355.7191,280.7048
331.5201,355.4177,281.1183
329.1668,355.1047,281.6111
326.8222,354.8848,282.1036
326.8222,354.8848,282.1036
323.4093,354.458,282.8034
323.4093,354.458,282.8034
321.3372,354.264,283.21
320.3973,354.1882,283.4088
317.8194,353.98,283.9996
317.8194,353.98,283.9996
317.0926,353.8832,284.1408
315.7665,353.8164,284.4022
315.1481,353.8568,284.5363
314.1089,353.8595,284.7753
313.4141,353.8612,284.9424
313.4141,353.8612,284.9424
313.0312,354.0472,284.8936
312.8879,354.1549,284.9055
312.8713,354.3097,284.8694
312.8713,354.3097,284.8694
313.0859,354.4644,284.754
313.0859,354.4644,284.754
313.2802,354.9272,284.423
313.2802,354.9272,284.423
313.4492,354.8412,285.7484
313.3781,355.6756,283.699
313.3355,355.8083,283.895
313.3756,355.6429,285.0222
313.4267,355.522,285.264
313.621,355.2992,284.6085
313.621,355.2992,284.6085
314.0285,355.0963,283.899
314.2719,355.0132,283.6547
314.2719,355.0132,283.6547
314.8273,355.0145,283.1973
315.4645,355.0693,282.6538
315.8325,355.0677,282.3093
316.2335,355.0484,281.9305
317.0252,355.0016,281.1343
317.7788,355.0537,280.3023
318.5002,355.2046,279.4961
318.818,355.2763,279.1313
319.0845,355.3553,278.818
319.2864,355.4143,278.5457
319.5269,355.4718,278.0669
319.6381,355.5215,277.5694
319.6103,355.5479,277.3743
319.5737,355.5602,277.2269
319.545,355.5398,277.0934
319.5068,355.537,276.7939
319.5545,355.5517,276.4712
319.604,355.5505,276.358
319.6485,355.6746,276.196
319.6739,355.7153,276.1479
319.8613,355.6516,276.0926
319.9784,355.684,276.062
320.1043,355.754,276.0248
320.41,355.8794,275.884
320.5854,355.9212,275.8092
320.9857,356.0293,275.6861
321.2089,356.1293,275.6092
321.7006,356.2621,275.4594
321.9942,356.2883,275.3611
322.6328,356.3957,275.0476
322.921,356.5027,274.8859
323.1765,356.5934,274.7408
323.7877,356.6774,274.4606
324.1536,356.7428,274.2844
324.888,356.9952,273.7858
325.2533,357.0657,273.486
326.0558,357.0577,272.9281
326.5205,357.0673,272.6446
327.0217,357.1154,272.3415
328.0788,357.2678,271.7049
328.6219,357.3101,271.395
329.7996,357.3779,270.7208
330.4582,357.421,270.3389
331.8247,357.6216,269.5923
332.4563,357.764,269.2981
333.0472,357.9087,269.0441
334.2862,358.0905,268.5118
334.9562,358.1946,268.1735
336.7433,358.7254,267.4024
337.2917,358.9277,267.4587
338.3983,359.2437,266.9084
338.9712,359.3937,266.5607
339.8937,359.6593,265.921
340.2758,359.7118,265.6677
340.6721,359.7196,265.4314
341.4632,359.8015,264.8977
341.8265,359.874,264.6329
342.4519,359.929,264.2545
342.7183,359.948,264.1193
343.199,0.03556992,263.808
343.3466,0.0579183,263.7074
343.5092,359.9535,263.6296
343.5635,359.8817,263.6171
343.5992,359.8412,263.5912
343.6259,359.8586,263.493
343.6259,359.8586,263.493
343.6259,359.8586,263.493
343.6259,359.8586,263.493
343.6703,359.7231,263.2801
343.6991,359.6804,263.2593
343.6991,359.6804,263.2593
343.6991,359.6804,263.2593
343.6991,359.6804,263.2593
343.6991,359.6804,263.2593
343.6991,359.6804,263.2593
343.6991,359.6804,263.2593
343.6991,359.6804,263.2593
343.6991,359.6804,263.2593
343.6991,359.6804,263.2593
343.6991,359.6804,263.2593
343.6991,359.6804,263.2593
343.6991,359.6804,263.2593
343.6991,359.6804,263.2593
343.6991,359.6804,263.2593
343.6991,359.6804,263.2593
343.6991,359.6804,263.2593
343.6991,359.6804,263.2593
343.6991,359.6804,263.2593
347.4782,359.4983,266.1237
348.2787,359.5239,266.8678
348.6874,359.5904,267.1844
349.5481,359.6594,267.8239
350.0217,359.647,268.1689
350.5277,359.6369,268.5363
351.5704,359.7385,269.3249
352.067,359.8318,269.7245
353.0759,359.9323,270.5674
353.6074,359.9408,271.0036
354.7021,359.9722,271.9251
355.2551,-0.003293005,272.4113
355.8092,0.02827186,272.9001
356.8607,0.06717855,273.8839
357.3638,0.07046047,274.3628
358.3668,0.01170081,275.2021
358.8377,359.9715,275.5581
359.7032,359.8949,276.1567
0.08956303,359.8434,276.3894
0.7877784,359.7459,276.7383
1.079519,359.7109,276.8353
1.329576,359.6901,276.903
1.690591,359.649,276.95
1.831207,359.6229,276.9457
2.034828,359.5392,276.9101
2.075958,359.5098,276.875
2.083872,359.4555,276.791
2.070385,359.4317,276.7509
2.011342,359.4126,276.6907
1.976922,359.3845,276.6836
1.92897,359.3422,276.6901
1.866028,359.3053,276.6935
1.866028,359.3053,276.6935
1.866028,359.3053,276.6935
1.866028,359.3053,276.6935
1.866028,359.3053,276.6935
1.465402,359.1942,276.707
1.406994,359.1773,276.682
1.356573,359.1678,276.6395
1.356573,359.1678,276.6395
1.356573,359.1678,276.6395
0.9990661,359.1729,276.397
0.7941543,359.1997,276.3022
0.6633546,359.1905,276.2722
0.3911906,359.1109,276.2802
0.2787715,359.0744,276.3078
0.2057434,359.0627,276.3441
0.04460626,359.1286,276.3951
359.9512,359.1319,276.4247
359.8195,359.056,276.4654
359.8195,359.056,276.4654
359.8195,359.056,276.4654
359.8195,359.056,276.4654
359.8195,359.056,276.4654
359.8195,359.056,276.4654
359.8195,359.056,276.4654
359.8195,359.056,276.4654
359.8195,359.056,276.4654
359.8195,359.056,276.4654
359.8195,359.056,276.4654
359.8195,359.056,276.4654
359.8195,359.056,276.4654
359.8195,359.056,276.4654
359.8195,359.056,276.4654
359.8195,359.056,276.4654
359.8195,359.056,276.4654
359.8195,359.056,276.4654
359.8195,359.056,276.4654
359.168,359.1412,276.5065
359.1498,359.1727,276.5115
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
359.1352,359.1813,276.5127
358.1278,359.1163,276.0681
358.1479,359.0963,276.049
358.168,359.1043,275.9859
358.1725,359.1017,275.9558
358.1699,359.1008,275.9299
358.181,359.0661,275.8787
358.1906,359.0766,275.8666
358.1891,359.0807,275.8027
358.2027,359.0612,275.763
358.239,359.0966,275.6773
358.2566,359.0947,275.6561
358.2541,359.0706,275.658
358.2585,359.0311,275.6356
358.2614,359.0087,275.6161
358.2821,358.9615,275.6075
358.3,358.9211,275.6084
358.2984,358.9088,275.5595
358.2861,358.9156,275.5166
358.2734,358.9113,275.4987
358.2717,358.8605,275.4987
358.2661,358.8617,275.5186
358.1673,358.9638,275.4656
358.1474,358.9699,275.4484
358.1516,358.9862,275.4221
358.1795,359.0582,275.4376
358.1814,359.0651,275.4532
358.179,359.067,275.4641
358.1785,359.0455,275.4921
358.1871,359.0208,275.4942
358.1891,359.0193,275.4919
358.1852,359.0365,275.4753
358.1967,359.0325,275.4677
358.2305,359.0202,275.4574
358.2331,359.0218,275.4597
358.2159,358.9993,275.4646
358.2188,358.9775,275.4659
358.2186,358.9622,275.459
358.1855,358.9614,275.4873
358.1855,358.9614,275.4873
358.1866,358.9502,275.5134
358.1923,358.9649,275.5198
358.187,358.9947,275.5137
358.1833,358.988,275.5049
358.1947,358.9973,275.483
358.1751,359.0255,275.4828
358.1672,359.0168,275.4697
358.1642,359.0021,275.4583
358.1601,359.0095,275.4383
358.1466,359.0251,275.4364
358.1303,359.0225,275.4464
358.1396,358.9871,275.4362
358.1396,358.9871,275.4362
358.1453,359.0086,275.424
358.1453,359.0086,275.424
358.1453,359.0086,275.424
358.1453,359.0086,275.424
358.1453,359.0086,275.424
358.1453,359.0086,275.424
358.1453,359.0086,275.424
358.1453,359.0086,275.424
358.1453,359.0086,275.424
358.1453,359.0086,275.424
358.1453,359.0086,275.424
358.1453,359.0086,275.424
358.1453,359.0086,275.424
358.1453,359.0086,275.424
358.1453,359.0086,275.424
358.1453,359.0086,275.424
358.1453,359.0086,275.424
358.1453,359.0086,275.424
358.1453,359.0086,275.424
358.1453,359.0086,275.424
358.0957,359.0491,275.3789
358.0603,359.0742,275.4113
358.0659,359.0378,275.4145
358.0659,359.0378,275.4145
358.0908,359.0093,275.4173
358.0743,359.0277,275.4132
358.0447,359.0218,275.3949
358.0746,358.9937,275.3949
358.0846,358.9997,275.4009
358.0896,358.9982,275.4142
358.1006,358.9741,275.4241
358.1129,358.9699,275.422
358.1262,358.9743,275.431
358.1295,358.956,275.4434
358.1276,358.9451,275.4628
358.1237,358.9598,275.4739
358.1003,358.9723,275.498
358.1003,358.9723,275.498
358.1003,358.9723,275.498
358.0216,358.9709,275.4897
358.002,358.958,275.4927
358.002,358.958,275.4927
358.002,358.958,275.4927
358.002,358.958,275.4927
357.9672,359.0049,275.4992
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
357.9466,358.9869,275.5061
