Yaw,Pitch,Roll
348.8625,359.2381,270.048
348.9019,359.2133,269.7079
349.0417,359.2724,269.7216
349.1012,359.2589,269.871
349.1599,359.1322,269.9643
349.2066,359.099,269.9096
349.3911,359.1863,269.765
349.4964,359.1838,269.8195
349.7156,359.0193,270.0132
349.8214,358.9385,270.0674
349.9219,358.9008,270.0632
350.1189,358.8943,270.0189
350.2353,358.8639,270.0271
350.4416,358.8108,270.1147
350.4416,358.8108,270.1147
350.5627,358.8765,270.1486
350.5641,359.0449,270.0372
350.6077,358.9933,269.9787
350.7263,358.8989,269.938
350.7299,358.9436,269.9421
350.6893,359.0273,269.9774
350.6932,359.0056,269.9754
350.7022,358.965,269.9672
350.6544,358.9146,269.8956
350.5803,358.9789,269.856
350.4647,359.1136,269.8352
350.4064,359.1496,269.8404
350.2468,359.1255,269.8559
350.2116,359.0638,269.8437
350.1835,358.9775,269.7024
350.1753,358.9657,269.6776
350.1753,358.9657,269.6776
350.1427,358.9546,269.6699
349.9937,358.9367,269.8324
349.8426,358.8635,270.0728
349.735,358.8359,270.1649
349.735,358.8359,270.1649
349.4318,358.826,270.3777
349.0598,358.7626,270.6783
348.6495,358.6375,270.9634
348.3995,358.6258,271.1563
348.1061,358.6767,271.4003
347.5057,358.6295,271.9141
347.1529,358.6052,272.142
346.7552,358.6151,272.3865
345.7346,358.7158,273.0289
344.5537,358.6394,273.4793
344.5537,358.6394,273.4793
343.2832,358.5005,273.9682
342.5771,358.4988,274.3064
341.0521,358.4087,275.015
340.2707,358.2836,275.3309
338.6559,358.1136,275.947
337.7962,358.1068,276.2683
336.049,358.0988,276.9268
335.1865,358.0637,277.2194
334.3207,358.0336,277.5189
332.5352,358.0695,278.3058
331.6467,358.0698,278.6815
329.9395,358.0229,279.4135
329.1183,358.0027,279.8416
327.5105,357.9925,280.7539
326.7533,357.9715,281.1812
325.2505,357.8955,282.0874
324.4736,357.8396,282.5735
323.7189,357.78,283.0223
