H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
-1.0754,1.037209,0.01359937,0.01794347,-0.02396896,-0.6507237,0.7587242
-1.0754,1.037209,0.01359937,0.01794347,-0.02396896,-0.6507237,0.7587242
-1.0754,1.037209,0.01359937,0.01794347,-0.02396896,-0.6507237,0.7587242
-1.0754,1.037209,0.01359937,0.01794347,-0.02396896,-0.6507237,0.7587242
-1.0754,1.037209,0.01359937,0.01794347,-0.02396896,-0.6507237,0.7587242
-1.0754,1.037209,0.01359937,0.01794347,-0.02396896,-0.6507237,0.7587242
-1.0754,1.037209,0.01359937,0.01794347,-0.02396896,-0.6507237,0.7587242
-1.0754,1.037209,0.01359937,0.01794347,-0.02396896,-0.6507237,0.7587242
-1.0754,1.037209,0.01359937,0.01794347,-0.02396896,-0.6507237,0.7587242
-1.0754,1.037209,0.01359937,0.01794347,-0.02396896,-0.6507237,0.7587242
-1.0754,1.037209,0.01359937,0.01794347,-0.02396896,-0.6507237,0.7587242
-1.074644,1.036783,0.01323352,0.01613185,-0.02350342,-0.6508709,0.7586531
-1.07468,1.036829,0.01328052,0.01607993,-0.02340898,-0.6508837,0.7586462
-1.074667,1.036851,0.01325313,0.01617545,-0.02334452,-0.6508622,0.7586646
-1.074648,1.036855,0.01324011,0.01628003,-0.02326626,-0.6508207,0.7587003
-1.074594,1.036872,0.01325784,0.0165638,-0.02328685,-0.6506314,0.7588558
-1.074474,1.03686,0.0133149,0.01690266,-0.02352858,-0.6501957,0.7592143
-1.074315,1.036833,0.01299673,0.01903307,-0.02411464,-0.6493708,0.7598512
-1.074163,1.036824,0.01289434,0.02035877,-0.02511185,-0.6487043,0.7603537
-1.073972,1.036858,0.01288425,0.02164078,-0.02642173,-0.6478804,0.7609762
-1.073657,1.037022,0.01322479,0.02398893,-0.02995092,-0.6460816,0.7623034
-1.073462,1.036995,0.01323109,0.02592525,-0.03172693,-0.6450694,0.7630249
-1.073091,1.037121,0.01295861,0.03158826,-0.03649956,-0.6427609,0.7645447
-1.07291,1.037177,0.01299647,0.03419167,-0.03951651,-0.6414747,0.7653626
-1.072521,1.037194,0.01321531,0.03932121,-0.04619139,-0.6384999,0.7672278
-1.072313,1.037605,0.01324036,0.0425826,-0.04971984,-0.6369385,0.7681304
-1.072045,1.037795,0.01321846,0.04613715,-0.05368784,-0.6350418,0.7692276
-1.071388,1.038099,0.01354652,0.05264521,-0.06269968,-0.6307212,0.7716789
-1.071134,1.038162,0.01378914,0.05588126,-0.06751841,-0.6285075,0.7728499
-1.070627,1.038422,0.01409022,0.06407982,-0.07810926,-0.6239532,0.7749034
-1.070282,1.03863,0.01433773,0.06843451,-0.08427542,-0.621291,0.7760233
-1.069894,1.038813,0.01465345,0.07267782,-0.09070054,-0.6184161,0.7772084
-1.069089,1.039088,0.01524278,0.08232006,-0.1040629,-0.6119244,0.779707
