x,y
-0.607594,0.671513
-0.6060863,0.6699256
-0.6101776,0.6743105
-0.6083361,0.6719843
-0.6134427,0.6759392
-0.6142231,0.6745845
-0.6211931,0.6798093
-0.6203432,0.6773716
-0.6245807,0.6809758
-0.6220268,0.6778815
-0.6253604,0.6807742
-0.623451,0.6776276
-0.6271946,0.6813443
-0.6243427,0.6786819
-0.6266816,0.6821813
-0.6238018,0.6796266
-0.6268012,0.6830643
-0.6238042,0.6807599
-0.6264896,0.6841112
-0.6225962,0.6810907
-0.6235788,0.6840159
-0.6202453,0.6819656
-0.6233637,0.6867862
-0.6203408,0.6856763
-0.6214569,0.6894099
-0.6166753,0.6867743
-0.6181193,0.6900947
-0.6141412,0.6878634
-0.6142508,0.6909964
-0.607698,0.6891103
-0.604413,0.6909945
-0.597012,0.6894969
-0.5916168,0.6907154
-0.58346,0.6894473
-0.5733429,0.6882688
-0.5612718,0.6871716
-0.5474708,0.6872167
-0.5329017,0.6887853
-0.5166798,0.6897763
-0.4988535,0.690038
-0.4800648,0.6893343
-0.4605126,0.6888525
-0.4382688,0.6897561
-0.4147721,0.6927632
-0.3909814,0.6951195
-0.364932,0.6946506
-0.3384166,0.6918392
-0.3107428,0.6873491
-0.2837693,0.6833752
-0.2587747,0.6802382
-0.2344385,0.6777362
-0.2109323,0.6757652
-0.1857114,0.6733813
-0.1586001,0.6695354
-0.1303922,0.6646251
-0.1016516,0.6595926
-0.07344351,0.6562847
-0.0478075,0.654854
-0.02401871,0.6540166
0.0004918755,0.6530228
0.02568684,0.6503417
0.05131145,0.6474308
0.07527154,0.6453934
0.09925711,0.6452937
0.1217801,0.6455597
0.1444654,0.6448817
0.1662489,0.6424437
0.1877166,0.64029
0.2084581,0.6403475
0.2267765,0.6425403
0.2447147,0.6451942
0.2616569,0.6471494
0.2789925,0.6477498
0.2946057,0.64801
0.3098996,0.6479357
0.3244188,0.6477947
0.3397522,0.6486636
0.3539567,0.650461
0.366265,0.6520407
0.3759457,0.6523147
0.3825732,0.6500043
0.391324,0.6506473
0.398691,0.6484764
0.4070581,0.6486301
0.4132545,0.645961
0.4203056,0.6462137
0.4244164,0.6415304
0.428885,0.6387068
0.4303234,0.6306645
0.4331084,0.6246911
0.4334292,0.6187539
0.4358283,0.6168115
0.4340211,0.6095529
0.4326316,0.6028394
0.4289274,0.5919247
0.42558,0.5806921
0.4216831,0.570134
0.4160618,0.5613855
0.4102149,0.5544562
0.4022766,0.5480023
0.3956728,0.5402333
0.3882642,0.5314873
0.3810215,0.5220115
0.3730378,0.5142029
0.3627084,0.508027
0.3522369,0.5011664
0.3415453,0.4942577
0.3319649,0.4870008
0.3226171,0.478459
0.3123116,0.468788
0.3002574,0.4584552
0.2877755,0.4494008
0.276383,0.4433065
0.2656849,0.4390388
0.256471,0.435069
0.2485261,0.4298457
0.240941,0.425135
0.2334143,0.4209945
0.2255439,0.4186234
0.218153,0.4174479
0.2125317,0.4142864
0.2093198,0.4126875
0.2070861,0.4072429
0.2067032,0.4043864
0.2037425,0.3995364
0.2016441,0.3984027
0.1984633,0.395195
0.1978195,0.39515
0.195749,0.3912505
0.1964265,0.3900247
0.1946123,0.3852699
0.1948519,0.3832273
0.1942403,0.3783236
0.1956209,0.375572
0.1947653,0.3698061
0.1949038,0.3662297
0.1927984,0.3596166
0.1920958,0.3562819
0.1906049,0.351789
